SKDI_01G0010	XP_056085810.1
SKDI_02G0020	XP_056085899.1
SKDI_02G0030	XP_056085900.1
SKDI_02G0040	XP_056085901.1
SKDI_02G0050	XP_056085902.1
SKDI_02G0060	XP_056085903.1
SKDI_02G0070	XP_056085904.1
SKDI_02G0080	XP_056085905.1
SKDI_02G0090	XP_056085906.1
SKDI_02G0100	XP_056085907.1
SKDI_02G0120	XP_056085908.1
SKDI_02G0130	XP_056085909.1
SKDI_02G0140	XP_056085910.1
SKDI_02G0150	XP_056085911.1
SKDI_02G0160	XP_056085912.1
SKDI_02G0170	XP_056085913.1
SKDI_02G0180	XP_056085914.1
SKDI_02G0180	XP_056085914.1
SKDI_02G0190	XP_056085915.1
SKDI_02G0200	XP_056085916.1
SKDI_02G0210	XP_056085917.1
SKDI_02G0220	XP_056085918.1
SKDI_02G0230	XP_056085919.1
SKDI_02G0230	XP_056085919.1
SKDI_02G0240	XP_056085920.1
SKDI_02G0250	XP_056085921.1
SKDI_02G0260	XP_056085922.1
SKDI_02G0270	XP_056085923.1
SKDI_02G0280	XP_056085924.1
SKDI_02G0290	XP_056085925.1
SKDI_02G0300	XP_056085926.1
SKDI_02G0310	XP_056085927.1
SKDI_02G0330	XP_056085928.1
SKDI_02G0340	XP_056085929.1
SKDI_02G0350	XP_056085930.1
SKDI_02G0370	XP_056085931.1
SKDI_02G0380	XP_056085932.1
SKDI_02G0400	XP_056085933.1
SKDI_02G0410	XP_056085934.1
SKDI_02G0420	XP_056085935.1
SKDI_02G0430	XP_056085936.1
SKDI_02G0450	XP_056085937.1
SKDI_02G0460	XP_056085938.1
SKDI_02G0470	XP_056085939.1
SKDI_02G0480	XP_056085940.1
SKDI_02G0490	XP_056085941.1
SKDI_02G0490	XP_056085941.1
SKDI_02G0500	XP_056085942.1
SKDI_02G0500	XP_056085942.1
SKDI_02G0510	XP_056085943.1
SKDI_02G0520	XP_056085944.1
SKDI_02G0530	XP_056085945.1
SKDI_02G0540	XP_056085946.1
SKDI_02G0550	XP_056085947.1
SKDI_02G0560	XP_056085948.1
SKDI_02G0570	XP_056085949.1
SKDI_02G0580	XP_056085950.1
SKDI_02G0580	XP_056085950.1
SKDI_02G0590	XP_056085951.1
SKDI_02G0600	XP_056085952.1
SKDI_02G0610	XP_056085953.1
SKDI_02G0620	XP_056085954.1
SKDI_02G0630	XP_056085955.1
SKDI_02G0640	XP_056085956.1
SKDI_02G0650	XP_056085957.1
SKDI_02G0660	XP_056085958.1
SKDI_02G0670	XP_056085959.1
SKDI_02G0680	XP_056085960.1
SKDI_02G0700	XP_056085961.1
SKDI_02G0710	XP_056085962.1
SKDI_02G0720	XP_056085963.1
SKDI_02G0730	XP_056085964.1
SKDI_02G0740	XP_056085965.1
SKDI_02G0750	XP_056085966.1
SKDI_02G0760	XP_056085967.1
SKDI_02G0770	XP_056085968.1
SKDI_02G0780	XP_056085969.1
SKDI_02G0790	XP_056085970.1
SKDI_02G0800	XP_056085971.1
SKDI_02G0810	XP_056085972.1
SKDI_02G0820	XP_056085973.1
SKDI_02G0820	XP_056085973.1
SKDI_02G0830	XP_056085974.1
SKDI_02G0830	XP_056085974.1
SKDI_02G0840	XP_056085975.1
SKDI_02G0850	XP_056085976.1
SKDI_02G0860	XP_056085977.1
SKDI_02G0870	XP_056085978.1
SKDI_02G0880	XP_056085979.1
SKDI_02G0890	XP_056085980.1
SKDI_02G0900	XP_056085981.1
SKDI_02G0910	XP_056085982.1
SKDI_02G0910	XP_056085982.1
SKDI_02G0920	XP_056085983.1
SKDI_02G0930	XP_056085984.1
SKDI_02G0940	XP_056085985.1
SKDI_02G0950	XP_056085986.1
SKDI_02G0960	XP_056085987.1
SKDI_02G0980	XP_056085988.1
SKDI_02G0990	XP_056085989.1
SKDI_02G1000	XP_056085990.1
SKDI_02G1010	XP_056085991.1
SKDI_02G1020	XP_056085992.1
SKDI_02G1030	XP_056085993.1
SKDI_02G1050	XP_056085994.1
SKDI_02G1060	XP_056085995.1
SKDI_02G1070	XP_056085996.1
SKDI_02G1080	XP_056085997.1
SKDI_02G1090	XP_056085998.1
SKDI_02G1100	XP_056085999.1
SKDI_02G1110	XP_056086000.1
SKDI_02G1120	XP_056086001.1
SKDI_02G1130	XP_056086002.1
SKDI_02G1140	XP_056086003.1
SKDI_02G1150	XP_056086004.1
SKDI_02G1160	XP_056086005.1
SKDI_02G1170	XP_056086006.1
SKDI_02G1180	XP_056086007.1
SKDI_02G1190	XP_056086008.1
SKDI_02G1200	XP_056086009.1
SKDI_02G1210	XP_056086010.1
SKDI_02G1220	XP_056086011.1
SKDI_02G1230	XP_056086012.1
SKDI_02G1240	XP_056086013.1
SKDI_02G1260	XP_056086014.1
SKDI_02G1270	XP_056086015.1
SKDI_02G1280	XP_056086016.1
SKDI_02G1290	XP_056086017.1
SKDI_02G1300	XP_056086018.1
SKDI_02G1310	XP_056086019.1
SKDI_02G1320	XP_056086020.1
SKDI_02G1330	XP_056086021.1
SKDI_02G1340	XP_056086022.1
SKDI_02G1350	XP_056086023.1
SKDI_02G1360	XP_056086024.1
SKDI_02G1370	XP_056086025.1
SKDI_02G1380	XP_056086026.1
SKDI_02G1390	XP_056086027.1
SKDI_02G1400	XP_056086028.1
SKDI_02G1410	XP_056086029.1
SKDI_02G1420	XP_056086030.1
SKDI_02G1430	XP_056086031.1
SKDI_02G1440	XP_056086032.1
SKDI_02G1450	XP_056086033.1
SKDI_02G1460	XP_056086034.1
SKDI_02G1470	XP_056086035.1
SKDI_02G1480	XP_056086036.1
SKDI_02G1490	XP_056086037.1
SKDI_02G1500	XP_056086038.1
SKDI_02G1510	XP_056086039.1
SKDI_02G1510	XP_056086039.1
SKDI_02G1520	XP_056086040.1
SKDI_02G1530	XP_056086041.1
SKDI_02G1550	XP_056086042.1
SKDI_02G1560	XP_056086043.1
SKDI_02G1570	XP_056086044.1
SKDI_02G1580	XP_056086045.1
SKDI_02G1590	XP_056086046.1
SKDI_02G1600	XP_056086047.1
SKDI_02G1620	XP_056086048.1
SKDI_02G1630	XP_056086049.1
SKDI_02G1640	XP_056086050.1
SKDI_02G1650	XP_056086051.1
SKDI_02G1660	XP_056086052.1
SKDI_02G1670	XP_056086053.1
SKDI_02G1680	XP_056086054.1
SKDI_02G1690	XP_056086055.1
SKDI_02G1690	XP_056086055.1
SKDI_02G1700	XP_056086056.1
SKDI_02G1710	XP_056086057.1
SKDI_02G1720	XP_056086058.1
SKDI_02G1730	XP_056086059.1
SKDI_02G1740	XP_056086060.1
SKDI_02G1750	XP_056086061.1
SKDI_02G1760	XP_056086062.1
SKDI_02G1770	XP_056086063.1
SKDI_02G1780	XP_056086064.1
SKDI_02G1790	XP_056086065.1
SKDI_02G1800	XP_056086066.1
SKDI_02G1810	XP_056086067.1
SKDI_02G1820	XP_056086068.1
SKDI_02G1830	XP_056086069.1
SKDI_02G1830	XP_056086069.1
SKDI_02G1840	XP_056086070.1
SKDI_02G1850	XP_056086071.1
SKDI_02G1860	XP_056086072.1
SKDI_02G1870	XP_056086073.1
SKDI_02G1880	XP_056086074.1
SKDI_02G1890	XP_056086075.1
SKDI_02G1900	XP_056086076.1
SKDI_02G1900	XP_056086076.1
SKDI_02G1910	XP_056086077.1
SKDI_02G1920	XP_056086078.1
SKDI_02G1930	XP_056086079.1
SKDI_02G1940	XP_056086080.1
SKDI_02G1950	XP_056086081.1
SKDI_02G1960	XP_056086082.1
SKDI_02G1980	XP_056086083.1
SKDI_02G1990	XP_056086084.1
SKDI_02G2000	XP_056086085.1
SKDI_02G2010	XP_056086086.1
SKDI_02G2020	XP_056086087.1
SKDI_02G2030	XP_056086088.1
SKDI_02G2040	XP_056086089.1
SKDI_02G2050	XP_056086090.1
SKDI_02G2060	XP_056086091.1
SKDI_02G2080	XP_056086092.1
SKDI_02G2090	XP_056086093.1
SKDI_02G2100	XP_056086094.1
SKDI_02G2120	XP_056086095.1
SKDI_02G2130	XP_056086096.1
SKDI_02G2140	XP_056086097.1
SKDI_02G2150	XP_056086098.1
SKDI_02G2160	XP_056086099.1
SKDI_02G2170	XP_056086100.1
SKDI_02G2180	XP_056086101.1
SKDI_02G2190	XP_056086102.1
SKDI_02G2200	XP_056086103.1
SKDI_02G2200	XP_056086103.1
SKDI_02G2200	XP_056086103.1
SKDI_02G2210	XP_056086104.1
SKDI_02G2230	XP_056086105.1
SKDI_02G2240	XP_056086106.1
SKDI_02G2250	XP_056086107.1
SKDI_02G2260	XP_056086108.1
SKDI_02G2270	XP_056086109.1
SKDI_02G2280	XP_056086110.1
SKDI_02G2290	XP_056086111.1
SKDI_02G2310	XP_056086112.1
SKDI_02G2320	XP_056086113.1
SKDI_02G2340	XP_056086114.1
SKDI_02G2350	XP_056086115.1
SKDI_02G2360	XP_056086116.1
SKDI_02G2370	XP_056086117.1
SKDI_02G2380	XP_056086118.1
SKDI_02G2390	XP_056086119.1
SKDI_02G2400	XP_056086120.1
SKDI_02G2410	XP_056086121.1
SKDI_02G2430	XP_056086122.1
SKDI_02G2440	XP_056086123.1
SKDI_02G2460	XP_056086124.1
SKDI_02G2470	XP_056086125.1
SKDI_02G2480	XP_056086126.1
SKDI_02G2490	XP_056086127.1
SKDI_02G2500	XP_056086128.1
SKDI_02G2510	XP_056086129.1
SKDI_02G2520	XP_056086130.1
SKDI_02G2530	XP_056086131.1
SKDI_02G2540	XP_056086132.1
SKDI_02G2550	XP_056086133.1
SKDI_02G2560	XP_056086134.1
SKDI_02G2570	XP_056086135.1
SKDI_02G2580	XP_056086136.1
SKDI_02G2590	XP_056086137.1
SKDI_02G2600	XP_056086138.1
SKDI_02G2610	XP_056086139.1
SKDI_02G2620	XP_056086140.1
SKDI_02G2630	XP_056086141.1
SKDI_02G2640	XP_056086142.1
SKDI_02G2650	XP_056086143.1
SKDI_02G2660	XP_056086144.1
SKDI_02G2670	XP_056086145.1
SKDI_02G2680	XP_056086146.1
SKDI_02G2690	XP_056086147.1
SKDI_02G2700	XP_056086148.1
SKDI_02G2710	XP_056086149.1
SKDI_02G2720	XP_056086150.1
SKDI_02G2730	XP_056086151.1
SKDI_02G2740	XP_056086152.1
SKDI_02G2750	XP_056086153.1
SKDI_02G2760	XP_056086154.1
SKDI_02G2770	XP_056086155.1
SKDI_02G2780	XP_056086156.1
SKDI_02G2790	XP_056086157.1
SKDI_02G2800	XP_056086158.1
SKDI_02G2810	XP_056086159.1
SKDI_02G2820	XP_056086160.1
SKDI_02G2830	XP_056086161.1
SKDI_02G2840	XP_056086162.1
SKDI_02G2850	XP_056086163.1
SKDI_02G2860	XP_056086164.1
SKDI_02G2870	XP_056086165.1
SKDI_02G2880	XP_056086166.1
SKDI_02G2890	XP_056086167.1
SKDI_02G2900	XP_056086168.1
SKDI_02G2910	XP_056086169.1
SKDI_02G2920	XP_056086170.1
SKDI_02G2930	XP_056086171.1
SKDI_02G2940	XP_056086172.1
SKDI_02G2950	XP_056086173.1
SKDI_02G2950	XP_056086173.1
SKDI_02G2960	XP_056086174.1
SKDI_02G2970	XP_056086175.1
SKDI_02G2980	XP_056086176.1
SKDI_02G2980	XP_056086176.1
SKDI_02G2990	XP_056086177.1
SKDI_02G2990	XP_056086177.1
SKDI_02G3000	XP_056086178.1
SKDI_02G3010	XP_056086179.1
SKDI_02G3020	XP_056086180.1
SKDI_02G3030	XP_056086181.1
SKDI_02G3040	XP_056086182.1
SKDI_02G3050	XP_056086183.1
SKDI_02G3060	XP_056086184.1
SKDI_02G3070	XP_056086185.1
SKDI_02G3080	XP_056086186.1
SKDI_02G3090	XP_056086187.1
SKDI_02G3100	XP_056086188.1
SKDI_02G3110	XP_056086189.1
SKDI_02G3120	XP_056086190.1
SKDI_02G3130	XP_056086191.1
SKDI_02G3140	XP_056086192.1
SKDI_02G3150	XP_056086193.1
SKDI_02G3160	XP_056086194.1
SKDI_02G3170	XP_056086195.1
SKDI_02G3180	XP_056086196.1
SKDI_02G3190	XP_056086197.1
SKDI_02G3200	XP_056086198.1
SKDI_02G3210	XP_056086199.1
SKDI_02G3220	XP_056086200.1
SKDI_02G3220	XP_056086200.1
SKDI_02G3230	XP_056086201.1
SKDI_02G3240	XP_056086202.1
SKDI_02G3250	XP_056086203.1
SKDI_02G3270	XP_056086204.1
SKDI_02G3280	XP_056086205.1
SKDI_02G3290	XP_056086206.1
SKDI_02G3310	XP_056086207.1
SKDI_02G3320	XP_056086208.1
SKDI_02G3330	XP_056086209.1
SKDI_02G3340	XP_056086210.1
SKDI_02G3350	XP_056086211.1
SKDI_02G3360	XP_056086212.1
SKDI_02G3360	XP_056086212.1
SKDI_02G3370	XP_056086213.1
SKDI_02G3380	XP_056086214.1
SKDI_02G3400	XP_056086215.1
SKDI_02G3410	XP_056086216.1
SKDI_02G3420	XP_056086217.1
SKDI_02G3430	XP_056086218.1
SKDI_02G3440	XP_056086219.1
SKDI_02G3450	XP_056086220.1
SKDI_02G3460	XP_056086221.1
SKDI_02G3470	XP_056086222.1
SKDI_02G3480	XP_056086223.1
SKDI_02G3490	XP_056086224.1
SKDI_02G3500	XP_056086225.1
SKDI_02G3510	XP_056086226.1
SKDI_02G3520	XP_056086227.1
SKDI_02G3530	XP_056086228.1
SKDI_02G3540	XP_056086229.1
SKDI_02G3550	XP_056086230.1
SKDI_02G3560	XP_056086231.1
SKDI_02G3570	XP_056086232.1
SKDI_02G3580	XP_056086233.1
SKDI_02G3590	XP_056086234.1
SKDI_02G3600	XP_056086235.1
SKDI_02G3610	XP_056086236.1
SKDI_02G3620	XP_056086237.1
SKDI_02G3630	XP_056086238.1
SKDI_02G3640	XP_056086239.1
SKDI_02G3650	XP_056086240.1
SKDI_02G3660	XP_056086241.1
SKDI_02G3670	XP_056086242.1
SKDI_02G3680	XP_056086243.1
SKDI_02G3690	XP_056086244.1
SKDI_02G3700	XP_056086245.1
SKDI_02G3710	XP_056086246.1
SKDI_02G3720	XP_056086247.1
SKDI_02G3730	XP_056086248.1
SKDI_02G3740	XP_056086249.1
SKDI_02G3750	XP_056086250.1
SKDI_02G3760	XP_056086251.1
SKDI_02G3770	XP_056086252.1
SKDI_02G3780	XP_056086253.1
SKDI_02G3790	XP_056086254.1
SKDI_02G3800	XP_056086255.1
SKDI_02G3810	XP_056086256.1
SKDI_02G3820	XP_056086257.1
SKDI_02G3830	XP_056086258.1
SKDI_02G3840	XP_056086259.1
SKDI_02G3850	XP_056086260.1
SKDI_02G3860	XP_056086261.1
SKDI_02G3870	XP_056086262.1
SKDI_02G3880	XP_056086263.1
SKDI_02G3890	XP_056086264.1
SKDI_02G3900	XP_056086265.1
SKDI_02G3910	XP_056086266.1
SKDI_02G3920	XP_056086267.1
SKDI_02G3930	XP_056086268.1
SKDI_02G3940	XP_056086269.1
SKDI_02G3950	XP_056086270.1
SKDI_02G3960	XP_056086271.1
SKDI_02G3970	XP_056086272.1
SKDI_02G3980	XP_056086273.1
SKDI_02G3990	XP_056086274.1
SKDI_02G4000	XP_056086275.1
SKDI_02G4010	XP_056086276.1
SKDI_02G4020	XP_056086277.1
SKDI_02G4030	XP_056086278.1
SKDI_02G4040	XP_056086279.1
SKDI_02G4050	XP_056086280.1
SKDI_02G4060	XP_056086281.1
SKDI_02G4070	XP_056086282.1
SKDI_02G4080	XP_056086283.1
SKDI_02G4090	XP_056086284.1
SKDI_02G4100	XP_056086285.1
SKDI_02G4110	XP_056086286.1
SKDI_03G0010	XP_056086287.1
SKDI_03G0020	XP_056086288.1
SKDI_03G0030	XP_056086289.1
SKDI_03G0040	XP_056086290.1
SKDI_03G0050	XP_056086291.1
SKDI_03G0060	XP_056086292.1
SKDI_03G0070	XP_056086293.1
SKDI_03G0080	XP_056086294.1
SKDI_03G0090	XP_056086295.1
SKDI_03G0100	XP_056086296.1
SKDI_03G0110	XP_056086297.1
SKDI_03G0120	XP_056086298.1
SKDI_03G0130	XP_056086299.1
SKDI_03G0140	XP_056086300.1
SKDI_03G0150	XP_056086301.1
SKDI_03G0160	XP_056086302.1
SKDI_03G0170	XP_056086303.1
SKDI_03G0180	XP_056086304.1
SKDI_03G0190	XP_056086305.1
SKDI_03G0200	XP_056086306.1
SKDI_03G0210	XP_056086307.1
SKDI_03G0220	XP_056086308.1
SKDI_03G0230	XP_056086309.1
SKDI_03G0240	XP_056086310.1
SKDI_03G0250	XP_056086311.1
SKDI_03G0260	XP_056086312.1
SKDI_03G0270	XP_056086313.1
SKDI_03G0290	XP_056086314.1
SKDI_03G0300	XP_056086315.1
SKDI_03G0310	XP_056086316.1
SKDI_03G0320	XP_056086317.1
SKDI_03G0330	XP_056086318.1
SKDI_03G0340	XP_056086319.1
SKDI_03G0350	XP_056086320.1
SKDI_03G0360	XP_056086321.1
SKDI_03G0370	XP_056086322.1
SKDI_03G0380	XP_056086323.1
SKDI_03G0390	XP_056086324.1
SKDI_03G0400	XP_056086325.1
SKDI_03G0410	XP_056086326.1
SKDI_03G0420	XP_056086327.1
SKDI_03G0430	XP_056086328.1
SKDI_03G0450	XP_056086329.1
SKDI_03G0460	XP_056086330.1
SKDI_03G0470	XP_056086331.1
SKDI_03G0480	XP_056086332.1
SKDI_03G0490	XP_056086333.1
SKDI_03G0500	XP_056086334.1
SKDI_03G0510	XP_056086335.1
SKDI_03G0520	XP_056086336.1
SKDI_03G0530	XP_056086337.1
SKDI_03G0540	XP_056086338.1
SKDI_03G0540	XP_056086338.1
SKDI_03G0550	XP_056086339.1
SKDI_03G0560	XP_056086340.1
SKDI_03G0570	XP_056086341.1
SKDI_03G0580	XP_056086342.1
SKDI_03G0590	XP_056086343.1
SKDI_03G0590	XP_056086343.1
SKDI_03G0590	XP_056086343.1
SKDI_03G0610	XP_056086344.1
SKDI_03G0620	XP_056086345.1
SKDI_03G0630	XP_056086346.1
SKDI_03G0630	XP_056086346.1
SKDI_03G0640	XP_056086347.1
SKDI_03G0650	XP_056086348.1
SKDI_03G0660	XP_056086349.1
SKDI_03G0670	XP_056086350.1
SKDI_03G0680	XP_056086351.1
SKDI_03G0690	XP_056086352.1
SKDI_03G0700	XP_056086353.1
SKDI_03G0705	XP_056086354.1
SKDI_03G0710	XP_056086355.1
SKDI_03G0720	XP_056086356.1
SKDI_03G0730	XP_056086357.1
SKDI_03G0740	XP_056086358.1
SKDI_03G0750	XP_056086359.1
SKDI_03G0760	XP_056086360.1
SKDI_03G0780	XP_056086361.1
SKDI_03G0790	XP_056086362.1
SKDI_03G0800	XP_056086363.1
SKDI_03G0810	XP_056086364.1
SKDI_03G0820	XP_056086365.1
SKDI_03G0830	XP_056086366.1
SKDI_03G0840	XP_056086367.1
SKDI_03G0850	XP_056086368.1
SKDI_03G0860	XP_056086369.1
SKDI_03G0870	XP_056086370.1
SKDI_03G0880	XP_056086371.1
SKDI_03G0890	XP_056086372.1
SKDI_03G0900	XP_056086373.1
SKDI_03G0910	XP_056086374.1
SKDI_03G0920	XP_056086375.1
SKDI_03G0930	XP_056086376.1
SKDI_03G0940	XP_056086377.1
SKDI_03G0950	XP_056086378.1
SKDI_03G0960	XP_056086379.1
SKDI_03G0960	XP_056086379.1
SKDI_03G0970	XP_056086380.1
SKDI_03G0980	XP_056086381.1
SKDI_03G0980	XP_056086381.1
SKDI_03G0990	XP_056086382.1
SKDI_03G1000	XP_056086383.1
SKDI_03G1010	XP_056086384.1
SKDI_03G1020	XP_056086385.1
SKDI_03G1030	XP_056086386.1
SKDI_03G1040	XP_056086387.1
SKDI_03G1050	XP_056086388.1
SKDI_03G1055	XP_056086389.1
SKDI_03G1055	XP_056086389.1
SKDI_03G1055	XP_056086389.1
SKDI_03G1060	XP_056086390.1
SKDI_03G1070	XP_056086391.1
SKDI_03G1080	XP_056086392.1
SKDI_03G1090	XP_056086393.1
SKDI_03G1110	XP_056086394.1
SKDI_03G1120	XP_056086395.1
SKDI_03G1140	XP_056086396.1
SKDI_03G1160	XP_056086397.1
SKDI_03G1170	XP_056086398.1
SKDI_03G1180	XP_056086399.1
SKDI_03G1190	XP_056086400.1
SKDI_03G1200	XP_056086401.1
SKDI_03G1210	XP_056086402.1
SKDI_03G1220	XP_056086403.1
SKDI_03G1230	XP_056086404.1
SKDI_03G1240	XP_056086405.1
SKDI_03G1250	XP_056086406.1
SKDI_03G1260	XP_056086407.1
SKDI_03G1270	XP_056086408.1
SKDI_03G1280	XP_056086409.1
SKDI_03G1290	XP_056086410.1
SKDI_03G1300	XP_056086411.1
SKDI_03G1310	XP_056086412.1
SKDI_03G1320	XP_056086413.1
SKDI_03G1330	XP_056086414.1
SKDI_03G1340	XP_056086415.1
SKDI_03G1350	XP_056086416.1
SKDI_03G1360	XP_056086417.1
SKDI_03G1370	XP_056086418.1
SKDI_03G1380	XP_056086419.1
SKDI_03G1390	XP_056086420.1
SKDI_03G1400	XP_056086421.1
SKDI_03G1410	XP_056086422.1
SKDI_03G1420	XP_056086423.1
SKDI_03G1430	XP_056086424.1
SKDI_03G1440	XP_056086425.1
SKDI_03G1450	XP_056086426.1
SKDI_03G1460	XP_056086427.1
SKDI_03G1470	XP_056086428.1
SKDI_03G1480	XP_056086429.1
SKDI_03G1490	XP_056086430.1
SKDI_03G1500	XP_056086431.1
SKDI_03G1510	XP_056086432.1
SKDI_03G1520	XP_056086433.1
SKDI_03G1530	XP_056086434.1
SKDI_03G1535	XP_056086435.1
SKDI_03G1535	XP_056086435.1
SKDI_03G1535	XP_056086435.1
SKDI_03G1540	XP_056086436.1
SKDI_03G1550	XP_056086437.1
SKDI_03G1560	XP_056086438.1
SKDI_03G1570	XP_056086439.1
SKDI_03G1580	XP_056086440.1
SKDI_03G1590	XP_056086441.1
SKDI_03G1595	XP_056086442.1
SKDI_03G1600	XP_056086443.1
SKDI_03G1610	XP_056086444.1
SKDI_04G0010	XP_056086445.1
SKDI_04G0020	XP_056086446.1
SKDI_04G0030	XP_056086447.1
SKDI_04G0040	XP_056086448.1
SKDI_04G0050	XP_056086449.1
SKDI_04G0060	XP_056086450.1
SKDI_04G0070	XP_056086451.1
SKDI_04G0080	XP_056086452.1
SKDI_04G0090	XP_056086453.1
SKDI_04G0100	XP_056086454.1
SKDI_04G0110	XP_056086455.1
SKDI_04G0120	XP_056086456.1
SKDI_04G0130	XP_056086457.1
SKDI_04G0140	XP_056086458.1
SKDI_04G0150	XP_056086459.1
SKDI_04G0160	XP_056086460.1
SKDI_04G0170	XP_056086461.1
SKDI_04G0180	XP_056086462.1
SKDI_04G0190	XP_056086463.1
SKDI_04G0200	XP_056086464.1
SKDI_04G0210	XP_056086465.1
SKDI_04G0220	XP_056086466.1
SKDI_04G0230	XP_056086467.1
SKDI_04G0240	XP_056086468.1
SKDI_04G0250	XP_056086469.1
SKDI_04G0260	XP_056086470.1
SKDI_04G0270	XP_056086471.1
SKDI_04G0270	XP_056086471.1
SKDI_04G0280	XP_056086472.1
SKDI_04G0290	XP_056086473.1
SKDI_04G0300	XP_056086474.1
SKDI_04G0310	XP_056086475.1
SKDI_04G0320	XP_056086476.1
SKDI_04G0330	XP_056086477.1
SKDI_04G0340	XP_056086478.1
SKDI_04G0350	XP_056086479.1
SKDI_04G0360	XP_056086480.1
SKDI_04G0370	XP_056086481.1
SKDI_04G0380	XP_056086482.1
SKDI_04G0390	XP_056086483.1
SKDI_04G0400	XP_056086484.1
SKDI_04G0410	XP_056086485.1
SKDI_04G0420	XP_056086486.1
SKDI_04G0430	XP_056086487.1
SKDI_04G0440	XP_056086488.1
SKDI_04G0450	XP_056086489.1
SKDI_04G0460	XP_056086490.1
SKDI_04G0470	XP_056086491.1
SKDI_04G0480	XP_056086492.1
SKDI_04G0490	XP_056086493.1
SKDI_04G0500	XP_056086494.1
SKDI_04G0510	XP_056086495.1
SKDI_04G0520	XP_056086496.1
SKDI_04G0530	XP_056086497.1
SKDI_04G0540	XP_056086498.1
SKDI_04G0540	XP_056086498.1
SKDI_04G0550	XP_056086499.1
SKDI_04G0560	XP_056086500.1
SKDI_04G0570	XP_056086501.1
SKDI_04G0590	XP_056086502.1
SKDI_04G0610	XP_056086503.1
SKDI_04G0630	XP_056086504.1
SKDI_04G0640	XP_056086505.1
SKDI_04G0650	XP_056086506.1
SKDI_04G0660	XP_056086507.1
SKDI_04G0670	XP_056086508.1
SKDI_04G0680	XP_056086509.1
SKDI_04G0690	XP_056086510.1
SKDI_04G0700	XP_056086511.1
