SMKI_01G0010	XP_056080164.1
SMKI_03G0760	XP_056080718.1
SMKI_03G0770	XP_056080719.1
SMKI_03G0780	XP_056080720.1
SMKI_03G0790	XP_056080721.1
SMKI_03G0800	XP_056080722.1
SMKI_03G0810	XP_056080723.1
SMKI_03G0820	XP_056080724.1
SMKI_03G0830	XP_056080725.1
SMKI_03G0840	XP_056080726.1
SMKI_03G0850	XP_056080727.1
SMKI_03G0860	XP_056080728.1
SMKI_03G0860	XP_056080728.1
SMKI_03G0870	XP_056080729.1
SMKI_03G0880	XP_056080730.1
SMKI_03G0880	XP_056080730.1
SMKI_03G0890	XP_056080731.1
SMKI_03G0900	XP_056080732.1
SMKI_03G0910	XP_056080733.1
SMKI_03G0920	XP_056080734.1
SMKI_03G0930	XP_056080735.1
SMKI_03G0940	XP_056080736.1
SMKI_03G0950	XP_056080737.1
SMKI_03G0970	XP_056080738.1
SMKI_03G0975	XP_056080739.1
SMKI_03G0980	XP_056080740.1
SMKI_03G0990	XP_056080741.1
SMKI_03G1000	XP_056080742.1
SMKI_03G1010	XP_056080743.1
SMKI_03G1030	XP_056080744.1
SMKI_03G1040	XP_056080745.1
SMKI_03G1070	XP_056080746.1
SMKI_03G1080	XP_056080747.1
SMKI_03G1090	XP_056080748.1
SMKI_03G1100	XP_056080749.1
SMKI_03G1110	XP_056080750.1
SMKI_03G1120	XP_056080751.1
SMKI_03G1130	XP_056080752.1
SMKI_03G1140	XP_056080753.1
SMKI_03G1150	XP_056080754.1
SMKI_03G1160	XP_056080755.1
SMKI_03G1170	XP_056080756.1
SMKI_03G1180	XP_056080757.1
SMKI_03G1190	XP_056080758.1
SMKI_03G1200	XP_056080759.1
SMKI_03G1210	XP_056080760.1
SMKI_03G1220	XP_056080761.1
SMKI_03G1230	XP_056080762.1
SMKI_03G1240	XP_056080763.1
SMKI_03G1250	XP_056080764.1
SMKI_03G1260	XP_056080765.1
SMKI_03G1270	XP_056080766.1
SMKI_03G1280	XP_056080767.1
SMKI_03G1290	XP_056080768.1
SMKI_03G1300	XP_056080769.1
SMKI_03G1310	XP_056080770.1
SMKI_03G1320	XP_056080771.1
SMKI_03G1330	XP_056080772.1
SMKI_03G1340	XP_056080773.1
SMKI_03G1350	XP_056080774.1
SMKI_03G1360	XP_056080775.1
SMKI_03G1370	XP_056080776.1
SMKI_03G1380	XP_056080777.1
SMKI_03G1390	XP_056080778.1
SMKI_03G1400	XP_056080779.1
SMKI_03G1410	XP_056080780.1
SMKI_03G1420	XP_056080781.1
SMKI_03G1430	XP_056080782.1
SMKI_03G1440	XP_056080783.1
SMKI_03G1445	XP_056080784.1
SMKI_03G1445	XP_056080784.1
SMKI_03G1445	XP_056080784.1
SMKI_03G1450	XP_056080785.1
SMKI_03G1460	XP_056080786.1
SMKI_03G1470	XP_056080787.1
SMKI_04G0010	XP_056080788.1
SMKI_04G0020	XP_056080789.1
SMKI_04G0030	XP_056080790.1
SMKI_04G0040	XP_056080791.1
SMKI_04G0050	XP_056080792.1
SMKI_04G0060	XP_056080793.1
SMKI_04G0070	XP_056080794.1
SMKI_04G0080	XP_056080795.1
SMKI_04G0090	XP_056080796.1
SMKI_04G0100	XP_056080797.1
SMKI_04G0110	XP_056080798.1
SMKI_04G0120	XP_056080799.1
SMKI_04G0130	XP_056080800.1
SMKI_04G0140	XP_056080801.1
SMKI_04G0150	XP_056080802.1
SMKI_04G0160	XP_056080803.1
SMKI_04G0170	XP_056080804.1
SMKI_04G0180	XP_056080805.1
SMKI_04G0190	XP_056080806.1
SMKI_04G0200	XP_056080807.1
SMKI_04G0210	XP_056080808.1
SMKI_04G0220	XP_056080809.1
SMKI_04G0230	XP_056080810.1
SMKI_04G0240	XP_056080811.1
SMKI_04G0240	XP_056080811.1
SMKI_04G0250	XP_056080812.1
SMKI_04G0260	XP_056080813.1
SMKI_04G0270	XP_056080814.1
SMKI_04G0280	XP_056080815.1
SMKI_04G0290	XP_056080816.1
SMKI_04G0300	XP_056080817.1
SMKI_04G0310	XP_056080818.1
SMKI_04G0320	XP_056080819.1
SMKI_04G0330	XP_056080820.1
SMKI_04G0340	XP_056080821.1
SMKI_04G0350	XP_056080822.1
SMKI_04G0360	XP_056080823.1
SMKI_04G0370	XP_056080824.1
SMKI_04G0380	XP_056080825.1
SMKI_04G0390	XP_056080826.1
SMKI_04G0400	XP_056080827.1
SMKI_04G0410	XP_056080828.1
SMKI_04G0420	XP_056080829.1
SMKI_04G0430	XP_056080830.1
SMKI_04G0440	XP_056080831.1
SMKI_04G0450	XP_056080832.1
SMKI_04G0460	XP_056080833.1
SMKI_04G0470	XP_056080834.1
SMKI_04G0480	XP_056080835.1
SMKI_04G0490	XP_056080836.1
SMKI_04G0500	XP_056080837.1
SMKI_04G0510	XP_056080838.1
SMKI_04G0510	XP_056080838.1
SMKI_04G0520	XP_056080839.1
SMKI_04G0530	XP_056080840.1
SMKI_04G0540	XP_056080841.1
SMKI_04G0550	XP_056080842.1
SMKI_04G0570	XP_056080843.1
SMKI_04G0590	XP_056080844.1
SMKI_04G0600	XP_056080845.1
SMKI_04G0610	XP_056080846.1
SMKI_04G0620	XP_056080847.1
SMKI_04G0630	XP_056080848.1
SMKI_04G0640	XP_056080849.1
SMKI_04G0650	XP_056080850.1
SMKI_04G0660	XP_056080851.1
SMKI_04G0670	XP_056080852.1
SMKI_04G0680	XP_056080853.1
SMKI_04G0690	XP_056080854.1
SMKI_04G0700	XP_056080855.1
SMKI_04G0710	XP_056080856.1
SMKI_04G0720	XP_056080857.1
SMKI_04G0730	XP_056080858.1
SMKI_04G0740	XP_056080859.1
SMKI_04G0750	XP_056080860.1
SMKI_04G0760	XP_056080861.1
SMKI_04G0770	XP_056080862.1
SMKI_04G0780	XP_056080863.1
SMKI_04G0790	XP_056080864.1
SMKI_04G0800	XP_056080865.1
SMKI_04G0820	XP_056080866.1
SMKI_04G0830	XP_056080867.1
