DI49_0001	XP_018224050.1
DI49_0107	XP_018223488.1
DI49_0108	XP_018223489.1
DI49_0109	XP_018223490.1
DI49_0110	XP_018223491.1
DI49_0111	XP_018223492.1
DI49_0112	XP_018223493.1
DI49_0113	XP_018223494.1
DI49_0114	XP_018223495.1
DI49_0115	XP_018223496.1
DI49_0116	XP_018223497.1
DI49_0117	XP_018223498.1
DI49_0118	XP_018223499.1
DI49_0119	XP_018223500.1
DI49_0120	XP_018223501.1
DI49_0121	XP_018223502.1
DI49_0122	XP_018223503.1
DI49_0122	XP_018223503.1
DI49_0123	XP_018223504.1
DI49_0124	XP_018223505.1
DI49_0125	XP_018223506.1
DI49_0126	XP_018223507.1
DI49_0127	XP_018223508.1
DI49_0128	XP_018223509.1
DI49_0129	XP_018223510.1
DI49_0130	XP_018223511.1
DI49_0131	XP_018223512.1
DI49_0132	XP_018223513.1
DI49_0133	XP_018223514.1
DI49_0134	XP_018223515.1
DI49_0135	XP_018223516.1
DI49_0136	XP_018223517.1
DI49_0137	XP_018223518.1
DI49_0138	XP_018223519.1
DI49_0139	XP_018223520.1
DI49_0140	XP_018223521.1
DI49_0141	XP_018223522.1
DI49_0142	XP_018223523.1
DI49_0143	XP_018223524.1
DI49_0144	XP_018223525.1
DI49_0145	XP_018223526.1
DI49_0146	XP_018223527.1
DI49_0147	XP_018223528.1
DI49_0148	XP_018223529.1
DI49_0149	XP_018223530.1
DI49_0150	XP_018223531.1
DI49_0151	XP_018223532.1
DI49_0152	XP_018223533.1
DI49_0153	XP_018223534.1
DI49_0153	XP_018223534.1
DI49_0154	XP_018223535.1
DI49_0155	XP_018223536.1
DI49_0155	XP_018223536.1
DI49_0156	XP_018223537.1
DI49_0157	XP_018223538.1
DI49_0158	XP_018223539.1
DI49_0159	XP_018223540.1
DI49_0160	XP_018223541.1
DI49_0161	XP_018223542.1
DI49_0162	XP_018223543.1
DI49_0163	XP_018223544.1
DI49_0164	XP_018223545.1
DI49_0165	XP_018223546.1
DI49_0168	XP_018223547.1
DI49_0169	XP_018223548.1
DI49_0170	XP_018223549.1
DI49_0171	XP_018223550.1
DI49_0172	XP_018223551.1
DI49_0173	XP_018223552.1
DI49_0174	XP_018223553.1
DI49_0175	XP_018223554.1
DI49_0176	XP_018223555.1
DI49_0178	XP_018223556.1
DI49_0179	XP_018223557.1
DI49_0180	XP_018223558.1
DI49_0181	XP_018223559.1
DI49_0182	XP_018223560.1
DI49_0183	XP_018223561.1
DI49_0184	XP_018223562.1
DI49_0185	XP_018223563.1
DI49_0186	XP_018223564.1
DI49_0187	XP_018223565.1
DI49_0188	XP_018223566.1
DI49_0189	XP_018223567.1
DI49_0190	XP_018223568.1
DI49_0191	XP_018223569.1
DI49_0193	XP_018223570.1
DI49_0194	XP_018223571.1
DI49_0195	XP_018223572.1
DI49_0196	XP_018223573.1
DI49_0197	XP_018223574.1
DI49_0198	XP_018223575.1
DI49_0199	XP_018223576.1
DI49_0200	XP_018223577.1
DI49_0201	XP_018223578.1
DI49_0202	XP_018223579.1
DI49_0203	XP_018223580.1
DI49_0204	XP_018223581.1
DI49_0205	XP_018223582.1
DI49_0206	XP_018223583.1
DI49_0207	XP_018223584.1
DI49_0208	XP_018223585.1
DI49_0209	XP_018223586.1
DI49_0210	XP_018223587.1
DI49_0211	XP_018223588.1
DI49_0212	XP_018223589.1
DI49_0213	XP_018223590.1
DI49_0214	XP_018223591.1
DI49_0215	XP_018223592.1
DI49_0216	XP_018223593.1
DI49_0217	XP_018223594.1
DI49_0218	XP_018223595.1
DI49_0219	XP_018223596.1
DI49_0220	XP_018223597.1
DI49_0222	XP_018223598.1
DI49_0223	XP_018223599.1
DI49_0223	XP_018223599.1
DI49_0224	XP_018223600.1
DI49_0225	XP_018223601.1
DI49_0226	XP_018223602.1
DI49_0227	XP_018223603.1
DI49_0228	XP_018223604.1
DI49_0229	XP_018223605.1
DI49_0230	XP_018223606.1
DI49_0231	XP_018223607.1
DI49_0233	XP_018223608.1
DI49_0234	XP_018223609.1
DI49_0235	XP_018223610.1
DI49_0236	XP_018223611.1
DI49_0237	XP_018223612.1
DI49_0238	XP_018223613.1
DI49_0239	XP_018223614.1
DI49_0240	XP_018223615.1
DI49_0241	XP_018223616.1
DI49_0242	XP_018223617.1
DI49_0243	XP_018223618.1
DI49_0244	XP_018223619.1
DI49_0245	XP_018223620.1
DI49_0246	XP_018223621.1
DI49_0247	XP_018223622.1
DI49_0248	XP_018223623.1
DI49_0249	XP_018223624.1
DI49_0250	XP_018223625.1
DI49_0251	XP_018223626.1
DI49_0252	XP_018223627.1
DI49_0255	XP_018223628.1
DI49_0256	XP_018223629.1
DI49_0257	XP_018223630.1
DI49_0258	XP_018223631.1
DI49_0259	XP_018223632.1
DI49_0260	XP_018223633.1
DI49_0260	XP_018223633.1
DI49_0261	XP_018223634.1
DI49_0262	XP_018223635.1
DI49_0263	XP_018223636.1
DI49_0264	XP_018223637.1
DI49_0265	XP_018223638.1
DI49_0266	XP_018223639.1
DI49_0267	XP_018223640.1
DI49_0268	XP_018223641.1
DI49_0269	XP_018223642.1
DI49_0270	XP_018223643.1
DI49_0271	XP_018223644.1
DI49_0272	XP_018223645.1
DI49_0273	XP_018223646.1
DI49_0274	XP_018223647.1
DI49_0275	XP_018223648.1
DI49_0276	XP_018223649.1
DI49_0277	XP_018223650.1
DI49_0278	XP_018223651.1
DI49_0279	XP_018223652.1
DI49_0280	XP_018223653.1
DI49_0281	XP_018223654.1
DI49_0282	XP_018223655.1
DI49_0283	XP_018223656.1
DI49_0284	XP_018223657.1
DI49_0285	XP_018223658.1
DI49_0287	XP_018223659.1
DI49_0288	XP_018223660.1
DI49_0289	XP_018223661.1
DI49_0290	XP_018223662.1
DI49_0291	XP_018223663.1
DI49_0292	XP_018223664.1
DI49_0293	XP_018223665.1
DI49_0295	XP_018223666.1
DI49_0296	XP_018223667.1
DI49_0297	XP_018223668.1
DI49_0298	XP_018223669.1
DI49_0299	XP_018223670.1
DI49_0300	XP_018223671.1
DI49_0301	XP_018223672.1
DI49_0303	XP_018223673.1
DI49_0304	XP_018223674.1
DI49_0305	XP_018223675.1
DI49_0306	XP_018223676.1
DI49_0307	XP_018223677.1
DI49_0308	XP_018223678.1
DI49_0309	XP_018223679.1
DI49_0310	XP_018223680.1
DI49_0311	XP_018223681.1
DI49_0312	XP_018223682.1
DI49_0313	XP_018223683.1
DI49_0314	XP_018223684.1
DI49_0315	XP_018223685.1
DI49_0316	XP_018223686.1
DI49_0317	XP_018223687.1
DI49_0318	XP_018223688.1
DI49_0319	XP_018223689.1
DI49_0320	XP_018223690.1
DI49_0321	XP_018223691.1
DI49_0322	XP_018223692.1
DI49_0323	XP_018223693.1
DI49_0324	XP_018223694.1
DI49_0325	XP_018223695.1
DI49_0326	XP_018223696.1
DI49_0327	XP_018223697.1
DI49_0328	XP_018223698.1
DI49_0329	XP_018223699.1
DI49_0330	XP_018223700.1
DI49_0331	XP_018223701.1
DI49_0331	XP_018223701.1
DI49_0332	XP_018223702.1
DI49_0333	XP_018223703.1
DI49_0334	XP_018223704.1
DI49_0335	XP_018223705.1
DI49_0336	XP_018223706.1
DI49_0337	XP_018223707.1
DI49_0338	XP_018223708.1
DI49_0339	XP_018223709.1
DI49_0340	XP_018223710.1
DI49_0341	XP_018223711.1
DI49_0342	XP_018223712.1
DI49_0343	XP_018223713.1
DI49_0344	XP_018223714.1
DI49_0345	XP_018223715.1
DI49_0346	XP_018223716.1
DI49_0347	XP_018223717.1
DI49_0348	XP_018223718.1
DI49_0349	XP_018223719.1
DI49_0350	XP_018223720.1
DI49_0351	XP_018223721.1
DI49_0352	XP_018223722.1
DI49_0353	XP_018223723.1
DI49_0354	XP_018223724.1
DI49_0355	XP_018223725.1
DI49_0356	XP_018223726.1
DI49_0357	XP_018223727.1
DI49_0358	XP_018223728.1
DI49_0359	XP_018223729.1
DI49_0361	XP_018223730.1
DI49_0362	XP_018223731.1
DI49_0363	XP_018223732.1
DI49_0364	XP_018223733.1
DI49_0365	XP_018223734.1
DI49_0366	XP_018223735.1
DI49_0367	XP_018223736.1
DI49_0368	XP_018223737.1
DI49_0369	XP_018223738.1
DI49_0370	XP_018223739.1
DI49_0371	XP_018223740.1
DI49_0372	XP_018223741.1
DI49_0373	XP_018223742.1
DI49_0374	XP_018223743.1
DI49_0375	XP_018223744.1
DI49_0376	XP_018223745.1
DI49_0377	XP_018223746.1
DI49_0378	XP_018223747.1
DI49_0379	XP_018223748.1
DI49_0380	XP_018223749.1
DI49_0381	XP_018223750.1
DI49_0382	XP_018223751.1
DI49_0383	XP_018223752.1
DI49_0384	XP_018223753.1
DI49_0385	XP_018223754.1
DI49_0386	XP_018223755.1
DI49_0387	XP_018223756.1
DI49_0388	XP_018223757.1
DI49_0389	XP_018223758.1
DI49_0390	XP_018223759.1
DI49_0391	XP_018223760.1
DI49_0392	XP_018223761.1
DI49_0393	XP_018223762.1
DI49_0394	XP_018223763.1
DI49_0396	XP_018223764.1
DI49_0397	XP_018223765.1
DI49_0398	XP_018223766.1
DI49_0399	XP_018223767.1
DI49_0400	XP_018223768.1
DI49_0401	XP_018223769.1
DI49_0402	XP_018223770.1
DI49_0403	XP_018223771.1
DI49_0404	XP_018223772.1
DI49_0405	XP_018223773.1
DI49_0406	XP_018223774.1
DI49_0407	XP_018223775.1
DI49_0408	XP_018223776.1
DI49_0409	XP_018223777.1
DI49_0410	XP_018223778.1
DI49_0411	XP_018223779.1
DI49_0412	XP_018223780.1
DI49_0413	XP_018223781.1
DI49_0414	XP_018223782.1
DI49_0415	XP_018223783.1
DI49_0416	XP_018223784.1
DI49_0417	XP_018223785.1
DI49_0418	XP_018223786.1
DI49_0419	XP_018223787.1
DI49_0420	XP_018223788.1
DI49_0421	XP_018223789.1
DI49_0422	XP_018223790.1
DI49_0424	XP_018223791.1
DI49_0425	XP_018223792.1
DI49_0426	XP_018223793.1
DI49_0427	XP_018223794.1
DI49_0428	XP_018223795.1
DI49_0429	XP_018223796.1
DI49_0430	XP_018223797.1
DI49_0431	XP_018223798.1
DI49_0432	XP_018223799.1
DI49_0433	XP_018223800.1
DI49_0434	XP_018223801.1
DI49_0435	XP_018223802.1
DI49_0436	XP_018223803.1
DI49_0437	XP_018223804.1
DI49_0438	XP_018223805.1
DI49_0439	XP_018223806.1
DI49_0440	XP_018223807.1
DI49_0441	XP_018223808.1
DI49_0443	XP_018223809.1
DI49_0444	XP_018223810.1
DI49_0445	XP_018223811.1
DI49_0446	XP_018223812.1
DI49_0447	XP_018223813.1
DI49_0448	XP_018223814.1
DI49_0449	XP_018223815.1
DI49_0450	XP_018223816.1
DI49_0451	XP_018223817.1
DI49_0452	XP_018223818.1
DI49_0453	XP_018223819.1
DI49_0454	XP_018223820.1
DI49_0455	XP_018223821.1
DI49_0457	XP_018223822.1
DI49_0458	XP_018223823.1
DI49_0459	XP_018223824.1
DI49_0460	XP_018223825.1
DI49_0461	XP_018223826.1
DI49_0462	XP_018223827.1
DI49_0463	XP_018223828.1
DI49_0464	XP_018223829.1
DI49_0465	XP_018223830.1
DI49_0466	XP_018223831.1
DI49_0467	XP_018223832.1
DI49_0468	XP_018223833.1
DI49_0469	XP_018223834.1
DI49_0470	XP_018223835.1
DI49_0471	XP_018223836.1
DI49_0472	XP_018223837.1
DI49_0473	XP_018223838.1
DI49_0474	XP_018223839.1
DI49_0475	XP_018223840.1
DI49_0476	XP_018223841.1
DI49_0477	XP_018223842.1
DI49_0478	XP_018223843.1
DI49_0479	XP_018223844.1
DI49_0480	XP_018223845.1
DI49_0481	XP_018223846.1
DI49_0482	XP_018223847.1
DI49_0483	XP_018223848.1
DI49_0485	XP_018223849.1
DI49_0486	XP_018223850.1
DI49_0487	XP_018223851.1
DI49_0488	XP_018223852.1
DI49_0489	XP_018223853.1
DI49_0490	XP_018223854.1
DI49_0491	XP_018223855.1
DI49_0492	XP_018223856.1
DI49_0493	XP_018223857.1
DI49_0494	XP_018223858.1
DI49_0496	XP_018223859.1
DI49_0497	XP_018223860.1
DI49_0497	XP_018223860.1
DI49_0498	XP_018223861.1
DI49_0499	XP_018223862.1
DI49_0500	XP_018223863.1
DI49_0501	XP_018223864.1
DI49_0502	XP_018223865.1
DI49_0503	XP_018223866.1
DI49_0504	XP_018223867.1
DI49_0505	XP_018223868.1
DI49_0506	XP_018223869.1
DI49_0507	XP_018223870.1
DI49_0508	XP_018223871.1
DI49_0509	XP_018223872.1
DI49_0510	XP_018223873.1
DI49_0511	XP_018223874.1
DI49_0512	XP_018223875.1
DI49_0513	XP_018223876.1
DI49_0514	XP_018223877.1
DI49_0515	XP_018223878.1
DI49_0516	XP_018223879.1
DI49_0517	XP_018223880.1
DI49_0518	XP_018223881.1
DI49_0519	XP_018223882.1
DI49_0521	XP_018223883.1
DI49_0522	XP_018223884.1
DI49_0523	XP_018223885.1
DI49_0524	XP_018223886.1
DI49_0525	XP_018223887.1
DI49_0526	XP_018223888.1
DI49_0528	XP_018223889.1
DI49_0529	XP_018223890.1
DI49_0530	XP_018223891.1
DI49_0531	XP_018223892.1
DI49_0532	XP_018223893.1
DI49_0533	XP_018223894.1
DI49_0534	XP_018223895.1
DI49_0535	XP_018223896.1
DI49_0536	XP_018223897.1
DI49_0537	XP_018223898.1
DI49_0538	XP_018223899.1
DI49_0539	XP_018223900.1
DI49_0541	XP_018223901.1
DI49_0542	XP_018223902.1
DI49_0543	XP_018223903.1
DI49_0544	XP_018223904.1
DI49_0544	XP_018223904.1
DI49_0545	XP_018223905.1
DI49_0546	XP_018223906.1
DI49_0547	XP_018223907.1
DI49_0548	XP_018223908.1
DI49_0549	XP_018223909.1
DI49_0550	XP_018223910.1
DI49_0551	XP_018223911.1
DI49_0552	XP_018223912.1
DI49_0553	XP_018223913.1
DI49_0554	XP_018223914.1
DI49_0555	XP_018223915.1
DI49_0556	XP_018223916.1
DI49_0557	XP_018223917.1
DI49_0558	XP_018223918.1
DI49_0559	XP_018223919.1
DI49_0560	XP_018223920.1
DI49_0561	XP_018223921.1
DI49_0562	XP_018223922.1
DI49_0563	XP_018223923.1
DI49_0564	XP_018223924.1
DI49_0565	XP_018223925.1
DI49_0566	XP_018223926.1
DI49_0568	XP_018223927.1
DI49_0569	XP_018223928.1
DI49_0570	XP_018223929.1
DI49_0571	XP_018223930.1
DI49_0572	XP_018223931.1
DI49_0573	XP_018223932.1
DI49_0574	XP_018223933.1
DI49_0575	XP_018223934.1
DI49_0576	XP_018223935.1
DI49_0577	XP_018223936.1
DI49_0578	XP_018223937.1
DI49_0579	XP_018223938.1
DI49_0580	XP_018223939.1
DI49_0581	XP_018223940.1
DI49_0582	XP_018223941.1
DI49_0583	XP_018223942.1
DI49_0584	XP_018223943.1
DI49_0585	XP_018223944.1
DI49_0586	XP_018223945.1
DI49_0587	XP_018223946.1
DI49_0588	XP_018223947.1
DI49_0589	XP_018223948.1
DI49_0590	XP_018223949.1
DI49_0591	XP_018223950.1
DI49_0593	XP_018223951.1
DI49_0594	XP_018223952.1
DI49_0595	XP_018223953.1
DI49_0596	XP_018223954.1
DI49_0597	XP_018223955.1
DI49_0598	XP_018223956.1
DI49_0599	XP_018223957.1
DI49_0600	XP_018223958.1
DI49_0601	XP_018223959.1
DI49_0602	XP_018223960.1
DI49_0603	XP_018223961.1
DI49_0604	XP_018223962.1
DI49_0605	XP_018223963.1
DI49_0606	XP_018223964.1
DI49_0607	XP_018223965.1
DI49_0608	XP_018223966.1
DI49_0609	XP_018223967.1
DI49_0610	XP_018223968.1
DI49_0611	XP_018223969.1
DI49_0613	XP_018223970.1
DI49_0614	XP_018223971.1
DI49_0615	XP_018223972.1
DI49_0616	XP_018223973.1
DI49_0617	XP_018223974.1
DI49_0617	XP_018223974.1
DI49_0618	XP_018223975.1
DI49_0619	XP_018223976.1
DI49_0620	XP_018223977.1
DI49_0621	XP_018223978.1
DI49_0622	XP_018223979.1
DI49_0623	XP_018223980.1
DI49_0624	XP_018223981.1
DI49_0625	XP_018223982.1
DI49_0626	XP_018223983.1
DI49_0627	XP_018223984.1
DI49_0628	XP_018223985.1
DI49_0629	XP_018223986.1
DI49_0630	XP_018223987.1
DI49_0631	XP_018223988.1
DI49_0632	XP_018223989.1
DI49_0633	XP_018223990.1
DI49_0634	XP_018223991.1
DI49_0635	XP_018223992.1
DI49_0636	XP_018223993.1
DI49_0636	XP_018223993.1
DI49_0637	XP_018223994.1
DI49_0638	XP_018223995.1
DI49_0639	XP_018223996.1
DI49_0640	XP_018223997.1
DI49_0641	XP_018223998.1
DI49_0642	XP_018223999.1
DI49_0643	XP_018224000.1
DI49_0644	XP_018224001.1
DI49_0645	XP_018224002.1
DI49_0646	XP_018224003.1
DI49_0647	XP_018224004.1
DI49_0648	XP_018224005.1
DI49_0649	XP_018224006.1
DI49_0650	XP_018224007.1
DI49_0651	XP_018224008.1
DI49_0652	XP_018224009.1
DI49_0653	XP_018224010.1
DI49_0654	XP_018224011.1
DI49_0655	XP_018224012.1
DI49_0656	XP_018224013.1
DI49_0657	XP_018224014.1
DI49_0658	XP_018224015.1
DI49_0659	XP_018224016.1
DI49_0660	XP_018224017.1
DI49_0661	XP_018224018.1
DI49_0662	XP_018224019.1
DI49_0663	XP_018224020.1
DI49_0664	XP_018224021.1
DI49_0665	XP_018224022.1
DI49_0666	XP_018224023.1
DI49_0667	XP_018224024.1
DI49_0668	XP_018224025.1
DI49_0670	XP_018224026.1
DI49_0671	XP_018224027.1
DI49_0672	XP_018224028.1
DI49_0673	XP_018224029.1
DI49_0674	XP_018224030.1
DI49_0675	XP_018224031.1
DI49_0676	XP_018224032.1
DI49_0677	XP_018224033.1
DI49_0678	XP_018224034.1
DI49_0679	XP_018224035.1
DI49_0680	XP_018224036.1
DI49_0681	XP_018224037.1
DI49_0682	XP_018224038.1
DI49_0683	XP_018224039.1
DI49_0684	XP_018224040.1
DI49_0685	XP_018224041.1
DI49_0686	XP_018224042.1
DI49_0687	XP_018224043.1
DI49_0688	XP_018224044.1
DI49_0689	XP_018224045.1
DI49_0690	XP_018224046.1
DI49_0691	XP_018224047.1
DI49_0692	XP_018224048.1
DI49_0693	XP_018224049.1
DI49_0695	XP_018223325.1
DI49_0696	XP_018223326.1
DI49_0697	XP_018223327.1
DI49_0698	XP_018223328.1
DI49_0699	XP_018223329.1
DI49_0700	XP_018223330.1
DI49_0701	XP_018223331.1
DI49_0702	XP_018223332.1
DI49_0703	XP_018223333.1
DI49_0704	XP_018223334.1
DI49_0705	XP_018223335.1
DI49_0706	XP_018223336.1
DI49_0707	XP_018223337.1
DI49_0708	XP_018223338.1
DI49_0709	XP_018223339.1
DI49_0710	XP_018223340.1
DI49_0711	XP_018223341.1
DI49_0712	XP_018223342.1
DI49_0713	XP_018223343.1
DI49_0714	XP_018223344.1
DI49_0715	XP_018223345.1
DI49_0716	XP_018223346.1
DI49_0717	XP_018223347.1
DI49_0718	XP_018223348.1
DI49_0719	XP_018223349.1
DI49_0720	XP_018223350.1
DI49_0721	XP_018223351.1
DI49_0722	XP_018223352.1
DI49_0723	XP_018223353.1
DI49_0724	XP_018223354.1
DI49_0725	XP_018223355.1
DI49_0726	XP_018223356.1
DI49_0727	XP_018223357.1
DI49_0728	XP_018223358.1
DI49_0729	XP_018223359.1
DI49_0730	XP_018223360.1
DI49_0731	XP_018223361.1
DI49_0733	XP_018223362.1
DI49_0734	XP_018223363.1
DI49_0736	XP_018223364.1
DI49_0737	XP_018223365.1
DI49_0738	XP_018223366.1
DI49_0739	XP_018223367.1
DI49_0740	XP_018223368.1
DI49_0740	XP_018223368.1
DI49_0741	XP_018223369.1
DI49_0742	XP_018223370.1
DI49_0743	XP_018223371.1
DI49_0744	XP_018223372.1
DI49_0745	XP_018223373.1
DI49_0745	XP_018223373.1
DI49_0746	XP_018223374.1
DI49_0747	XP_018223375.1
DI49_0748	XP_018223376.1
DI49_0749	XP_018223377.1
DI49_0750	XP_018223378.1
DI49_0751	XP_018223379.1
DI49_0752	XP_018223380.1
DI49_0753	XP_018223381.1
DI49_0754	XP_018223382.1
DI49_0756	XP_018223383.1
DI49_0758	XP_018223384.1
DI49_0759	XP_018223385.1
DI49_0760	XP_018223386.1
DI49_0761	XP_018223387.1
DI49_0762	XP_018223388.1
DI49_0763	XP_018223389.1
DI49_0764	XP_018223390.1
DI49_0766	XP_018223391.1
DI49_0767	XP_018223392.1
DI49_0770	XP_018223393.1
DI49_0771	XP_018223394.1
DI49_0772	XP_018223395.1
DI49_0773	XP_018223396.1
DI49_0774	XP_018223397.1
DI49_0775	XP_018223398.1
DI49_0776	XP_018223399.1
DI49_0777	XP_018223400.1
DI49_0778	XP_018223401.1
DI49_0779	XP_018223402.1
DI49_0781	XP_018223403.1
DI49_0782	XP_018223404.1
DI49_0783	XP_018223405.1
DI49_0783	XP_018223405.1
DI49_0784	XP_018223406.1
DI49_0785	XP_018223407.1
DI49_0786	XP_018223408.1
DI49_0787	XP_018223409.1
DI49_0788	XP_018223410.1
DI49_0789	XP_018223411.1
DI49_0790	XP_018223412.1
DI49_0791	XP_018223413.1
DI49_0792	XP_018223414.1
DI49_0793	XP_018223415.1
DI49_0794	XP_018223416.1
DI49_0795	XP_018223417.1
DI49_0796	XP_018223418.1
DI49_0797	XP_018223419.1
DI49_0798	XP_018223420.1
DI49_0799	XP_018223421.1
DI49_0800	XP_018223422.1
DI49_0801	XP_018223423.1
DI49_0802	XP_018223424.1
DI49_0803	XP_018223425.1
DI49_0804	XP_018223426.1
DI49_0805	XP_018223427.1
DI49_0806	XP_018223428.1
DI49_0807	XP_018223429.1
DI49_0809	XP_018223430.1
DI49_0810	XP_018223431.1
DI49_0811	XP_018223432.1
DI49_0812	XP_018223433.1
DI49_0813	XP_018223434.1
DI49_0814	XP_018223435.1
DI49_0815	XP_018223436.1
DI49_0816	XP_018223437.1
DI49_0817	XP_018223438.1
DI49_0818	XP_018223439.1
DI49_0819	XP_018223440.1
DI49_0820	XP_018223441.1
DI49_0821	XP_018223442.1
DI49_0822	XP_018223443.1
DI49_0823	XP_018223444.1
DI49_0824	XP_018223445.1
DI49_0825	XP_018223446.1
DI49_0826	XP_018223447.1
DI49_0827	XP_018223448.1
DI49_0828	XP_018223449.1
DI49_0829	XP_018223450.1
DI49_0830	XP_018223451.1
DI49_0831	XP_018223452.1
DI49_0832	XP_018223453.1
DI49_0833	XP_018223454.1
DI49_0834	XP_018223455.1
DI49_0835	XP_018223456.1
DI49_0836	XP_018223457.1
DI49_0837	XP_018223458.1
DI49_0838	XP_018223459.1
DI49_0839	XP_018223460.1
DI49_0841	XP_018222858.1
DI49_0842	XP_018222859.1
DI49_0843	XP_018222860.1
DI49_0844	XP_018222861.1
DI49_0845	XP_018222862.1
DI49_0846	XP_018222863.1
DI49_0847	XP_018222864.1
DI49_0848	XP_018222865.1
DI49_0849	XP_018222866.1
DI49_0850	XP_018222867.1
DI49_0851	XP_018222868.1
DI49_0852	XP_018222869.1
DI49_0853	XP_018222870.1
DI49_0854	XP_018222871.1
DI49_0855	XP_018222872.1
DI49_0856	XP_018222873.1
DI49_0857	XP_018222874.1
DI49_0858	XP_018222875.1
DI49_0859	XP_018222876.1
DI49_0860	XP_018222877.1
DI49_0861	XP_018222878.1
DI49_0862	XP_018222879.1
DI49_0862	XP_018222879.1
DI49_0863	XP_018222880.1
DI49_0864	XP_018222881.1
DI49_0865	XP_018222882.1
DI49_0866	XP_018222883.1
DI49_0867	XP_018222884.1
DI49_0868	XP_018222885.1
DI49_0869	XP_018222886.1
DI49_0870	XP_018222887.1
DI49_0872	XP_018222888.1
DI49_0873	XP_018222889.1
DI49_0874	XP_018222890.1
DI49_0875	XP_018222891.1
DI49_0876	XP_018222892.1
DI49_0877	XP_018222893.1
DI49_0878	XP_018222894.1
DI49_0879	XP_018222895.1
DI49_0880	XP_018222896.1
DI49_0881	XP_018222897.1
DI49_0882	XP_018222898.1
DI49_0883	XP_018222899.1
DI49_0884	XP_018222900.1
DI49_0885	XP_018222901.1
DI49_0886	XP_018222902.1
DI49_0887	XP_018222903.1
DI49_0888	XP_018222904.1
DI49_0889	XP_018222905.1
DI49_0890	XP_018222906.1
DI49_0890	XP_018222906.1
DI49_0891	XP_018222907.1
DI49_0892	XP_018222908.1
DI49_0893	XP_018222909.1
DI49_0894	XP_018222910.1
DI49_0895	XP_018222911.1
DI49_0896	XP_018222912.1
DI49_0897	XP_018222913.1
DI49_0898	XP_018222914.1
DI49_0899	XP_018222915.1
