YAL068C	NP_009332.1
YBR039W	NP_009595.1
YBR040W	NP_009596.1
YBR041W	NP_009597.2
YBR042C	NP_009598.1
YBR043C	NP_009599.2
YBR044C	NP_009600.2
YBR045C	NP_009601.2
YBR046C	NP_009602.1
YBR047W	NP_009603.1
YBR048W	NP_009604.1
YBR048W	NP_009604.1
YBR049C	NP_009605.1
YBR050C	NP_009606.1
YBR052C	NP_009608.1
YBR053C	NP_009609.1
YBR054W	NP_009610.1
YBR055C	NP_009611.1
YBR056W	NP_009612.1
YBR056W-A	NP_001257668.1
YBR057C	NP_009613.1
YBR058C	NP_009614.2
YBR058C-A	NP_116327.3
YBR059C	NP_009615.1
YBR060C	NP_009616.1
YBR061C	NP_009617.3
YBR062C	NP_009618.2
YBR062C	NP_009618.2
YBR063C	NP_009619.1
YBR065C	NP_009621.3
YBR066C	NP_009622.1
YBR067C	NP_009623.1
YBR068C	NP_009624.4
YBR069C	NP_009625.1
YBR070C	NP_009626.1
YBR071W	NP_009627.3
YBR072W	NP_009628.1
YBR072C-A	NP_878048.1
YBR073W	NP_009629.6
YBR074W	NP_009630.3
YBR076W	NP_009632.2
YBR077C	NP_009633.3
YBR078W	NP_009634.2
YBR078W	NP_009634.2
YBR079C	NP_009635.1
YBR080C	NP_009636.3
YBR081C	NP_009637.1
YBR082C	NP_009638.1
YBR082C	NP_009638.1
YBR083W	NP_009639.3
YBR084W	NP_009640.1
YBR084C-A	NP_009641.1
YBR084C-A	NP_009641.1
YBR085W	NP_009642.3
YBR085C-A	NP_061491.1
YBR086C	NP_009643.2
YBR087W	NP_009644.3
YBR088C	NP_009645.1
YBR089C-A	NP_009647.2
YBR090C	NP_009648.4
YBR090C	NP_009648.4
YBR091C	NP_009649.1
YBR092C	NP_009650.1
YBR093C	NP_009651.3
YBR094W	NP_009652.2
YBR095C	NP_009653.2
YBR096W	NP_009654.3
YBR097W	NP_009655.2
YBR098W	NP_009656.2
YBR101C	NP_009659.3
YBR102C	NP_009660.1
YBR103W	NP_009661.1
YBR104W	NP_009662.3
YBR105C	NP_009663.1
YBR106W	NP_009664.1
YBR107C	NP_009665.3
YBR108W	NP_009666.3
YBR109C	NP_009667.1
YBR110W	NP_009668.3
YBR111C	NP_009669.1
YBR111W-A	NP_878049.2
YBR111W-A	NP_878049.2
YBR111W-A	NP_878049.2
YBR112C	NP_009670.3
YBR114W	NP_009672.1
YBR115C	NP_009673.1
YBR117C	NP_009675.3
YBR118W	NP_009676.1
YBR119W	NP_009677.1
YBR119W	NP_009677.1
YBR120C	NP_009678.3
YBR121C	NP_009679.2
YBR122C	NP_009680.2
YBR123C	NP_009681.3
YBR125C	NP_009683.1
YBR126C	NP_009684.1
YBR126W-A	NP_001257669.1
YBR127C	NP_009685.3
YBR128C	NP_009686.1
YBR129C	NP_009687.1
YBR130C	NP_009688.3
YBR131W	NP_009689.3
YBR132C	NP_009690.1
YBR133C	NP_009691.1
YBR135W	NP_009693.3
YBR136W	NP_009694.3
YBR137W	NP_009695.2
YBR138C	NP_009696.2
YBR139W	NP_009697.3
YBR140C	NP_009698.3
YBR141C	NP_009699.2
YBR142W	NP_009700.1
YBR143C	NP_009701.3
YBR144C	NP_001335745.1
YBR145W	NP_009703.3
YBR146W	NP_009704.1
YBR147W	NP_009705.1
YBR148W	NP_009706.3
YBR149W	NP_009707.3
YBR150C	NP_009708.1
YBR151W	NP_009709.1
YBR152W	NP_009710.3
YBR153W	NP_009711.3
YBR154C	NP_009712.1
YBR155W	NP_009713.1
YBR156C	NP_009714.3
YBR157C	NP_009715.4
YBR158W	NP_009716.1
YBR159W	NP_009717.1
YBR160W	NP_009718.3
YBR161W	NP_009719.3
YBR162C	NP_009720.1
YBR162W-A	NP_009721.1
YBR163W	NP_009722.3
YBR164C	NP_009723.3
YBR165W	NP_009724.1
YBR166C	NP_009725.1
YBR167C	NP_009726.3
YBR168W	NP_009727.3
YBR169C	NP_009728.1
YBR170C	NP_009729.1
YBR171W	NP_009730.3
YBR172C	NP_009731.4
YBR173C	NP_009732.1
YBR175W	NP_009734.1
YBR176W	NP_009735.3
YBR177C	NP_009736.3
YBR179C	NP_009738.1
YBR180W	NP_009739.1
YBR181C	NP_009740.3
YBR181C	NP_009740.3
YBR182C	NP_009741.3
YBR182C-A	NP_878050.1
YBR183W	NP_009742.1
YBR184W	NP_009743.3
YBR185C	NP_009744.3
YBR186W	NP_009745.2
YBR186W	NP_009745.2
YBR187W	NP_009746.1
YBR188C	NP_009747.3
YBR189W	NP_009748.3
YBR189W	NP_009748.3
YBR191W	NP_009750.1
YBR191W	NP_009750.1
YBR192W	NP_009751.1
YBR193C	NP_009752.3
YBR194W	NP_009753.3
YBR195C	NP_009754.1
YBR196C	NP_009755.1
YBR196C-A	NP_878051.3
YBR196C-B	NP_878052.3
YBR197C	NP_009756.1
YBR198C	NP_009757.1
YBR199W	NP_009758.3
YBR200W	NP_009759.3
YBR200W-A	NP_878053.1
YBR201W	NP_009760.1
YBR201C-A	NP_001032571.3
YBR202W	NP_009761.4
YBR203W	NP_009762.2
YBR204C	NP_009763.2
YBR205W	NP_009764.3
YBR207W	NP_009766.4
YBR208C	NP_009767.1
YBR209W	NP_001335746.1
YBR210W	NP_009769.1
YBR211C	NP_009770.3
YBR212W	NP_009771.3
YBR213W	NP_009772.1
YBR214W	NP_009773.1
YBR215W	NP_009774.4
YBR215W	NP_009774.4
YBR216C	NP_009775.3
YBR217W	NP_009776.1
YBR218C	NP_009777.1
YBR219C	NP_009778.3
YBR219C	NP_009778.3
YBR220C	NP_009779.3
YBR221C	NP_009780.1
YBR221W-A	NP_878054.1
YBR222C	NP_009781.3
YBR223C	NP_009782.3
YBR225W	NP_009784.1
YBR227C	NP_009786.1
YBR228W	NP_009787.3
YBR229C	NP_009788.3
YBR230C	NP_009789.1
YBR230C	NP_009789.1
YBR230W-A	NP_001018029.1
YBR231C	NP_009790.3
YBR233W	NP_009792.3
YBR233W-A	NP_631876.1
YBR234C	NP_009793.1
YBR235W	NP_009794.3
YBR236C	NP_009795.3
YBR237W	NP_009796.1
YBR238C	NP_009797.1
YBR239C	NP_009798.3
YBR240C	NP_009799.3
YBR241C	NP_009800.1
YBR242W	NP_009801.1
YBR243C	NP_009802.3
YBR244W	NP_009803.3
YBR245C	NP_009804.1
YBR246W	NP_009805.1
YBR247C	NP_009806.3
YBR248C	NP_009807.3
YBR249C	NP_009808.1
YBR250W	NP_009809.1
YBR251W	NP_009810.3
YBR252W	NP_009811.3
YBR253W	NP_009812.1
YBR254C	NP_009813.1
YBR255W	NP_009814.3
YBR255C-A	NP_116328.4
YBR255C-A	NP_116328.4
YBR256C	NP_009815.1
YBR257W	NP_009816.1
YBR258C	NP_009817.3
YBR259W	NP_009818.3
YBR260C	NP_009819.1
YBR261C	NP_009820.1
YBR262C	NP_009821.3
YBR263W	NP_009822.4
YBR264C	NP_009823.2
YBR265W	NP_009824.2
YBR267W	NP_009825.4
YBR266C	NP_001381962.1
YBR268W	NP_009827.3
YBR269C	NP_009828.2
YBR270C	NP_009829.2
YBR271W	NP_009830.3
YBR272C	NP_009831.3
YBR273C	NP_009832.1
YBR274W	NP_009833.1
YBR275C	NP_009834.4
YBR276C	NP_009835.3
YBR278W	NP_009837.1
YBR279W	NP_009838.1
YBR280C	NP_009839.4
YBR281C	NP_009840.3
YBR282W	NP_009841.1
YBR283C	NP_009842.1
YBR284W	NP_009843.3
YBR285W	NP_009844.4
YBR286W	NP_009845.2
YBR287W	NP_009846.1
YBR288C	NP_009847.4
YBR289W	NP_009848.4
YBR290W	NP_009849.1
YBR291C	NP_009850.1
YBR292C	NP_001335747.1
YBR293W	NP_009852.3
YBR294W	NP_009853.3
YBR295W	NP_009854.2
YBR296C	NP_009855.1
YBR296C-A	NP_878055.3
YBR297W	NP_009856.3
YBR298C	NP_009857.1
YBR298C-A	NP_878056.1
YBR299W	NP_009858.3
YBR301W	NP_009860.3
YBR302C	NP_009861.1
YCL073C	NP_009863.2
YCL069W	NP_009864.1
YCL068C	NP_009865.2
YCL067C	NP_009866.1
YCL066W	NP_009867.1
YCL064C	NP_001018030.1
YCL063W	NP_009870.1
YCL061C	NP_009871.2
YCL059C	NP_009872.1
YCL058C	NP_009873.1
YCL058W-A	NP_001018031.2
YCL057C-A	NP_065435.1
YCL057W	NP_009874.1
YCL056C	NP_009875.1
YCL055W	NP_009876.1
YCL054W-A	NP_001291943.1
YCL054W	NP_009877.1
YCL052C	NP_009878.1
YCL051W	NP_009879.2
YCL050C	NP_009880.2
YCL049C	NP_009881.2
YCL048W-A	NP_001032573.1
YCL048W	NP_009882.1
YCL047C	NP_009883.1
YCL045C	NP_009884.1
YCL044C	NP_009886.1
YCL043C	NP_009887.1
YCL042W	NP_009889.2
YCL040W	NP_009890.1
YCL039W	NP_009891.1
YCL038C	NP_009892.1
YCL037C	NP_009893.2
YCL036W	NP_009894.1
YCL035C	NP_009895.1
YCL034W	NP_009896.2
YCL033C	NP_009897.1
YCL032W	NP_009898.1
YCL031C	NP_009899.1
YCL030C	NP_009900.2
YCL029C	NP_009901.1
YCL028W	NP_009902.2
YCL027W	NP_009903.2
YCL026C-B	NP_065436.1
YCL026C-A	NP_009904.2
YCL025C	NP_009905.3
YCL024W	NP_009907.2
YCL021W-A	NP_065437.1
YCL019W	NP_009909.2
YCL019W	NP_009909.2
YCL020W	NP_009910.2
YCL018W	NP_009911.2
YCL017C	NP_009912.2
YCL016C	NP_009913.2
YCL014W	NP_009914.2
YCL012C	NP_976246.1
YCL012C	NP_976246.1
YCL011C	NP_009916.1
YCL010C	NP_009917.1
YCL009C	NP_009918.1
YCL008C	NP_009919.3
YCL005W-A	NP_958835.1
YCL005W-A	NP_958835.1
YCL005W-A	NP_958835.1
YCL005W	NP_009922.2
YCL004W	NP_009923.2
YCL002C	NP_009924.4
YCL002C	NP_009924.4
YCL001W	NP_009925.1
YCL001W-A	NP_009926.1
YCL001W-B	NP_076878.1
YCR001W	NP_001335748.1
YCR002C	NP_009928.1
YCR003W	NP_009929.1
YCR004C	NP_009930.1
YCR005C	NP_009931.1
YCR006C	NP_001335749.1
YCR007C	NP_009933.1
YCR008W	NP_009934.1
YCR009C	NP_009935.1
YCR010C	NP_009936.1
YCR011C	NP_009937.2
YCR012W	NP_009938.2
YCR014C	NP_009940.2
YCR015C	NP_009941.2
YCR016W	NP_009942.2
YCR017C	NP_009943.2
YCR018C	NP_009944.2
YCR019W	NP_009946.1
YCR020C	NP_009947.1
YCR020C-A	NP_009948.1
YCR020W-B	NP_009949.1
YCR021C	NP_009950.1
YCR022C	NP_001335750.1
YCR023C	NP_009952.2
YCR024C	NP_009953.1
YCR024C-B	NP_878057.1
YCR024C-A	NP_058137.1
YCR025C	NP_001335751.1
YCR026C	NP_009955.2
YCR027C	NP_009956.2
YCR028C	NP_009957.1
YCR028C-A	NP_009958.2
YCR028C-A	NP_009958.2
YCR030C	NP_009959.2
YCR031C	NP_009960.2
YCR031C	NP_009960.2
YCR032W	NP_009961.2
YCR033W	NP_009962.2
YCR034W	NP_009963.1
YCR035C	NP_009964.2
YCR036W	NP_009965.2
YCR037C	NP_009966.2
YCR038C	NP_009967.2
YCR039C	NP_009868.3
YCR040W	NP_009869.3
YCR041W	NP_001297596.1
YCR042C	NP_009971.1
YCR043C	NP_009972.1
YCR044C	NP_009973.1
YCR045C	NP_009974.1
YCR046C	NP_009975.1
YCR047C	NP_009976.1
YCR048W	NP_009978.1
YCR050C	NP_009979.1
YCR051W	NP_009980.1
YCR052W	NP_009981.1
YCR053W	NP_009982.1
YCR054C	NP_009983.1
YCR057C	NP_009984.1
YCR059C	NP_009985.1
YCR060W	NP_009986.1
YCR061W	NP_009987.2
YCR063W	NP_009990.1
YCR065W	NP_009991.2
YCR066W	NP_009992.1
YCR067C	NP_009993.1
YCR068W	NP_009994.2
YCR069W	NP_009995.1
YCR071C	NP_009996.2
YCR072C	NP_009997.2
YCR073C	NP_009998.2
YCR073W-A	NP_009999.2
YCR075C	NP_010000.1
YCR075W-A	NP_878058.1
YCR076C	NP_010001.1
YCR077C	NP_010002.3
YCR079W	NP_010003.2
YCR081W	NP_010004.1
YCR082W	NP_010005.1
YCR083W	NP_010006.1
YCR084C	NP_010007.1
YCR085W	NP_001335752.1
YCR086W	NP_010009.1
YCR087C-A	NP_010011.1
YCR088W	NP_010012.1
YCR089W	NP_010013.2
YCR090C	NP_010014.1
YCR091W	NP_010015.3
YCR092C	NP_010016.2
YCR093W	NP_010017.2
YCR094W	NP_010018.1
YCR095C	NP_010019.1
YCR095W-A	NP_001018032.1
YCR096C	NP_010020.1
YCR097W	NP_010021.1
YCR097W	NP_010021.1
YCR097W	NP_010021.1
YCR098C	NP_010022.1
YCR099C	NP_010023.1
YCR100C	NP_010024.1
YCR101C	NP_010025.1
YCR102C	NP_010026.1
YCR104W	NP_010029.1
YCR105W	NP_010030.1
YCR106W	NP_010031.1
YCR107W	NP_010032.1
YCR108C	NP_878059.1
YDL248W	NP_010033.1
YDL247W	NP_010034.1
YDL246C	NP_010035.1
YDL245C	NP_010036.1
YDL244W	NP_010037.1
YDL243C	NP_010038.1
YDL242W	NP_001335753.1
YDL241W	NP_010040.1
YDL240W	NP_010041.2
YDL239C	NP_010042.2
YDL238C	NP_010043.1
YDL237W	NP_010044.2
YDL236W	NP_010045.1
YDL235C	NP_010046.1
YDL234C	NP_010047.1
YDL233W	NP_010048.1
YDL232W	NP_010049.1
YDL231C	NP_010050.1
YDL230W	NP_010051.1
YDL229W	NP_010052.1
YDL227C	NP_010054.1
YDL226C	NP_010055.1
YDL225W	NP_010056.1
YDL224C	NP_010057.1
YDL223C	NP_010058.1
YDL222C	NP_010059.1
YDL220C	NP_010061.1
YDL219W	NP_010062.1
YDL219W	NP_010062.1
YDL218W	NP_010063.1
YDL217C	NP_010064.1
YDL216C	NP_010065.2
YDL215C	NP_010066.1
YDL214C	NP_010067.1
YDL213C	NP_010068.1
YDL212W	NP_010069.1
YDL211C	NP_010070.1
YDL210W	NP_010071.1
YDL209C	NP_010072.1
YDL208W	NP_010073.2
YDL207W	NP_010074.1
YDL206W	NP_010075.1
YDL205C	NP_010076.1
YDL204W-A	NP_001418066.1
YDL204W	NP_010077.1
YDL203C	NP_010078.1
YDL202W	NP_010079.1
YDL201W	NP_010080.1
YDL200C	NP_010081.2
YDL199C	NP_010082.1
YDL198C	NP_010083.1
YDL197C	NP_010084.1
YDL195W	NP_010086.2
YDL194W	NP_010087.1
YDL193W	NP_010088.1
YDL192W	NP_010089.1
YDL191W	NP_010145.1
YDL191W	NP_010145.1
YDL190C	NP_010091.2
YDL189W	NP_010092.2
YDL188C	NP_010093.1
YDL186W	NP_010095.1
YDL185W	NP_010096.1
YDL184C	NP_010097.1
YDL183C	NP_010098.1
YDL182W	NP_010099.1
YDL181W	NP_010100.1
YDL180W	NP_010101.1
YDL179W	NP_010102.1
YDL178W	NP_010103.1
YDL177C	NP_010104.1
YDL176W	NP_010105.1
YDL175C	NP_010106.1
YDL174C	NP_010107.1
YDL173W	NP_010108.1
YDL171C	NP_010110.1
YDL170W	NP_010111.1
YDL169C	NP_010112.1
YDL168W	NP_010113.1
YDL167C	NP_010114.1
YDL166C	NP_010115.1
YDL165W	NP_010116.1
YDL164C	NP_010117.1
YDL161W	NP_010120.1
YDL160C-A	NP_878060.1
YDL160C	NP_010121.1
YDL159W-A	NP_076884.1
YDL159W	NP_010122.1
YDL157C	NP_010124.1
YDL156W	NP_010125.1
YDL155W	NP_010126.1
YDL154W	NP_010127.1
YDL153C	NP_010128.1
YDL150W	NP_010131.1
YDL149W	NP_010132.1
YDL148C	NP_010133.1
YDL147W	NP_010134.1
YDL146W	NP_010135.1
YDL145C	NP_010136.1
YDL144C	NP_010137.2
YDL143W	NP_010138.1
YDL142C	NP_010139.1
YDL141W	NP_010140.1
YDL140C	NP_010141.1
YDL139C	NP_010142.2
YDL138W	NP_010143.1
YDL137W	NP_010144.1
YDL136W	NP_010090.1
YDL136W	NP_010090.1
YDL135C	NP_010146.1
YDL134C	NP_010147.1
YDL133C-A	NP_010148.1
YDL133W	NP_010149.1
YDL132W	NP_010150.1
YDL131W	NP_010151.1
YDL130W-A	NP_010152.1
YDL130W	NP_010153.1
YDL130W	NP_010153.1
YDL129W	NP_010154.1
YDL128W	NP_010155.1
YDL127W	NP_010156.2
YDL126C	NP_010157.1
YDL125C	NP_010158.1
YDL125C	NP_010158.1
YDL124W	NP_010159.1
YDL123W	NP_010160.1
YDL122W	NP_010161.1
YDL121C	NP_010162.1
YDL120W	NP_010163.1
YDL119C	NP_010164.1
YDL117W	NP_010166.1
YDL116W	NP_010167.1
YDL115C	NP_010168.4
YDL115C	NP_010168.4
YDL114W	NP_010169.1
YDL113C	NP_010170.1
YDL112W	NP_010171.1
YDL111C	NP_010172.1
YDL110C	NP_010173.1
YDL109C	NP_010174.1
YDL108W	NP_010175.1
YDL108W	NP_010175.1
YDL107W	NP_010176.1
YDL106C	NP_010177.1
YDL105W	NP_010178.1
YDL104C	NP_010179.1
YDL103C	NP_010180.1
YDL102W	NP_010181.2
YDL101C	NP_010182.1
YDL100C	NP_010183.1
YDL099W	NP_010184.1
YDL098C	NP_010185.1
YDL097C	NP_010186.1
YDL095W	NP_010188.1
YDL093W	NP_010190.1
YDL092W	NP_010191.1
YDL091C	NP_010192.1
YDL090C	NP_010193.1
YDL089W	NP_010194.1
YDL088C	NP_010195.1
YDL087C	NP_010196.1
YDL086W	NP_010197.1
YDL085C-A	NP_075208.1
YDL085W	NP_010198.1
YDL084W	NP_010199.1
YDL083C	NP_010200.1
YDL083C	NP_010200.1
YDL082W	NP_010201.1
YDL082W	NP_010201.1
YDL081C	NP_010202.1
YDL080C	NP_010203.1
YDL079C	NP_010204.1
YDL079C	NP_010204.1
YDL078C	NP_010205.1
YDL077C	NP_010206.1
YDL076C	NP_010207.1
YDL075W	NP_010208.1
YDL075W	NP_010208.1
YDL074C	NP_010209.1
YDL073W	NP_010210.1
YDL072C	NP_010211.1
YDL070W	NP_010213.1
YDL069C	NP_010214.2
YDL067C	NP_010216.1
YDL066W	NP_010217.1
YDL065C	NP_010218.2
YDL064W	NP_010219.1
YDL064W	NP_010219.1
YDL063C	NP_010220.1
YDL061C	NP_010222.1
YDL060W	NP_010223.1
YDL059C	NP_010224.1
YDL058W	NP_010225.1
YDL057W	NP_010226.1
YDL056W	NP_010227.1
YDL055C	NP_010228.1
YDL054C	NP_010229.1
YDL053C	NP_010230.1
YDL052C	NP_010231.1
YDL051W	NP_010232.1
YDL049C	NP_010234.1
YDL048C	NP_010235.1
YDL047W	NP_010236.1
YDL046W	NP_010237.1
YDL045W-A	NP_010238.1
YDL045C	NP_010239.1
YDL044C	NP_010240.1
YDL043C	NP_010241.1
YDL042C	NP_010242.1
YDL040C	NP_010244.1
YDL039C	NP_010245.2
YDL037C	NP_010247.1
YDL036C	NP_010248.1
YDL035C	NP_010249.1
YDL033C	NP_010251.1
YDL031W	NP_010253.2
YDL030W	NP_010254.1
YDL029W	NP_010255.1
YDL029W	NP_010255.1
YDL028C	NP_010256.2
YDL027C	NP_010257.1
YDL025C	NP_010259.1
YDL024C	NP_010260.1
YDL022C-A	NP_001257670.1
YDL022W	NP_010262.1
YDL021W	NP_010263.1
YDL020C	NP_010264.3
YDL019C	NP_010265.1
YDL018C	NP_010266.1
YDL017W	NP_010267.3
YDL015C	NP_010269.1
YDL014W	NP_010270.1
YDL013W	NP_010271.3
YDL012C	NP_010272.1
YDL012C	NP_010272.1
YDL010W	NP_010274.1
YDL009C	NP_001257671.1
YDL008W	NP_010276.3
YDL007C-A	NP_001032574.1
YDL007W	NP_010277.1
YDL006W	NP_010278.3
YDL005C	NP_010279.3
YDL004W	NP_010280.1
YDL003W	NP_010281.1
YDL002C	NP_010282.3
YDL001W	NP_010283.3
YDR001C	NP_010284.1
YDR002W	NP_010285.1
YDR003W	NP_010286.3
YDR003W-A	NP_878061.3
YDR004W	NP_010287.1
YDR005C	NP_010288.1
YDR005C	NP_010288.1
YDR006C	NP_010289.3
YDR007W	NP_010290.3
YDR009W	NP_010292.1
YDR010C	NP_001335754.1
YDR011W	NP_010294.1
YDR012W	NP_010295.3
YDR013W	NP_010296.3
YDR014W	NP_010297.1
YDR014W-A	NP_001035220.1
YDR016C	NP_010299.3
YDR017C	NP_010300.3
