SUVZ_01G0010	CAI4055522.1
SUVZ_02G0330	CAI4055992.1
SUVZ_02G0340	CAI4055996.1
SUVZ_02G0350	CAI4056000.1
SUVZ_02G0360	CAI4056004.1
SUVZ_02G0370	CAI4056008.1
SUVZ_02G0380	CAI4056012.1
SUVZ_02G0390	CAI4056016.1
SUVZ_02G0400	CAI4056020.1
SUVZ_02G0420	CAI4056024.1
SUVZ_02G0430	CAI4056028.1
SUVZ_02G0450	CAI4056032.1
SUVZ_02G0470	CAI4056036.1
SUVZ_02G0490	CAI4056040.1
SUVZ_02G0510	CAI4056044.1
SUVZ_02G0520	CAI4056048.1
SUVZ_02G0530	CAI4056052.1
SUVZ_02G0540	CAI4056056.1
SUVZ_02G0550	CAI4056060.1
SUVZ_02G0560	CAI4056064.1
SUVZ_02G0570	CAI4056068.1
SUVZ_02G0580	CAI4056072.1
SUVZ_02G0580	CAI4056072.1
SUVZ_02G0585	CAI4056076.1
SUVZ_02G0585	CAI4056076.1
SUVZ_02G0590	CAI4056080.1
SUVZ_02G0600	CAI4056085.1
SUVZ_02G0610	CAI4056089.1
SUVZ_02G0620	CAI4056093.1
SUVZ_02G0630	CAI4056097.1
SUVZ_02G0640	CAI4056102.1
SUVZ_02G0650	CAI4056106.1
SUVZ_02G0660	CAI4056110.1
SUVZ_02G0670	CAI4056114.1
SUVZ_02G0680	CAI4056118.1
SUVZ_02G0690	CAI4056122.1
SUVZ_02G0700	CAI4056126.1
SUVZ_02G0710	CAI4056130.1
SUVZ_02G0720	CAI4056134.1
SUVZ_02G0730	CAI4056138.1
SUVZ_02G0740	CAI4056142.1
SUVZ_02G0740	CAI4056142.1
SUVZ_02G0750	CAI4056146.1
SUVZ_02G0760	CAI4056150.1
SUVZ_02G0780	CAI4056154.1
SUVZ_02G0790	CAI4056158.1
SUVZ_02G0800	CAI4056162.1
SUVZ_02G0810	CAI4056166.1
SUVZ_02G0820	CAI4056170.1
SUVZ_02G0830	CAI4056174.1
SUVZ_02G0840	CAI4056178.1
SUVZ_02G0850	CAI4056181.1
SUVZ_02G0860	CAI4056184.1
SUVZ_02G0870	CAI4056187.1
SUVZ_02G0880	CAI4056190.1
SUVZ_02G0890	CAI4056193.1
SUVZ_02G0900	CAI4056196.1
SUVZ_02G0900	CAI4056196.1
SUVZ_02G0910	CAI4056199.1
SUVZ_02G0910	CAI4056199.1
SUVZ_02G0920	CAI4056202.1
SUVZ_02G0930	CAI4056205.1
SUVZ_02G0940	CAI4056208.1
SUVZ_02G0950	CAI4056211.1
SUVZ_02G0960	CAI4056214.1
SUVZ_02G0970	CAI4056217.1
SUVZ_02G0980	CAI4056220.1
SUVZ_02G0990	CAI4056223.1
SUVZ_02G1000	CAI4056226.1
SUVZ_02G1010	CAI4056229.1
SUVZ_02G1020	CAI4056232.1
SUVZ_02G1030	CAI4056234.1
SUVZ_02G1040	CAI4056236.1
SUVZ_02G1050	CAI4056238.1
SUVZ_02G1060	CAI4056240.1
SUVZ_02G1070	CAI4056242.1
SUVZ_02G1090	CAI4056244.1
SUVZ_02G1100	CAI4056246.1
SUVZ_02G1110	CAI4056248.1
SUVZ_02G1130	CAI4056250.1
SUVZ_02G1140	CAI4056252.1
SUVZ_02G1150	CAI4056254.1
SUVZ_02G1160	CAI4056256.1
SUVZ_02G1170	CAI4056258.1
SUVZ_02G1180	CAI4056260.1
SUVZ_02G1190	CAI4056262.1
SUVZ_02G1200	CAI4056264.1
SUVZ_02G1210	CAI4056266.1
SUVZ_02G1220	CAI4056268.1
SUVZ_02G1230	CAI4056270.1
SUVZ_02G1240	CAI4056272.1
SUVZ_02G1250	CAI4056274.1
SUVZ_02G1260	CAI4056276.1
SUVZ_02G1270	CAI4056278.1
SUVZ_02G1280	CAI4056280.1
SUVZ_02G1290	CAI4056282.1
SUVZ_02G1300	CAI4056284.1
SUVZ_02G1310	CAI4056286.1
SUVZ_02G1320	CAI4056288.1
SUVZ_02G1330	CAI4056290.1
SUVZ_02G1340	CAI4056292.1
SUVZ_02G1350	CAI4056294.1
SUVZ_02G1360	CAI4056296.1
SUVZ_02G1370	CAI4056298.1
SUVZ_02G1380	CAI4056300.1
SUVZ_02G1390	CAI4056302.1
SUVZ_02G1400	CAI4056304.1
SUVZ_02G1410	CAI4056307.1
SUVZ_02G1420	CAI4056311.1
SUVZ_02G1430	CAI4056315.1
SUVZ_02G1440	CAI4056319.1
SUVZ_02G1450	CAI4056323.1
SUVZ_02G1460	CAI4056327.1
SUVZ_02G1470	CAI4056331.1
SUVZ_02G1480	CAI4056335.1
SUVZ_02G1490	CAI4056339.1
SUVZ_02G1500	CAI4056343.1
SUVZ_02G1510	CAI4056347.1
SUVZ_02G1520	CAI4056351.1
SUVZ_02G1530	CAI4056355.1
SUVZ_02G1540	CAI4056359.1
SUVZ_02G1550	CAI4056363.1
SUVZ_02G1560	CAI4056367.1
SUVZ_02G1570	CAI4056371.1
SUVZ_02G1570	CAI4056371.1
SUVZ_02G1580	CAI4056375.1
SUVZ_02G1590	CAI4056379.1
SUVZ_02G1600	CAI4056383.1
SUVZ_02G1610	CAI4056387.1
SUVZ_02G1620	CAI4056391.1
SUVZ_02G1630	CAI4056395.1
SUVZ_02G1640	CAI4056400.1
SUVZ_02G1650	CAI4056404.1
SUVZ_02G1660	CAI4056408.1
SUVZ_02G1670	CAI4056412.1
SUVZ_02G1680	CAI4056416.1
SUVZ_02G1690	CAI4056420.1
SUVZ_02G1700	CAI4056424.1
SUVZ_02G1710	CAI4056428.1
SUVZ_02G1720	CAI4056432.1
SUVZ_02G1730	CAI4056436.1
SUVZ_02G1740	CAI4056440.1
SUVZ_02G1750	CAI4056444.1
SUVZ_02G1760	CAI4056448.1
SUVZ_02G1770	CAI4056452.1
SUVZ_02G1780	CAI4056456.1
SUVZ_02G1790	CAI4056460.1
SUVZ_02G1800	CAI4056464.1
SUVZ_02G1810	CAI4056468.1
SUVZ_02G1820	CAI4056472.1
SUVZ_02G1840	CAI4056476.1
SUVZ_02G1850	CAI4056480.1
SUVZ_02G1860	CAI4056484.1
SUVZ_02G1870	CAI4056488.1
SUVZ_02G1880	CAI4056492.1
SUVZ_02G1890	CAI4056496.1
SUVZ_02G1900	CAI4056500.1
SUVZ_02G1910	CAI4056504.1
SUVZ_02G1920	CAI4056508.1
SUVZ_02G1930	CAI4056512.1
SUVZ_02G1930	CAI4056512.1
SUVZ_02G1940	CAI4056516.1
SUVZ_02G1950	CAI4056520.1
SUVZ_02G1960	CAI4056524.1
SUVZ_02G1970	CAI4056528.1
SUVZ_02G1980	CAI4056532.1
SUVZ_02G1990	CAI4056536.1
SUVZ_02G2000	CAI4056540.1
SUVZ_02G2010	CAI4056544.1
SUVZ_02G2020	CAI4056548.1
SUVZ_02G2030	CAI4056552.1
SUVZ_02G2040	CAI4056555.1
SUVZ_02G2050	CAI4056559.1
SUVZ_02G2060	CAI4056563.1
SUVZ_02G2070	CAI4056567.1
SUVZ_02G2080	CAI4056571.1
SUVZ_02G2090	CAI4056575.1
SUVZ_02G2100	CAI4056579.1
SUVZ_02G2110	CAI4056583.1
SUVZ_02G2120	CAI4056587.1
SUVZ_02G2130	CAI4056591.1
SUVZ_02G2140	CAI4056595.1
SUVZ_02G2150	CAI4056599.1
SUVZ_02G2160	CAI4056603.1
SUVZ_02G2170	CAI4056607.1
SUVZ_02G2180	CAI4056611.1
SUVZ_02G2190	CAI4056615.1
SUVZ_02G2200	CAI4056619.1
SUVZ_02G2210	CAI4056623.1
SUVZ_02G2220	CAI4056627.1
SUVZ_02G2220	CAI4056627.1
SUVZ_02G2230	CAI4056631.1
SUVZ_02G2240	CAI4056635.1
SUVZ_02G2250	CAI4056639.1
SUVZ_02G2260	CAI4056643.1
SUVZ_02G2270	CAI4056647.1
SUVZ_02G2280	CAI4056651.1
SUVZ_02G2290	CAI4056655.1
SUVZ_02G2300	CAI4056659.1
SUVZ_02G2310	CAI4056662.1
SUVZ_02G2320	CAI4056666.1
SUVZ_02G2330	CAI4056670.1
SUVZ_02G2340	CAI4056674.1
SUVZ_02G2350	CAI4056678.1
SUVZ_02G2360	CAI4056682.1
SUVZ_02G2370	CAI4056686.1
SUVZ_02G2380	CAI4056690.1
SUVZ_02G2400	CAI4056694.1
SUVZ_02G2410	CAI4056698.1
SUVZ_02G2420	CAI4056702.1
SUVZ_02G2430	CAI4056706.1
SUVZ_02G2440	CAI4056710.1
SUVZ_02G2460	CAI4056714.1
SUVZ_02G2470	CAI4056718.1
SUVZ_02G2480	CAI4056722.1
SUVZ_02G2490	CAI4056725.1
SUVZ_02G2500	CAI4056729.1
SUVZ_02G2510	CAI4056733.1
SUVZ_02G2520	CAI4056737.1
SUVZ_02G2530	CAI4056741.1
SUVZ_02G2540	CAI4056745.1
SUVZ_02G2550	CAI4056749.1
SUVZ_02G2560	CAI4056753.1
SUVZ_02G2570	CAI4056757.1
SUVZ_02G2570	CAI4056757.1
SUVZ_02G2580	CAI4056761.1
SUVZ_02G2590	CAI4056766.1
SUVZ_02G2600	CAI4056770.1
SUVZ_02G2610	CAI4056774.1
SUVZ_02G2620	CAI4056778.1
SUVZ_02G2630	CAI4056782.1
SUVZ_02G2640	CAI4056786.1
SUVZ_02G2650	CAI4056790.1
SUVZ_02G2650	CAI4056790.1
SUVZ_02G2660	CAI4056794.1
SUVZ_02G2670	CAI4056798.1
SUVZ_02G2680	CAI4056801.1
SUVZ_02G2690	CAI4056804.1
SUVZ_02G2700	CAI4056807.1
SUVZ_02G2710	CAI4056810.1
SUVZ_02G2720	CAI4056813.1
SUVZ_02G2730	CAI4056816.1
SUVZ_02G2740	CAI4056819.1
SUVZ_02G2750	CAI4056822.1
SUVZ_02G2760	CAI4056825.1
SUVZ_02G2770	CAI4056828.1
SUVZ_02G2780	CAI4056831.1
SUVZ_02G2790	CAI4056834.1
SUVZ_02G2800	CAI4056837.1
SUVZ_02G2810	CAI4056840.1
SUVZ_02G2820	CAI4056843.1
SUVZ_02G2830	CAI4056846.1
SUVZ_02G2840	CAI4056849.1
SUVZ_02G2850	CAI4056852.1
SUVZ_02G2860	CAI4056855.1
SUVZ_02G2870	CAI4056858.1
SUVZ_02G2880	CAI4056861.1
SUVZ_02G2890	CAI4056864.1
SUVZ_02G2900	CAI4056867.1
SUVZ_02G2910	CAI4056870.1
SUVZ_02G2920	CAI4056873.1
SUVZ_02G2930	CAI4056876.1
SUVZ_02G2940	CAI4056879.1
SUVZ_02G2950	CAI4056882.1
SUVZ_02G2960	CAI4056884.1
SUVZ_02G2970	CAI4056886.1
SUVZ_02G2980	CAI4056888.1
SUVZ_02G2990	CAI4056890.1
SUVZ_02G3000	CAI4056892.1
SUVZ_02G3010	CAI4056894.1
SUVZ_02G3020	CAI4056896.1
SUVZ_02G3030	CAI4056898.1
SUVZ_02G3040	CAI4056899.1
SUVZ_02G3050	CAI4056900.1
SUVZ_02G3060	CAI4056901.1
SUVZ_02G3070	CAI4056902.1
SUVZ_02G3080	CAI4056903.1
SUVZ_02G3090	CAI4056904.1
SUVZ_02G3100	CAI4056905.1
SUVZ_02G3120	CAI4056906.1
SUVZ_02G3130	CAI4056907.1
SUVZ_02G3140	CAI4056908.1
SUVZ_02G3150	CAI4056909.1
SUVZ_02G3160	CAI4056910.1
SUVZ_02G3170	CAI4056911.1
SUVZ_02G3180	CAI4056912.1
SUVZ_02G3190	CAI4056913.1
SUVZ_02G3200	CAI4056914.1
SUVZ_02G3210	CAI4056915.1
SUVZ_02G3220	CAI4056916.1
SUVZ_02G3230	CAI4056917.1
SUVZ_02G3240	CAI4056918.1
SUVZ_02G3260	CAI4056919.1
SUVZ_02G3270	CAI4056920.1
SUVZ_02G3280	CAI4056921.1
SUVZ_02G3290	CAI4056922.1
SUVZ_02G3300	CAI4056923.1
SUVZ_02G3310	CAI4056924.1
SUVZ_02G3320	CAI4056925.1
SUVZ_02G3330	CAI4056926.1
SUVZ_02G3340	CAI4056927.1
SUVZ_02G3350	CAI4056928.1
SUVZ_02G3360	CAI4056929.1
SUVZ_02G3370	CAI4056930.1
SUVZ_02G3380	CAI4056931.1
SUVZ_02G3390	CAI4056932.1
SUVZ_02G3400	CAI4056933.1
SUVZ_02G3410	CAI4056934.1
SUVZ_02G3420	CAI4056935.1
SUVZ_02G3430	CAI4056936.1
SUVZ_02G3440	CAI4056937.1
SUVZ_02G3450	CAI4056938.1
SUVZ_02G3460	CAI4056939.1
SUVZ_02G3470	CAI4056940.1
SUVZ_02G3480	CAI4056941.1
SUVZ_02G3490	CAI4056942.1
SUVZ_02G3500	CAI4056943.1
SUVZ_02G3510	CAI4056944.1
SUVZ_02G3520	CAI4056945.1
SUVZ_02G3530	CAI4056946.1
SUVZ_02G3540	CAI4056947.1
SUVZ_02G3550	CAI4056948.1
SUVZ_02G3560	CAI4056949.1
SUVZ_02G3570	CAI4056950.1
SUVZ_02G3580	CAI4056951.1
SUVZ_02G3590	CAI4056952.1
SUVZ_02G3600	CAI4056953.1
SUVZ_02G3610	CAI4056955.1
SUVZ_02G3620	CAI4056957.1
SUVZ_02G3630	CAI4056959.1
SUVZ_02G3640	CAI4056961.1
SUVZ_02G3650	CAI4056963.1
SUVZ_02G3660	CAI4056966.1
SUVZ_02G3680	CAI4056970.1
SUVZ_02G3690	CAI4056974.1
SUVZ_02G3700	CAI4056978.1
SUVZ_02G3710	CAI4056982.1
SUVZ_02G3720	CAI4056986.1
SUVZ_02G3730	CAI4056990.1
SUVZ_02G3740	CAI4056994.1
SUVZ_02G3750	CAI4056998.1
SUVZ_02G3760	CAI4057002.1
SUVZ_02G3770	CAI4057006.1
SUVZ_02G3780	CAI4057010.1
SUVZ_02G3790	CAI4057014.1
SUVZ_02G3800	CAI4057018.1
SUVZ_02G3810	CAI4057022.1
SUVZ_02G3820	CAI4057026.1
SUVZ_02G3830	CAI4057030.1
SUVZ_02G3840	CAI4057034.1
SUVZ_02G3850	CAI4057038.1
SUVZ_02G3860	CAI4057042.1
SUVZ_02G3870	CAI4057046.1
SUVZ_02G3880	CAI4057050.1
SUVZ_02G3890	CAI4057054.1
SUVZ_02G3900	CAI4057058.1
SUVZ_02G3910	CAI4057062.1
SUVZ_02G3920	CAI4057067.1
SUVZ_02G3930	CAI4057071.1
SUVZ_02G3940	CAI4057075.1
SUVZ_02G3950	CAI4057079.1
SUVZ_02G3960	CAI4057084.1
SUVZ_02G3970	CAI4057088.1
SUVZ_02G3980	CAI4057092.1
SUVZ_02G3990	CAI4057096.1
SUVZ_02G4000	CAI4057100.1
SUVZ_02G4010	CAI4057104.1
SUVZ_02G4020	CAI4057108.1
SUVZ_02G4030	CAI4057112.1
SUVZ_02G4040	CAI4057116.1
SUVZ_02G4050	CAI4057120.1
SUVZ_02G4060	CAI4057124.1
SUVZ_02G4070	CAI4057128.1
SUVZ_02G4080	CAI4057132.1
SUVZ_02G4090	CAI4057136.1
SUVZ_02G4100	CAI4057140.1
SUVZ_02G4110	CAI4057144.1
SUVZ_02G4120	CAI4057148.1
SUVZ_02G4130	CAI4057152.1
SUVZ_02G4140	CAI4057156.1
SUVZ_02G4150	CAI4057160.1
SUVZ_02G4160	CAI4057164.1
SUVZ_02G4170	CAI4057168.1
SUVZ_02G4180	CAI4057172.1
SUVZ_02G4190	CAI4057176.1
SUVZ_02G4200	CAI4057180.1
SUVZ_02G4210	CAI4057184.1
SUVZ_02G4220	CAI4057188.1
SUVZ_02G4230	CAI4057192.1
SUVZ_02G4240	CAI4057196.1
SUVZ_02G4250	CAI4057200.1
SUVZ_02G4260	CAI4057204.1
SUVZ_02G4270	CAI4057208.1
SUVZ_02G4280	CAI4057212.1
SUVZ_02G4290	CAI4057216.1
SUVZ_02G4300	CAI4057220.1
SUVZ_02G4300	CAI4057220.1
SUVZ_02G4310	CAI4057224.1
SUVZ_02G4320	CAI4057228.1
SUVZ_02G4330	CAI4057232.1
SUVZ_02G4340	CAI4057238.1
SUVZ_02G4350	CAI4057242.1
SUVZ_02G4360	CAI4057246.1
SUVZ_02G4370	CAI4057250.1
SUVZ_02G4380	CAI4057254.1
SUVZ_02G4390	CAI4057258.1
SUVZ_02G4400	CAI4057262.1
SUVZ_02G4410	CAI4057266.1
SUVZ_02G4420	CAI4057270.1
SUVZ_02G4430	CAI4057274.1
SUVZ_02G4440	CAI4057278.1
SUVZ_02G4450	CAI4057282.1
SUVZ_02G4460	CAI4057286.1
SUVZ_02G4470	CAI4057290.1
SUVZ_02G4480	CAI4057294.1
SUVZ_02G4490	CAI4057298.1
SUVZ_02G4500	CAI4057301.1
SUVZ_02G4510	CAI4057305.1
SUVZ_02G4520	CAI4057309.1
SUVZ_02G4530	CAI4057313.1
SUVZ_02G4540	CAI4057317.1
SUVZ_02G4550	CAI4057321.1
SUVZ_02G4560	CAI4057325.1
SUVZ_02G4570	CAI4057329.1
SUVZ_02G4580	CAI4057333.1
SUVZ_02G4590	CAI4057337.1
SUVZ_02G4600	CAI4057341.1
SUVZ_02G4610	CAI4057344.1
SUVZ_02G4620	CAI4057348.1
SUVZ_02G4630	CAI4057352.1
SUVZ_02G4640	CAI4057356.1
SUVZ_02G4650	CAI4057360.1
SUVZ_02G4660	CAI4057364.1
SUVZ_02G4680	CAI4057368.1
SUVZ_02G4690	CAI4057372.1
SUVZ_02G4700	CAI4057376.1
SUVZ_02G4710	CAI4057380.1
SUVZ_02G4720	CAI4057384.1
SUVZ_02G4730	CAI4057388.1
SUVZ_02G4740	CAI4057392.1
SUVZ_02G4750	CAI4057396.1
SUVZ_02G4760	CAI4057400.1
SUVZ_02G4770	CAI4057404.1
SUVZ_02G4780	CAI4057408.1
SUVZ_02G4790	CAI4057412.1
SUVZ_02G4800	CAI4057416.1
SUVZ_02G4810	CAI4057420.1
SUVZ_02G4820	CAI4057424.1
SUVZ_02G4830	CAI4057428.1
SUVZ_02G4840	CAI4057432.1
SUVZ_02G4850	CAI4057436.1
SUVZ_02G4860	CAI4057440.1
SUVZ_02G4870	CAI4057444.1
SUVZ_02G4880	CAI4057448.1
SUVZ_02G4890	CAI4057452.1
SUVZ_02G4900	CAI4057456.1
SUVZ_02G4910	CAI4057460.1
SUVZ_02G4920	CAI4057464.1
SUVZ_02G4930	CAI4057468.1
SUVZ_02G4940	CAI4057472.1
SUVZ_02G4940	CAI4057472.1
SUVZ_02G4950	CAI4057476.1
SUVZ_02G4950	CAI4057476.1
SUVZ_02G4960	CAI4057480.1
SUVZ_02G4970	CAI4057484.1
SUVZ_02G4980	CAI4057488.1
SUVZ_02G4990	CAI4057492.1
SUVZ_02G5000	CAI4057496.1
SUVZ_02G5010	CAI4057500.1
SUVZ_02G5020	CAI4057504.1
SUVZ_02G5030	CAI4057508.1
SUVZ_02G5040	CAI4057512.1
SUVZ_02G5050	CAI4057516.1
SUVZ_02G5060	CAI4057520.1
SUVZ_02G5070	CAI4057523.1
SUVZ_02G5080	CAI4057526.1
SUVZ_02G5090	CAI4057529.1
SUVZ_02G5100	CAI4057532.1
SUVZ_02G5110	CAI4057535.1
SUVZ_02G5120	CAI4057538.1
SUVZ_02G5130	CAI4057541.1
SUVZ_02G5140	CAI4057544.1
SUVZ_02G5150	CAI4057548.1
SUVZ_02G5160	CAI4057551.1
SUVZ_02G5170	CAI4057554.1
SUVZ_02G5180	CAI4057557.1
SUVZ_02G5190	CAI4057560.1
SUVZ_02G5200	CAI4057563.1
SUVZ_02G5210	CAI4057566.1
SUVZ_02G5220	CAI4057569.1
SUVZ_02G5230	CAI4057572.1
SUVZ_02G5240	CAI4057575.1
SUVZ_02G5250	CAI4057578.1
SUVZ_02G5260	CAI4057581.1
SUVZ_02G5270	CAI4057584.1
SUVZ_02G5280	CAI4057587.1
SUVZ_02G5290	CAI4057590.1
SUVZ_02G5300	CAI4057593.1
SUVZ_02G5310	CAI4057596.1
SUVZ_02G5320	CAI4057599.1
SUVZ_02G5330	CAI4057602.1
SUVZ_02G5330	CAI4057602.1
SUVZ_02G5330	CAI4057602.1
SUVZ_02G5340	CAI4057605.1
SUVZ_02G5350	CAI4057608.1
SUVZ_02G5360	CAI4057611.1
SUVZ_02G5370	CAI4057614.1
SUVZ_02G5380	CAI4057618.1
SUVZ_02G5390	CAI4057622.1
SUVZ_02G5410	CAI4057626.1
SUVZ_02G5420	CAI4057630.1
SUVZ_02G5430	CAI4057634.1
SUVZ_02G5440	CAI4057638.1
SUVZ_02G5450	CAI4057642.1
SUVZ_02G5460	CAI4057646.1
SUVZ_02G5470	CAI4057650.1
SUVZ_02G5480	CAI4057654.1
SUVZ_02G5490	CAI4057658.1
SUVZ_02G5500	CAI4057662.1
SUVZ_02G5510	CAI4057666.1
SUVZ_02G5520	CAI4057670.1
SUVZ_02G5530	CAI4057674.1
SUVZ_02G5540	CAI4057678.1
SUVZ_02G5550	CAI4057682.1
SUVZ_02G5560	CAI4057686.1
SUVZ_02G5560	CAI4057686.1
SUVZ_02G5570	CAI4057690.1
SUVZ_02G5580	CAI4057694.1
SUVZ_02G5590	CAI4057698.1
SUVZ_02G5600	CAI4057702.1
SUVZ_02G5620	CAI4057706.1
SUVZ_02G5630	CAI4057710.1
SUVZ_02G5640	CAI4057714.1
SUVZ_02G5650	CAI4057718.1
SUVZ_02G5660	CAI4057722.1
SUVZ_02G5670	CAI4057726.1
SUVZ_02G5680	CAI4057730.1
SUVZ_02G5690	CAI4057734.1
SUVZ_02G5700	CAI4057738.1
SUVZ_02G5720	CAI4057742.1
SUVZ_02G5730	CAI4057746.1
SUVZ_02G5740	CAI4057750.1
SUVZ_02G5750	CAI4057754.1
SUVZ_02G5760	CAI4057758.1
SUVZ_02G5770	CAI4057762.1
SUVZ_02G5770	CAI4057762.1
SUVZ_02G5780	CAI4057766.1
SUVZ_02G5790	CAI4057770.1
SUVZ_02G5800	CAI4057774.1
SUVZ_02G5810	CAI4057778.1
SUVZ_02G5820	CAI4057782.1
SUVZ_02G5830	CAI4057786.1
SUVZ_02G5840	CAI4057790.1
SUVZ_02G5850	CAI4057794.1
SUVZ_02G5860	CAI4057798.1
SUVZ_02G5870	CAI4057802.1
SUVZ_02G5880	CAI4057806.1
SUVZ_02G5890	CAI4057810.1
SUVZ_02G5900	CAI4057814.1
SUVZ_02G5910	CAI4057818.1
SUVZ_02G5920	CAI4057822.1
SUVZ_02G5930	CAI4057826.1
SUVZ_02G5940	CAI4057830.1
SUVZ_02G5950	CAI4057834.1
SUVZ_02G5960	CAI4057838.1
SUVZ_02G5970	CAI4057842.1
SUVZ_02G5980	CAI4057846.1
SUVZ_02G5990	CAI4057850.1
SUVZ_02G6000	CAI4057854.1
SUVZ_02G6010	CAI4057858.1
SUVZ_02G6020	CAI4057862.1
SUVZ_02G6030	CAI4057866.1
SUVZ_02G6040	CAI4057870.1
SUVZ_02G6050	CAI4057874.1
SUVZ_02G6060	CAI4057878.1
SUVZ_02G6070	CAI4057882.1
SUVZ_02G6080	CAI4057886.1
SUVZ_02G6090	CAI4057890.1
SUVZ_02G6100	CAI4057894.1
SUVZ_02G6110	CAI4057898.1
SUVZ_02G6130	CAI4057902.1
SUVZ_02G6140	CAI4057906.1
SUVZ_02G6150	CAI4057910.1
SUVZ_02G6160	CAI4057914.1
SUVZ_02G6170	CAI4057918.1
SUVZ_02G6180	CAI4057922.1
SUVZ_02G6190	CAI4057926.1
