GVI51_A00011	XP_065482658.1
GVI51_C00803	XP_065482672.1
GVI51_C00825	XP_065482673.1
GVI51_C00847	XP_445223.2
GVI51_C00869	XP_445224.1
GVI51_C00891	XP_445225.1
GVI51_C00913	XP_445226.1
GVI51_C00935	XP_445227.1
GVI51_C00957	XP_445228.1
GVI51_C00979	XP_445229.1
GVI51_C01001	XP_445230.1
GVI51_C01023	XP_445231.1
GVI51_C01045	XP_002999521.1
GVI51_C01067	XP_445232.1
GVI51_C01089	XP_445233.1
GVI51_C01111	XP_445234.1
GVI51_C01133	XP_445235.1
GVI51_C01155	XP_445236.1
GVI51_C01177	XP_002999522.1
GVI51_C01199	XP_445237.1
GVI51_C01221	XP_445238.1
GVI51_C01243	XP_445239.1
GVI51_C01265	XP_445240.1
GVI51_C01287	XP_445241.1
GVI51_C01309	XP_445242.1
GVI51_C01331	XP_445243.1
GVI51_C01353	XP_445244.1
GVI51_C01375	XP_445245.1
GVI51_C01397	XP_445246.1
GVI51_C01419	XP_445247.1
GVI51_C01441	XP_445248.1
GVI51_C01463	XP_445249.1
GVI51_C01485	XP_445250.1
GVI51_C01507	XP_445251.1
GVI51_C01529	XP_445252.1
GVI51_C01551	XP_445253.1
GVI51_C01573	XP_445254.1
GVI51_C01595	XP_445255.2
GVI51_C01595	XP_445255.2
GVI51_C01617	XP_445256.2
GVI51_C01617	XP_445256.2
GVI51_C01639	XP_445257.1
GVI51_C01661	XP_445258.1
GVI51_C01683	XP_002999523.1
GVI51_C01705	XP_445259.1
GVI51_C01727	XP_445260.1
GVI51_C01749	XP_445261.1
GVI51_C01771	XP_445262.1
GVI51_C01793	XP_445263.1
GVI51_C01815	XP_445264.1
GVI51_C01837	XP_445265.1
GVI51_C01859	XP_445266.1
GVI51_C01881	XP_445267.1
GVI51_C01903	XP_445268.1
GVI51_C01925	XP_445269.2
GVI51_C01947	XP_445270.1
GVI51_C01969	XP_445271.1
GVI51_C01991	XP_445272.1
GVI51_C02013	XP_445273.2
GVI51_C02035	XP_445274.1
GVI51_C02057	XP_445275.1
GVI51_C02079	XP_445276.1
GVI51_C02101	XP_445277.1
GVI51_C02123	XP_445278.2
GVI51_C02123	XP_445278.2
GVI51_C02145	XP_445279.1
GVI51_C02167	XP_445280.1
GVI51_C02189	XP_445281.1
GVI51_C02211	XP_445282.1
GVI51_C02233	XP_445283.1
GVI51_C02255	XP_445284.1
GVI51_C02277	XP_445285.1
GVI51_C02299	XP_445286.1
GVI51_C02321	XP_445287.2
GVI51_C02343	XP_445288.1
GVI51_C02365	XP_445289.1
GVI51_C02387	XP_445290.1
GVI51_C02409	XP_002999524.1
GVI51_C02431	XP_445291.1
GVI51_C02453	XP_445292.1
GVI51_C02475	XP_445293.1
GVI51_C02497	XP_445294.1
GVI51_C02519	XP_445295.1
GVI51_C02541	XP_445296.1
GVI51_C02563	XP_445297.1
GVI51_C02585	XP_445298.1
GVI51_C02607	XP_445299.1
GVI51_C02629	XP_445300.1
GVI51_C02651	XP_445301.1
GVI51_C02673	XP_445302.1
GVI51_C02695	XP_445303.1
GVI51_C02717	XP_445305.1
GVI51_C02739	XP_445306.1
GVI51_C02761	XP_445307.1
GVI51_C02783	XP_445308.1
GVI51_C02805	XP_445309.1
GVI51_C02827	XP_445310.1
GVI51_C02849	XP_445311.1
GVI51_C02893	XP_445312.1
GVI51_C02915	XP_445313.1
GVI51_C02959	XP_445314.1
GVI51_C02981	XP_445315.1
GVI51_C03003	XP_445316.1
GVI51_C03025	XP_445317.1
GVI51_C03047	XP_445318.1
GVI51_C03069	XP_445319.1
GVI51_C03091	XP_445320.2
GVI51_C03113	XP_445321.1
GVI51_C03135	XP_445322.1
GVI51_C03157	XP_445323.1
GVI51_C03157	XP_445323.1
GVI51_C03179	XP_445324.2
GVI51_C03201	XP_445325.1
GVI51_C03223	XP_445326.1
GVI51_C03245	XP_445327.1
GVI51_C03267	XP_445328.1
GVI51_C03289	XP_445329.1
GVI51_C03311	XP_445330.1
GVI51_C03333	XP_445331.1
GVI51_C03355	XP_445332.1
GVI51_C03377	XP_445333.1
GVI51_C03399	XP_445334.1
GVI51_C03421	XP_445335.1
GVI51_C03443	XP_445336.1
GVI51_C03465	XP_445337.1
GVI51_C03487	XP_445338.1
GVI51_C03531	XP_445339.1
GVI51_C03553	XP_445340.1
GVI51_C03575	XP_445341.1
GVI51_C03641	XP_445343.1
GVI51_C03663	XP_445344.1
GVI51_C03685	XP_445345.1
GVI51_C03707	XP_445346.1
GVI51_C03729	XP_445347.1
GVI51_C03751	XP_445348.1
GVI51_C03773	XP_445349.1
GVI51_C03795	XP_445350.1
GVI51_C03817	XP_445351.1
GVI51_C03839	XP_445352.1
GVI51_C03883	XP_445353.1
GVI51_C03905	XP_445354.1
GVI51_C03927	XP_445355.1
GVI51_C03949	XP_445357.1
GVI51_C03971	XP_445358.1
GVI51_C03993	XP_445359.1
GVI51_C04015	XP_445360.1
GVI51_C04037	XP_445361.1
GVI51_C04059	XP_445362.1
GVI51_C04081	XP_445363.1
GVI51_C04103	XP_445364.1
GVI51_C04125	XP_445365.1
GVI51_C04147	XP_445366.1
GVI51_C04169	XP_445367.1
GVI51_C04191	XP_445368.1
GVI51_C04213	XP_445369.1
GVI51_C04235	XP_445370.1
GVI51_C04257	XP_445371.1
GVI51_C04301	XP_445372.1
GVI51_C04323	XP_445373.1
GVI51_C04345	XP_445374.1
GVI51_C04367	XP_445375.1
GVI51_C04389	XP_445376.1
GVI51_C04433	XP_445377.1
GVI51_C04455	XP_445378.1
GVI51_C04477	XP_445379.1
GVI51_C04499	XP_445380.1
GVI51_C04521	XP_445381.1
GVI51_C04543	XP_445382.1
GVI51_C04565	XP_445383.1
GVI51_C04587	XP_445384.1
GVI51_C04609	XP_445385.2
GVI51_C04631	XP_445386.1
GVI51_C04653	XP_445387.1
GVI51_C04675	XP_002999525.1
GVI51_C04697	XP_445388.1
GVI51_C04719	XP_445389.1
GVI51_C04741	XP_445390.1
GVI51_C04763	XP_445391.1
GVI51_C04785	XP_445392.1
GVI51_C04807	XP_445393.1
GVI51_C04829	XP_445394.1
GVI51_C04851	XP_445395.1
GVI51_C04873	XP_445396.1
GVI51_C04895	XP_445397.1
GVI51_C04917	XP_445398.1
GVI51_C04939	XP_445399.1
GVI51_C04961	XP_445400.1
GVI51_C04983	XP_445401.1
GVI51_C05005	XP_445402.1
GVI51_C05027	XP_445403.1
GVI51_C05049	XP_445404.1
GVI51_C05071	XP_445405.1
GVI51_C05093	XP_445406.1
GVI51_C05115	XP_445407.1
GVI51_C05137	XP_445408.1
GVI51_C05159	XP_445409.1
GVI51_C05181	XP_445410.1
GVI51_C05203	XP_445411.1
GVI51_C05225	XP_002999526.1
GVI51_C05247	XP_445412.2
GVI51_C05247	XP_445412.2
GVI51_C05269	XP_445413.1
GVI51_C05291	XP_445414.1
GVI51_C05313	XP_445415.2
GVI51_C05335	XP_445416.1
GVI51_C05357	XP_445417.1
GVI51_C05379	XP_445418.1
GVI51_D00011	XP_065482674.1
GVI51_D00033	XP_445420.1
GVI51_D00055	XP_445421.1
GVI51_D00077	XP_445422.1
GVI51_D00099	XP_445423.1
GVI51_D00121	XP_445424.1
GVI51_D00143	XP_445425.1
GVI51_D00165	XP_445426.1
GVI51_D00209	XP_445427.1
GVI51_D00231	XP_445428.1
GVI51_D00253	XP_445429.1
GVI51_D00275	XP_445430.1
GVI51_D00297	XP_445431.1
GVI51_D00319	XP_445432.1
GVI51_D00341	XP_445433.1
GVI51_D00363	XP_445434.1
GVI51_D00385	XP_445435.1
GVI51_D00407	XP_445436.1
GVI51_D00429	XP_445437.1
GVI51_D00451	XP_445438.1
GVI51_D00473	XP_445439.1
GVI51_D00495	XP_445440.1
GVI51_D00495	XP_445440.1
GVI51_D00517	XP_445441.1
GVI51_D00539	XP_445442.1
GVI51_D00561	XP_445443.1
GVI51_D00583	XP_445444.1
GVI51_D00605	XP_445445.1
GVI51_D00627	XP_445446.1
GVI51_D00649	XP_445447.1
GVI51_D00671	XP_445448.1
GVI51_D00693	XP_445449.1
GVI51_D00715	XP_445450.1
GVI51_D00737	XP_445451.1
GVI51_D00759	XP_065482675.1
GVI51_D00759	XP_065482675.1
GVI51_D00781	XP_445452.1
GVI51_D00803	XP_445453.1
GVI51_D00825	XP_445454.1
GVI51_D00847	XP_445455.1
GVI51_D00869	XP_445457.1
GVI51_D00891	XP_445458.1
GVI51_D00913	XP_445459.1
GVI51_D00935	XP_445460.1
GVI51_D00957	XP_445461.1
GVI51_D00979	XP_445462.1
GVI51_D01001	XP_445463.1
GVI51_D01023	XP_445464.1
GVI51_D01045	XP_445465.1
GVI51_D01067	XP_445466.1
GVI51_D01089	XP_445467.1
GVI51_D01111	XP_445468.1
GVI51_D01133	XP_445469.1
GVI51_D01155	XP_002999527.1
GVI51_D01177	XP_445470.1
GVI51_D01199	XP_445471.1
GVI51_D01221	XP_445472.1
GVI51_D01243	XP_445473.1
GVI51_D01265	XP_445474.2
GVI51_D01287	XP_445475.1
GVI51_D01309	XP_445476.1
GVI51_D01331	XP_445477.1
GVI51_D01353	XP_445478.1
GVI51_D01375	XP_445479.1
GVI51_D01397	XP_445480.1
GVI51_D01419	XP_445481.1
GVI51_D01441	XP_445482.1
GVI51_D01463	XP_445483.1
GVI51_D01485	XP_445484.1
GVI51_D01507	XP_445485.1
GVI51_D01529	XP_445486.1
GVI51_D01551	XP_445487.1
GVI51_D01573	XP_445488.1
GVI51_D01595	XP_445489.1
GVI51_D01617	XP_445490.1
GVI51_D01639	XP_445491.1
GVI51_D01661	XP_445492.1
GVI51_D01683	XP_445493.1
GVI51_D01705	XP_445494.1
GVI51_D01727	XP_445495.1
GVI51_D01749	XP_065482676.1
GVI51_D01793	XP_445496.1
GVI51_D01815	XP_445497.1
GVI51_D01837	XP_445498.1
GVI51_D01859	XP_445499.1
GVI51_D01881	XP_445500.1
GVI51_D01903	XP_445501.1
GVI51_D01925	XP_002999528.1
GVI51_D01947	XP_445502.1
GVI51_D01969	XP_445503.1
GVI51_D01991	XP_445504.1
GVI51_D02013	XP_065482677.1
GVI51_D02013	XP_065482677.1
GVI51_D02035	XP_445506.1
GVI51_D02057	XP_445507.1
GVI51_D02079	XP_002999529.1
GVI51_D02101	XP_445508.1
GVI51_D02123	XP_445509.1
GVI51_D02145	XP_445510.1
GVI51_D02167	XP_445511.1
GVI51_D02189	XP_445512.1
GVI51_D02211	XP_445513.1
GVI51_D02233	XP_445514.2
GVI51_D02255	XP_445515.1
GVI51_D02277	XP_445516.1
GVI51_D02299	XP_445517.1
GVI51_D02321	XP_445518.1
GVI51_D02343	XP_445519.1
GVI51_D02365	XP_445520.1
GVI51_D02387	XP_445521.1
GVI51_D02409	XP_445522.1
GVI51_D02431	XP_445523.2
GVI51_D02453	XP_445524.2
GVI51_D02475	XP_445525.1
GVI51_D02497	XP_445526.1
GVI51_D02519	XP_445527.1
GVI51_D02541	XP_445528.1
GVI51_D02563	XP_445529.1
GVI51_D02585	XP_445530.1
GVI51_D02607	XP_445531.1
GVI51_D02629	XP_445532.1
GVI51_D02651	XP_445533.1
GVI51_D02673	XP_445534.1
GVI51_D02695	XP_065482678.1
GVI51_D02695	XP_065482678.1
GVI51_D02717	XP_445536.1
GVI51_D02739	XP_445537.1
GVI51_D02761	XP_445538.1
GVI51_D02783	XP_445539.1
GVI51_D02805	XP_445540.1
GVI51_D02827	XP_445541.1
GVI51_D02849	XP_445542.1
GVI51_D02871	XP_445543.1
GVI51_D02893	XP_445544.1
GVI51_D02915	XP_445545.1
GVI51_D02937	XP_445546.1
GVI51_D02959	XP_445547.1
GVI51_D02981	XP_445548.1
GVI51_D03003	XP_445549.1
GVI51_D03025	XP_445550.1
GVI51_D03047	XP_445551.1
GVI51_D03069	XP_445552.1
GVI51_D03091	XP_445553.1
GVI51_D03113	XP_445554.1
GVI51_D03135	XP_445555.1
