SPAR_A00010	XP_033764409.1
SPAR_A00840	XP_033764493.1
SPAR_A00850	XP_033764494.1
SPAR_B00020	XP_033764495.1
SPAR_B00030	XP_033764496.1
SPAR_B00040	XP_033764497.1
SPAR_B00050	XP_033764498.1
SPAR_B00060	XP_033764499.1
SPAR_B00070	XP_033764500.1
SPAR_B00080	XP_033764501.1
SPAR_B00090	XP_033764502.1
SPAR_B00100	XP_033764503.1
SPAR_B00110	XP_033764504.1
SPAR_B00120	XP_033764505.1
SPAR_B00130	XP_033764506.1
SPAR_B00140	XP_033764507.1
SPAR_B00150	XP_033764508.1
SPAR_B00160	XP_033764509.1
SPAR_B00170	XP_033764510.1
SPAR_B00180	XP_033764511.1
SPAR_B00190	XP_033764512.1
SPAR_B00200	XP_033764513.1
SPAR_B00200	XP_033764513.1
SPAR_B00210	XP_033764514.1
SPAR_B00220	XP_033764515.1
SPAR_B00230	XP_033764516.1
SPAR_B00240	XP_033764517.1
SPAR_B00250	XP_033764518.1
SPAR_B00260	XP_033764519.1
SPAR_B00270	XP_033764520.1
SPAR_B00280	XP_033764521.1
SPAR_B00290	XP_033764522.1
SPAR_B00300	XP_033764523.1
SPAR_B00310	XP_033764524.1
SPAR_B00320	XP_033764525.1
SPAR_B00330	XP_033764526.1
SPAR_B00340	XP_033764527.1
SPAR_B00350	XP_033764528.1
SPAR_B00360	XP_033764529.1
SPAR_B00370	XP_033764530.1
SPAR_B00380	XP_033764531.1
SPAR_B00380	XP_033764531.1
SPAR_B00390	XP_033764532.1
SPAR_B00400	XP_033764533.1
SPAR_B00410	XP_033764534.1
SPAR_B00420	XP_033764535.1
SPAR_B00430	XP_033764536.1
SPAR_B00440	XP_033764537.1
SPAR_B00450	XP_033764538.1
SPAR_B00460	XP_033764539.1
SPAR_B00470	XP_033764540.1
SPAR_B00470	XP_033764540.1
SPAR_B00480	XP_033764541.1
SPAR_B00480	XP_033764541.1
SPAR_B00490	XP_033764542.1
SPAR_B00500	XP_033764543.1
SPAR_B00510	XP_033764544.1
SPAR_B00520	XP_033764545.1
SPAR_B00530	XP_033764546.1
SPAR_B00540	XP_033764547.1
SPAR_B00550	XP_033764548.1
SPAR_B00560	XP_033764549.1
SPAR_B00560	XP_033764549.1
SPAR_B00570	XP_033764550.1
SPAR_B00580	XP_033764551.1
SPAR_B00590	XP_033764552.1
SPAR_B00600	XP_033764553.1
SPAR_B00610	XP_033764554.1
SPAR_B00620	XP_033764555.1
SPAR_B00630	XP_033764556.1
SPAR_B00640	XP_033764557.1
SPAR_B00640	XP_033764557.1
SPAR_B00650	XP_033764558.1
SPAR_B00660	XP_033764559.1
SPAR_B00670	XP_033764560.1
SPAR_B00680	XP_033764561.1
SPAR_B00690	XP_033764562.1
SPAR_B00700	XP_033764563.1
SPAR_B00710	XP_033764564.1
SPAR_B00720	XP_033764565.1
SPAR_B00730	XP_033764566.1
SPAR_B00740	XP_033764567.1
SPAR_B00750	XP_033764568.1
SPAR_B00760	XP_033764569.1
SPAR_B00770	XP_033764570.1
SPAR_B00780	XP_033764571.1
SPAR_B00790	XP_033764572.1
SPAR_B00790	XP_033764572.1
SPAR_B00800	XP_033764573.1
SPAR_B00800	XP_033764573.1
SPAR_B00810	XP_033764574.1
SPAR_B00820	XP_033764575.1
SPAR_B00830	XP_033764576.1
SPAR_B00840	XP_033764577.1
SPAR_B00850	XP_033764578.1
SPAR_B00860	XP_033764579.1
SPAR_B00870	XP_033764580.1
SPAR_B00880	XP_033764581.1
SPAR_B00880	XP_033764581.1
SPAR_B00890	XP_033764582.1
SPAR_B00900	XP_033764583.1
SPAR_B00910	XP_033764584.1
SPAR_B00920	XP_033764585.1
SPAR_B00930	XP_033764586.1
SPAR_B00940	XP_033764587.1
SPAR_B00950	XP_033764588.1
SPAR_B00960	XP_033764589.1
SPAR_B00970	XP_033764590.1
SPAR_B00980	XP_033764591.1
SPAR_B00990	XP_033764592.1
SPAR_B01000	XP_033764593.1
SPAR_B01010	XP_033764594.1
SPAR_B01020	XP_033764595.1
SPAR_B01030	XP_033764596.1
SPAR_B01040	XP_033764597.1
SPAR_B01050	XP_033764598.1
SPAR_B01060	XP_033764599.1
SPAR_B01070	XP_033764600.1
SPAR_B01080	XP_033764601.1
SPAR_B01090	XP_033764602.1
SPAR_B01100	XP_033764603.1
SPAR_B01110	XP_033764604.1
SPAR_B01120	XP_033764605.1
SPAR_B01130	XP_033764606.1
SPAR_B01140	XP_033764607.1
SPAR_B01150	XP_033764608.1
SPAR_B01160	XP_033764609.1
SPAR_B01170	XP_033764610.1
SPAR_B01180	XP_033764611.1
SPAR_B01190	XP_033764612.1
SPAR_B01200	XP_033764613.1
SPAR_B01210	XP_033764614.1
SPAR_B01220	XP_033764615.1
SPAR_B01230	XP_033764616.1
SPAR_B01240	XP_033764617.1
SPAR_B01250	XP_033764618.1
SPAR_B01260	XP_033764619.1
SPAR_B01270	XP_033764620.1
SPAR_B01280	XP_033764621.1
SPAR_B01290	XP_033764622.1
SPAR_B01300	XP_033764623.1
SPAR_B01310	XP_033764624.1
SPAR_B01320	XP_033764625.1
SPAR_B01330	XP_033764626.1
SPAR_B01340	XP_033764627.1
SPAR_B01350	XP_033764628.1
SPAR_B01360	XP_033764629.1
SPAR_B01370	XP_033764630.1
SPAR_B01380	XP_033764631.1
SPAR_B01390	XP_033764632.1
SPAR_B01400	XP_033764633.1
SPAR_B01410	XP_033764634.1
SPAR_B01420	XP_033764635.1
SPAR_B01430	XP_033764636.1
SPAR_B01440	XP_033764637.1
SPAR_B01450	XP_033764638.1
SPAR_B01460	XP_033764639.1
SPAR_B01470	XP_033764640.1
SPAR_B01480	XP_033764641.1
SPAR_B01490	XP_033764642.1
SPAR_B01500	XP_033764643.1
SPAR_B01510	XP_033764644.1
SPAR_B01510	XP_033764644.1
SPAR_B01520	XP_033764645.1
SPAR_B01530	XP_033764646.1
SPAR_B01540	XP_033764647.1
SPAR_B01550	XP_033764648.1
SPAR_B01560	XP_033764649.1
SPAR_B01570	XP_033764650.1
SPAR_B01580	XP_033764651.1
SPAR_B01590	XP_033764652.1
SPAR_B01600	XP_033764653.1
SPAR_B01610	XP_033764654.1
SPAR_B01620	XP_033764655.1
SPAR_B01630	XP_033764656.1
SPAR_B01640	XP_033764657.1
SPAR_B01650	XP_033764658.1
SPAR_B01660	XP_033764659.1
SPAR_B01660	XP_033764659.1
SPAR_B01670	XP_033764660.1
SPAR_B01680	XP_033764661.1
SPAR_B01690	XP_033764662.1
SPAR_B01700	XP_033764663.1
SPAR_B01710	XP_033764664.1
SPAR_B01720	XP_033764665.1
SPAR_B01730	XP_033764666.1
SPAR_B01740	XP_033764667.1
SPAR_B01750	XP_033764668.1
SPAR_B01760	XP_033764669.1
SPAR_B01770	XP_033764670.1
SPAR_B01780	XP_033764671.1
SPAR_B01790	XP_033764672.1
SPAR_B01800	XP_033764673.1
SPAR_B01800	XP_033764673.1
SPAR_B01810	XP_033764674.1
SPAR_B01820	XP_033764675.1
SPAR_B01830	XP_033764676.1
SPAR_B01840	XP_033764677.1
SPAR_B01840	XP_033764677.1
SPAR_B01850	XP_033764678.1
SPAR_B01860	XP_033764679.1
SPAR_B01870	XP_033764680.1
SPAR_B01870	XP_033764680.1
SPAR_B01880	XP_033764681.1
SPAR_B01890	XP_033764682.1
SPAR_B01900	XP_033764683.1
SPAR_B01910	XP_033764684.1
SPAR_B01920	XP_033764685.1
SPAR_B01930	XP_033764686.1
SPAR_B01940	XP_033764687.1
SPAR_B01950	XP_033764688.1
SPAR_B01960	XP_033764689.1
SPAR_B01970	XP_033764690.1
SPAR_B01980	XP_033764691.1
SPAR_B01990	XP_033764692.1
SPAR_B02000	XP_033764693.1
SPAR_B02010	XP_033764694.1
SPAR_B02020	XP_033764695.1
SPAR_B02030	XP_033764696.1
SPAR_B02040	XP_033764697.1
SPAR_B02050	XP_033764698.1
SPAR_B02060	XP_033764699.1
SPAR_B02070	XP_033764700.1
SPAR_B02080	XP_033764701.1
SPAR_B02090	XP_033764702.1
SPAR_B02100	XP_033764703.1
SPAR_B02110	XP_033764704.1
SPAR_B02120	XP_033764705.1
SPAR_B02130	XP_033764706.1
SPAR_B02130	XP_033764706.1
SPAR_B02140	XP_033764707.1
SPAR_B02150	XP_033764708.1
SPAR_B02160	XP_033764709.1
SPAR_B02170	XP_033764710.1
SPAR_B02180	XP_033764711.1
SPAR_B02190	XP_033764712.1
SPAR_B02190	XP_033764712.1
SPAR_B02200	XP_033764713.1
SPAR_B02210	XP_033764714.1
SPAR_B02220	XP_033764715.1
SPAR_B02230	XP_033764716.1
SPAR_B02240	XP_033764717.1
SPAR_B02250	XP_033764718.1
SPAR_B02260	XP_033764719.1
SPAR_B02270	XP_033764720.1
SPAR_B02280	XP_033764721.1
SPAR_B02290	XP_033764722.1
SPAR_B02300	XP_033764723.1
SPAR_B02310	XP_033764724.1
SPAR_B02320	XP_033764725.1
SPAR_B02330	XP_033764726.1
SPAR_B02340	XP_033764727.1
SPAR_B02350	XP_033764728.1
SPAR_B02360	XP_033764729.1
SPAR_B02370	XP_033764730.1
SPAR_B02380	XP_033764731.1
SPAR_B02390	XP_033764732.1
SPAR_B02400	XP_033764733.1
SPAR_B02410	XP_033764734.1
SPAR_B02420	XP_033764735.1
SPAR_B02430	XP_033764736.1
SPAR_B02440	XP_033764737.1
SPAR_B02450	XP_033764738.1
SPAR_B02460	XP_033764739.1
SPAR_B02470	XP_033764740.1
SPAR_B02480	XP_033764741.1
SPAR_B02490	XP_033764742.1
SPAR_B02500	XP_033764743.1
SPAR_B02510	XP_033764744.1
SPAR_B02520	XP_033764745.1
SPAR_B02530	XP_033764746.1
SPAR_B02540	XP_033764747.1
SPAR_B02550	XP_033764748.1
SPAR_B02560	XP_033764749.1
SPAR_B02570	XP_033764750.1
SPAR_B02580	XP_033764751.1
SPAR_B02590	XP_033764752.1
SPAR_B02600	XP_033764753.1
SPAR_B02610	XP_033764754.1
SPAR_B02620	XP_033764755.1
SPAR_B02630	XP_033764756.1
SPAR_B02640	XP_033764757.1
SPAR_B02650	XP_033764758.1
SPAR_B02660	XP_033764759.1
SPAR_B02670	XP_033764760.1
SPAR_B02680	XP_033764761.1
SPAR_B02690	XP_033764762.1
SPAR_B02700	XP_033764763.1
SPAR_B02710	XP_033764764.1
SPAR_B02720	XP_033764765.1
SPAR_B02730	XP_033764766.1
SPAR_B02740	XP_033764767.1
SPAR_B02750	XP_033764768.1
SPAR_B02760	XP_033764769.1
SPAR_B02770	XP_033764770.1
SPAR_B02780	XP_033764771.1
SPAR_B02790	XP_033764772.1
SPAR_B02800	XP_033764773.1
SPAR_B02810	XP_033764774.1
SPAR_B02810	XP_033764774.1
SPAR_B02820	XP_033764775.1
SPAR_B02830	XP_033764776.1
SPAR_B02840	XP_033764777.1
SPAR_B02850	XP_033764778.1
SPAR_B02860	XP_033764779.1
SPAR_B02860	XP_033764779.1
SPAR_B02870	XP_033764780.1
SPAR_B02880	XP_033764781.1
SPAR_B02890	XP_033764782.1
SPAR_B02890	XP_033764782.1
SPAR_B02900	XP_033764783.1
SPAR_B02900	XP_033764783.1
SPAR_B02910	XP_033764784.1
SPAR_B02920	XP_033764785.1
SPAR_B02930	XP_033764786.1
SPAR_B02940	XP_033764787.1
SPAR_B02950	XP_033764788.1
SPAR_B02960	XP_033764789.1
SPAR_B02970	XP_033764790.1
SPAR_B02980	XP_033764791.1
SPAR_B02990	XP_033764792.1
SPAR_B03000	XP_033764793.1
SPAR_B03010	XP_033764794.1
SPAR_B03020	XP_033764795.1
SPAR_B03030	XP_033764796.1
SPAR_B03040	XP_033764797.1
SPAR_B03050	XP_033764798.1
SPAR_B03060	XP_033764799.1
SPAR_B03070	XP_033764800.1
SPAR_B03080	XP_033764801.1
SPAR_B03090	XP_033764802.1
SPAR_B03100	XP_033764803.1
SPAR_B03110	XP_033764804.1
SPAR_B03120	XP_033764805.1
SPAR_B03130	XP_033764806.1
SPAR_B03130	XP_033764806.1
SPAR_B03140	XP_033764807.1
SPAR_B03150	XP_033764808.1
SPAR_B03160	XP_033764809.1
SPAR_B03170	XP_033764810.1
SPAR_B03180	XP_033764811.1
SPAR_B03190	XP_033764812.1
SPAR_B03200	XP_033764813.1
SPAR_B03210	XP_033764814.1
SPAR_B03220	XP_033764815.1
SPAR_B03230	XP_033764816.1
SPAR_B03240	XP_033764817.1
SPAR_B03250	XP_033764818.1
SPAR_B03260	XP_033764819.1
SPAR_B03270	XP_033764820.1
SPAR_B03280	XP_033764821.1
SPAR_B03290	XP_033764822.1
SPAR_B03300	XP_033764823.1
SPAR_B03310	XP_033764824.1
SPAR_B03320	XP_033764825.1
SPAR_B03330	XP_033764826.1
SPAR_B03340	XP_033764827.1
SPAR_B03350	XP_033764828.1
SPAR_B03360	XP_033764829.1
SPAR_B03370	XP_033764830.1
SPAR_B03380	XP_033764831.1
SPAR_B03390	XP_033764832.1
SPAR_B03400	XP_033764833.1
SPAR_B03410	XP_033764834.1
SPAR_B03420	XP_033764835.1
SPAR_B03430	XP_033764836.1
SPAR_B03440	XP_033764837.1
SPAR_B03450	XP_033764838.1
SPAR_B03460	XP_033764839.1
SPAR_B03470	XP_033764840.1
SPAR_B03480	XP_033764841.1
SPAR_B03490	XP_033764842.1
SPAR_B03500	XP_033764843.1
SPAR_B03510	XP_033764844.1
SPAR_B03520	XP_033764845.1
SPAR_B03520	XP_033764845.1
SPAR_B03530	XP_033764846.1
SPAR_B03540	XP_033764847.1
SPAR_B03550	XP_033764848.1
SPAR_B03560	XP_033764849.1
SPAR_B03570	XP_033764850.1
SPAR_B03580	XP_033764851.1
SPAR_B03590	XP_033764852.1
SPAR_B03600	XP_033764853.1
SPAR_B03610	XP_033764854.1
SPAR_B03620	XP_033764855.1
SPAR_B03630	XP_033764856.1
SPAR_B03640	XP_033764857.1
SPAR_B03650	XP_033764858.1
SPAR_B03660	XP_033764859.1
SPAR_B03670	XP_033764860.1
SPAR_B03680	XP_033764861.1
SPAR_B03690	XP_033764862.1
SPAR_B03700	XP_033764863.1
SPAR_B03710	XP_033764864.1
SPAR_B03720	XP_033764865.1
SPAR_B03730	XP_033764866.1
SPAR_B03740	XP_033764867.1
SPAR_B03750	XP_033764868.1
SPAR_B03760	XP_033764869.1
SPAR_B03770	XP_033764870.1
SPAR_B03780	XP_033764871.1
SPAR_B03790	XP_033764872.1
SPAR_B03800	XP_033764873.1
SPAR_B03810	XP_033764874.1
SPAR_B03820	XP_033764875.1
SPAR_B03830	XP_033764876.1
SPAR_B03840	XP_033764877.1
SPAR_B03850	XP_033764878.1
SPAR_B03860	XP_033764879.1
SPAR_B03870	XP_033764880.1
SPAR_B03880	XP_033764881.1
SPAR_B03890	XP_033764882.1
SPAR_B03900	XP_033764883.1
SPAR_B03910	XP_033764884.1
SPAR_B03920	XP_033764885.1
SPAR_B03930	XP_033764886.1
SPAR_B03940	XP_033764887.1
SPAR_B03950	XP_033764888.1
SPAR_C00010	XP_033764889.1
SPAR_C00030	XP_033764890.1
SPAR_C00040	XP_033764891.1
SPAR_C00050	XP_033764892.1
SPAR_C00060	XP_033764893.1
SPAR_C00070	XP_033764894.1
SPAR_C00080	XP_033764895.1
SPAR_C00090	XP_033764896.1
SPAR_C00100	XP_033764897.1
SPAR_C00110	XP_033764898.1
SPAR_C00120	XP_033764899.1
SPAR_C00130	XP_033764900.1
SPAR_C00140	XP_033764901.1
SPAR_C00150	XP_033764902.1
SPAR_C00160	XP_033764903.1
SPAR_C00170	XP_033764904.1
SPAR_C00180	XP_033764905.1
SPAR_C00190	XP_033764906.1
SPAR_C00200	XP_033764907.1
SPAR_C00210	XP_033764908.1
SPAR_C00220	XP_033764909.1
SPAR_C00230	XP_033764910.1
SPAR_C00240	XP_033764911.1
SPAR_C00250	XP_033764912.1
SPAR_C00260	XP_033764913.1
SPAR_C00270	XP_033764914.1
SPAR_C00280	XP_033764915.1
SPAR_C00290	XP_033764916.1
SPAR_C00300	XP_033764917.1
SPAR_C00310	XP_033764918.1
SPAR_C00320	XP_033764919.1
SPAR_C00330	XP_033764920.1
SPAR_C00340	XP_033764921.1
SPAR_C00350	XP_033764922.1
SPAR_C00360	XP_033764923.1
SPAR_C00370	XP_033764924.1
SPAR_C00380	XP_033764925.1
SPAR_C00390	XP_033764926.1
SPAR_C00400	XP_033764927.1
SPAR_C00410	XP_033764928.1
SPAR_C00420	XP_033764929.1
SPAR_C00430	XP_033764930.1
SPAR_C00440	XP_033764931.1
SPAR_C00450	XP_033764932.1
SPAR_C00460	XP_033764933.1
SPAR_C00470	XP_033764934.1
SPAR_C00480	XP_033764935.1
SPAR_C00490	XP_033764936.1
SPAR_C00490	XP_033764936.1
SPAR_C00500	XP_033764937.1
SPAR_C00510	XP_033764938.1
SPAR_C00520	XP_033764939.1
SPAR_C00530	XP_033764940.1
SPAR_C00540	XP_033764941.1
SPAR_C00540	XP_033764941.1
SPAR_C00550	XP_033764942.1
SPAR_C00560	XP_033764943.1
SPAR_C00570	XP_033764944.1
SPAR_C00570	XP_033764944.1
SPAR_C00580	XP_033764945.1
SPAR_C00590	XP_033764946.1
SPAR_C00600	XP_033764947.1
SPAR_C00610	XP_033764948.1
SPAR_C00620	XP_033764949.1
SPAR_C00630	XP_033764950.1
SPAR_C00640	XP_033764951.1
SPAR_C00650	XP_033764952.1
SPAR_C00660	XP_033764953.1
SPAR_C00670	XP_033764954.1
SPAR_C00680	XP_033764955.1
SPAR_C00690	XP_033764956.1
SPAR_C00700	XP_033764957.1
SPAR_C00710	XP_033764958.1
SPAR_C00720	XP_033764959.1
SPAR_C00730	XP_033764960.1
SPAR_C00740	XP_033764961.1
SPAR_C00750	XP_033764962.1
SPAR_C00760	XP_033764963.1
SPAR_C00770	XP_033764964.1
SPAR_C00780	XP_033764965.1
SPAR_C00790	XP_033764966.1
SPAR_C00800	XP_033764967.1
SPAR_C00810	XP_033764968.1
SPAR_C00820	XP_033764969.1
SPAR_C00830	XP_033764970.1
SPAR_C00840	XP_033764971.1
SPAR_C00840	XP_033764971.1
SPAR_C00850	XP_033764972.1
SPAR_C00860	XP_033764973.1
SPAR_C00860	XP_033764973.1
SPAR_C00870	XP_033764974.1
SPAR_C00880	XP_033764975.1
SPAR_C00890	XP_033764976.1
SPAR_C00900	XP_033764977.1
SPAR_C00910	XP_033764978.1
SPAR_C00920	XP_033764979.1
SPAR_C00930	XP_033764980.1
SPAR_C00940	XP_033764981.1
SPAR_C00950	XP_033764982.1
SPAR_C00950	XP_033764982.1
SPAR_C00960	XP_033764983.1
SPAR_C00970	XP_033764984.1
SPAR_C00980	XP_033764985.1
SPAR_C00990	XP_033764986.1
SPAR_C01000	XP_033764987.1
SPAR_C01010	XP_033764988.1
SPAR_C01020	XP_033764989.1
SPAR_C01030	XP_033764990.1
SPAR_C01040	XP_033764991.1
SPAR_C01050	XP_033764992.1
SPAR_C01060	XP_033764993.1
SPAR_C01070	XP_033764994.1
SPAR_C01080	XP_033764995.1
SPAR_C01090	XP_033764996.1
SPAR_C01100	XP_033764997.1
SPAR_C01110	XP_033764998.1
SPAR_C01120	XP_033764999.1
SPAR_C01130	XP_033765000.1
SPAR_C01140	XP_033765001.1
SPAR_C01150	XP_033765002.1
SPAR_C01160	XP_033765003.1
SPAR_C01170	XP_033765004.1
SPAR_C01180	XP_033765005.1
SPAR_C01190	XP_033765006.1
SPAR_C01200	XP_033765007.1
SPAR_C01210	XP_033765008.1
SPAR_C01220	XP_033765009.1
SPAR_C01230	XP_033765010.1
SPAR_C01240	XP_033765011.1
SPAR_C01250	XP_033765012.1
SPAR_C01260	XP_033765013.1
SPAR_C01270	XP_033765014.1
SPAR_C01280	XP_033765015.1
SPAR_C01290	XP_033765016.1
SPAR_C01300	XP_033765017.1
SPAR_C01310	XP_033765018.1
SPAR_C01320	XP_033765019.1
SPAR_C01330	XP_033765020.1
SPAR_C01340	XP_033765021.1
SPAR_C01350	XP_033765022.1
SPAR_C01360	XP_033765023.1
SPAR_C01370	XP_033765024.1
SPAR_C01380	XP_033765025.1
SPAR_C01390	XP_033765026.1
SPAR_C01400	XP_033765027.1
SPAR_C01410	XP_033765028.1
SPAR_C01410	XP_033765028.1
SPAR_C01410	XP_033765028.1
SPAR_C01420	XP_033765029.1
SPAR_C01430	XP_033765030.1
SPAR_C01440	XP_033765031.1
SPAR_C01450	XP_033765032.1
SPAR_C01460	XP_033765033.1
SPAR_D00010	XP_033765034.1
SPAR_D00020	XP_033765035.1
SPAR_D00030	XP_033765036.1
SPAR_D00040	XP_033765037.1
SPAR_D00050	XP_033765038.1
SPAR_D00060	XP_033765039.1
SPAR_D00070	XP_033765040.1
SPAR_D00080	XP_033765041.1
SPAR_D00090	XP_033765042.1
SPAR_D00100	XP_033765043.1
SPAR_D00110	XP_033765044.1
SPAR_D00120	XP_033765045.1
SPAR_D00130	XP_033765046.1
SPAR_D00140	XP_033765047.1
SPAR_D00150	XP_033765048.1
SPAR_D00160	XP_033765049.1
SPAR_D00170	XP_033765050.1
SPAR_D00180	XP_033765051.1
SPAR_D00190	XP_033765052.1
SPAR_D00200	XP_033765053.1
SPAR_D00210	XP_033765054.1
SPAR_D00220	XP_033765055.1
SPAR_D00230	XP_033765056.1
SPAR_D00240	XP_033765057.1
SPAR_D00250	XP_033765058.1
SPAR_D00260	XP_033765059.1
SPAR_D00270	XP_033765060.1
SPAR_D00270	XP_033765060.1
SPAR_D00280	XP_033765061.1
SPAR_D00290	XP_033765062.1
SPAR_D00300	XP_033765063.1
SPAR_D00310	XP_033765064.1
SPAR_D00320	XP_033765065.1
SPAR_D00330	XP_033765066.1
SPAR_D00340	XP_033765067.1
SPAR_D00350	XP_033765068.1
SPAR_D00360	XP_033765069.1
SPAR_D00370	XP_033765070.1
SPAR_D00380	XP_033765071.1
SPAR_D00390	XP_033765072.1
SPAR_D00400	XP_033765073.1
SPAR_D00410	XP_033765074.1
SPAR_D00420	XP_033765075.1
SPAR_D00430	XP_033765076.1
SPAR_D00440	XP_033765077.1
SPAR_D00450	XP_033765078.1
SPAR_D00460	XP_033765079.1
SPAR_D00470	XP_033765080.1
SPAR_D00480	XP_033765081.1
SPAR_D00490	XP_033765082.1
SPAR_D00500	XP_033765083.1
SPAR_D00510	XP_033765084.1
SPAR_D00520	XP_033765085.1
SPAR_D00530	XP_033765086.1
SPAR_D00540	XP_033765087.1
SPAR_D00540	XP_033765087.1
SPAR_D00550	XP_033765088.1
SPAR_D00560	XP_033765089.1
SPAR_D00570	XP_033765090.1
SPAR_D00580	XP_033765091.1
SPAR_D00590	XP_033765092.1
SPAR_D00600	XP_033765093.1
SPAR_D00610	XP_033765094.1
SPAR_D00620	XP_033765095.1
SPAR_D00630	XP_033765096.1
SPAR_D00640	XP_033765097.1
SPAR_D00650	XP_033765098.1
SPAR_D00660	XP_033765099.1
SPAR_D00670	XP_033765100.1
SPAR_D00680	XP_033765101.1
SPAR_D00690	XP_033765102.1
SPAR_D00700	XP_033765103.1
SPAR_D00710	XP_033765104.1
SPAR_D00720	XP_033765105.1
SPAR_D00730	XP_033765106.1
SPAR_D00740	XP_033765107.1
SPAR_D00750	XP_033765108.1
SPAR_D00760	XP_033765109.1
SPAR_D00770	XP_033765110.1
SPAR_D00780	XP_033765111.1
SPAR_D00790	XP_033765112.1
SPAR_D00800	XP_033765113.1
SPAR_D00810	XP_033765114.1
SPAR_D00820	XP_033765115.1
SPAR_D00830	XP_033765116.1
SPAR_D00840	XP_033765117.1
SPAR_D00850	XP_033765118.1
SPAR_D00860	XP_033765119.1
SPAR_D00870	XP_033765120.1
SPAR_D00880	XP_033765121.1
SPAR_D00890	XP_033765122.1
SPAR_D00900	XP_033765123.1
SPAR_D00910	XP_033765124.1
SPAR_D00920	XP_033765125.1
SPAR_D00930	XP_033765126.1
SPAR_D00940	XP_033765127.1
SPAR_D00950	XP_033765128.1
SPAR_D00960	XP_033765129.1
SPAR_D00970	XP_033765130.1
SPAR_D00980	XP_033765131.1
SPAR_D00990	XP_033765132.1
SPAR_D01000	XP_033765133.1
SPAR_D01010	XP_033765134.1
SPAR_D01020	XP_033765135.1
SPAR_D01030	XP_033765136.1
SPAR_D01040	XP_033765137.1
SPAR_D01050	XP_033765138.1
SPAR_D01060	XP_033765139.1
SPAR_D01070	XP_033765140.1
SPAR_D01080	XP_033765141.1
SPAR_D01080	XP_033765141.1
SPAR_D01090	XP_033765142.1
SPAR_D01100	XP_033765143.1
SPAR_D01110	XP_033765144.1
SPAR_D01120	XP_033765145.1
SPAR_D01130	XP_033765146.1
SPAR_D01130	XP_033765146.1
SPAR_D01140	XP_033765147.1
SPAR_D01150	XP_033765148.1
