NCAS_0A00100	XP_003672961.1
NCAS_0A01110	XP_003673062.1
NCAS_0A01120	XP_003673063.1
NCAS_0A01130	XP_003673064.1
NCAS_0A01140	XP_003673065.1
NCAS_0A01150	XP_003673066.1
NCAS_0A01160	XP_003673067.1
NCAS_0A01170	XP_003673068.1
NCAS_0A01180	XP_003673069.1
NCAS_0A01190	XP_003673070.1
NCAS_0A01200	XP_003673071.1
NCAS_0A01210	XP_003673072.1
NCAS_0A01220	XP_003673073.1
NCAS_0A01230	XP_003673074.1
NCAS_0A01240	XP_003673075.1
NCAS_0A01250	XP_003673076.1
NCAS_0A01250	XP_003673076.1
NCAS_0A01260	XP_003673077.1
NCAS_0A01260	XP_003673077.1
NCAS_0A01270	XP_003673078.1
NCAS_0A01280	XP_003673079.1
NCAS_0A01290	XP_003673080.1
NCAS_0A01300	XP_003673081.1
NCAS_0A01310	XP_003673082.1
NCAS_0A01320	XP_003673083.1
NCAS_0A01330	XP_003673084.1
NCAS_0A01340	XP_003673085.1
NCAS_0A01350	XP_003673086.1
NCAS_0A01360	XP_003673087.1
NCAS_0A01370	XP_003673088.1
NCAS_0A01380	XP_003673089.1
NCAS_0A01390	XP_003673090.1
NCAS_0A01400	XP_003673091.1
NCAS_0A01410	XP_003673092.1
NCAS_0A01420	XP_003673093.1
NCAS_0A01430	XP_003673094.1
NCAS_0A01440	XP_003673095.1
NCAS_0A01450	XP_003673096.1
NCAS_0A01460	XP_003673097.1
NCAS_0A01470	XP_003673098.1
NCAS_0A01480	XP_003673099.1
NCAS_0A01490	XP_003673100.1
NCAS_0A01500	XP_003673101.1
NCAS_0A01510	XP_003673102.1
NCAS_0A01520	XP_003673103.1
NCAS_0A01530	XP_003673104.1
NCAS_0A01540	XP_003673105.1
NCAS_0A01550	XP_003673106.1
NCAS_0A01560	XP_003673107.1
NCAS_0A01570	XP_003673108.1
NCAS_0A01580	XP_003673109.1
NCAS_0A01590	XP_003673110.1
NCAS_0A01600	XP_003673111.1
NCAS_0A01610	XP_003673112.1
NCAS_0A01620	XP_003673113.1
NCAS_0A01630	XP_003673114.1
NCAS_0A01640	XP_003673115.1
NCAS_0A01650	XP_003673116.1
NCAS_0A01660	XP_003673117.1
NCAS_0A01670	XP_003673118.1
NCAS_0A01680	XP_003673119.1
NCAS_0A01690	XP_003673120.1
NCAS_0A01700	XP_003673121.1
NCAS_0A01710	XP_003673122.1
NCAS_0A01720	XP_003673123.1
NCAS_0A01730	XP_003673124.1
NCAS_0A01740	XP_003673125.1
NCAS_0A01760	XP_003673126.1
NCAS_0A01770	XP_003673127.1
NCAS_0A01780	XP_003673128.1
NCAS_0A01780	XP_003673128.1
NCAS_0A01790	XP_003673129.1
NCAS_0A01800	XP_003673130.1
NCAS_0A01810	XP_003673131.1
NCAS_0A01820	XP_003673132.1
NCAS_0A01830	XP_003673133.1
NCAS_0A01840	XP_003673134.1
NCAS_0A01850	XP_003673135.1
NCAS_0A01860	XP_003673136.1
NCAS_0A01870	XP_003673137.1
NCAS_0A01880	XP_003673138.1
NCAS_0A01890	XP_003673139.1
NCAS_0A01900	XP_003673140.1
NCAS_0A01910	XP_003673141.1
NCAS_0A01920	XP_003673142.1
NCAS_0A01930	XP_003673143.1
NCAS_0A01940	XP_003673144.1
NCAS_0A01950	XP_003673145.1
NCAS_0A01960	XP_003673146.1
NCAS_0A01980	XP_003673147.1
NCAS_0A01990	XP_003673148.1
NCAS_0A02000	XP_003673149.1
NCAS_0A02010	XP_003673150.1
NCAS_0A02020	XP_003673151.1
NCAS_0A02030	XP_003673152.1
NCAS_0A02040	XP_003673153.1
NCAS_0A02050	XP_003673154.1
NCAS_0A02060	XP_003673155.1
NCAS_0A02060	XP_003673155.1
NCAS_0A02070	XP_003673156.1
NCAS_0A02080	XP_003673157.1
NCAS_0A02090	XP_003673158.1
NCAS_0A02100	XP_003673159.1
NCAS_0A02110	XP_003673160.1
NCAS_0A02120	XP_003673161.1
NCAS_0A02130	XP_003673162.1
NCAS_0A02140	XP_003673163.1
NCAS_0A02150	XP_003673164.1
NCAS_0A02160	XP_003673165.1
NCAS_0A02170	XP_003673166.1
NCAS_0A02180	XP_003673167.1
NCAS_0A02190	XP_003673168.1
NCAS_0A02200	XP_003673169.1
NCAS_0A02210	XP_003673170.1
NCAS_0A02220	XP_003673171.1
NCAS_0A02230	XP_003673172.1
NCAS_0A02240	XP_003673173.1
NCAS_0A02250	XP_003673174.1
NCAS_0A02260	XP_003673175.1
NCAS_0A02270	XP_003673176.1
NCAS_0A02280	XP_003673177.1
NCAS_0A02290	XP_003673178.1
NCAS_0A02300	XP_003673179.1
NCAS_0A02300	XP_003673179.1
NCAS_0A02310	XP_003673180.1
NCAS_0A02320	XP_003673181.1
NCAS_0A02330	XP_003673182.1
NCAS_0A02340	XP_003673183.1
NCAS_0A02350	XP_003673184.1
NCAS_0A02360	XP_003673185.1
NCAS_0A02370	XP_003673186.1
NCAS_0A02380	XP_003673187.1
NCAS_0A02390	XP_003673188.1
NCAS_0A02400	XP_003673189.1
NCAS_0A02410	XP_003673190.1
NCAS_0A02420	XP_003673191.1
NCAS_0A02430	XP_003673192.1
NCAS_0A02440	XP_003673193.1
NCAS_0A02450	XP_003673194.1
NCAS_0A02460	XP_003673195.1
NCAS_0A02470	XP_003673196.1
NCAS_0A02480	XP_003673197.1
NCAS_0A02490	XP_003673198.1
NCAS_0A02490	XP_003673198.1
NCAS_0A02500	XP_003673199.1
NCAS_0A02510	XP_003673200.1
NCAS_0A02520	XP_003673201.1
NCAS_0A02530	XP_003673202.1
NCAS_0A02530	XP_003673202.1
NCAS_0A02540	XP_003673203.1
NCAS_0A02550	XP_003673204.1
NCAS_0A02560	XP_003673205.1
NCAS_0A02570	XP_003673206.1
NCAS_0A02580	XP_003673207.1
NCAS_0A02590	XP_003673208.1
NCAS_0A02600	XP_003673209.1
NCAS_0A02610	XP_003673210.1
NCAS_0A02620	XP_003673211.1
NCAS_0A02630	XP_003673212.1
NCAS_0A02640	XP_003673213.1
NCAS_0A02650	XP_003673214.1
NCAS_0A02660	XP_003673215.1
NCAS_0A02670	XP_003673216.1
NCAS_0A02680	XP_003673217.1
NCAS_0A02690	XP_003673218.1
NCAS_0A02700	XP_003673219.1
NCAS_0A02710	XP_003673220.1
NCAS_0A02710	XP_003673220.1
NCAS_0A02720	XP_003673221.1
NCAS_0A02730	XP_003673222.1
NCAS_0A02740	XP_003673223.1
NCAS_0A02750	XP_003673224.1
NCAS_0A02760	XP_003673225.1
NCAS_0A02770	XP_003673226.1
NCAS_0A02780	XP_003673227.1
NCAS_0A02790	XP_003673228.1
NCAS_0A02800	XP_003673229.1
NCAS_0A02810	XP_003673230.1
NCAS_0A02810	XP_003673230.1
NCAS_0A02820	XP_003673231.1
NCAS_0A02830	XP_003673232.1
NCAS_0A02840	XP_003673233.1
NCAS_0A02850	XP_003673234.1
NCAS_0A02860	XP_003673235.1
NCAS_0A02870	XP_003673236.1
NCAS_0A02880	XP_003673237.1
NCAS_0A02890	XP_003673238.1
NCAS_0A02900	XP_003673239.1
NCAS_0A02910	XP_003673240.1
NCAS_0A02920	XP_003673241.1
NCAS_0A02930	XP_003673242.1
NCAS_0A02940	XP_003673243.1
NCAS_0A02950	XP_003673244.1
NCAS_0A02960	XP_003673245.1
NCAS_0A02970	XP_003673246.1
NCAS_0A02980	XP_003673247.1
NCAS_0A02990	XP_003673248.1
NCAS_0A03000	XP_003673249.1
NCAS_0A03010	XP_003673250.1
NCAS_0A03020	XP_003673251.1
NCAS_0A03030	XP_003673252.1
NCAS_0A03040	XP_003673253.1
NCAS_0A03050	XP_003673254.1
NCAS_0A03060	XP_003673255.1
NCAS_0A03070	XP_003673256.1
NCAS_0A03080	XP_003673257.1
NCAS_0A03090	XP_003673258.1
NCAS_0A03100	XP_003673259.1
NCAS_0A03110	XP_003673260.1
NCAS_0A03120	XP_003673261.1
NCAS_0A03140	XP_003673262.1
NCAS_0A03150	XP_003673263.1
NCAS_0A03160	XP_003673264.1
NCAS_0A03170	XP_003673265.1
NCAS_0A03180	XP_003673266.1
NCAS_0A03180	XP_003673266.1
NCAS_0A03190	XP_003673267.1
NCAS_0A03210	XP_003673268.1
NCAS_0A03210	XP_003673268.1
NCAS_0A03220	XP_003673269.1
NCAS_0A03230	XP_003673270.1
NCAS_0A03240	XP_003673271.1
NCAS_0A03250	XP_003673272.1
NCAS_0A03260	XP_003673273.1
NCAS_0A03270	XP_003673274.1
NCAS_0A03280	XP_003673275.1
NCAS_0A03290	XP_003673276.1
NCAS_0A03300	XP_003673277.1
NCAS_0A03310	XP_003673278.1
NCAS_0A03320	XP_003673279.1
NCAS_0A03330	XP_003673280.1
NCAS_0A03340	XP_003673281.1
NCAS_0A03350	XP_003673282.1
NCAS_0A03360	XP_003673283.1
NCAS_0A03370	XP_003673284.1
NCAS_0A03380	XP_003673285.1
NCAS_0A03390	XP_003673286.1
NCAS_0A03400	XP_003673287.1
NCAS_0A03410	XP_003673288.1
NCAS_0A03420	XP_003673289.1
NCAS_0A03430	XP_003673290.1
NCAS_0A03440	XP_003673291.1
NCAS_0A03450	XP_003673292.1
NCAS_0A03460	XP_003673293.1
NCAS_0A03470	XP_003673294.1
NCAS_0A03480	XP_003673295.1
NCAS_0A03490	XP_003673296.1
NCAS_0A03500	XP_003673297.1
NCAS_0A03510	XP_003673298.1
NCAS_0A03520	XP_003673299.1
NCAS_0A03530	XP_003673300.1
NCAS_0A03540	XP_003673301.1
NCAS_0A03550	XP_003673302.1
NCAS_0A03560	XP_003673303.1
NCAS_0A03570	XP_003673304.1
NCAS_0A03580	XP_003673305.1
NCAS_0A03590	XP_003673306.1
NCAS_0A03600	XP_003673307.1
NCAS_0A03610	XP_003673308.1
NCAS_0A03620	XP_003673309.1
NCAS_0A03630	XP_003673310.1
NCAS_0A03640	XP_003673311.1
NCAS_0A03650	XP_003673312.1
NCAS_0A03660	XP_003673313.1
NCAS_0A03670	XP_003673314.1
NCAS_0A03680	XP_003673315.1
NCAS_0A03690	XP_003673316.1
NCAS_0A03700	XP_003673317.1
NCAS_0A03710	XP_003673318.1
NCAS_0A03720	XP_003673319.1
NCAS_0A03730	XP_003673320.1
NCAS_0A03740	XP_003673321.1
NCAS_0A03750	XP_003673322.1
NCAS_0A03770	XP_003673323.1
NCAS_0A03780	XP_003673324.1
NCAS_0A03790	XP_003673325.1
NCAS_0A03800	XP_003673326.1
NCAS_0A03810	XP_003673327.1
NCAS_0A03810	XP_003673327.1
NCAS_0A03820	XP_003673328.1
NCAS_0A03830	XP_003673329.1
NCAS_0A03840	XP_003673330.1
NCAS_0A03850	XP_003673331.1
NCAS_0A03860	XP_003673332.1
NCAS_0A03870	XP_003673333.1
NCAS_0A03880	XP_003673334.1
NCAS_0A03890	XP_003673335.1
NCAS_0A03900	XP_003673336.1
NCAS_0A03910	XP_003673337.1
NCAS_0A03920	XP_003673338.1
NCAS_0A03930	XP_003673339.1
NCAS_0A03940	XP_003673340.1
NCAS_0A03960	XP_003673341.1
NCAS_0A03970	XP_003673342.1
NCAS_0A03970	XP_003673342.1
NCAS_0A03980	XP_003673343.1
NCAS_0A03980	XP_003673343.1
NCAS_0A03990	XP_003673344.1
NCAS_0A04000	XP_003673345.1
NCAS_0A04010	XP_003673346.1
NCAS_0A04020	XP_003673347.1
NCAS_0A04030	XP_003673348.1
NCAS_0A04040	XP_003673349.1
NCAS_0A04050	XP_003673350.1
NCAS_0A04060	XP_003673351.1
NCAS_0A04070	XP_003673352.1
NCAS_0A04080	XP_003673353.1
NCAS_0A04090	XP_003673354.1
NCAS_0A04100	XP_003673355.1
NCAS_0A04110	XP_003673356.1
NCAS_0A04120	XP_003673357.1
NCAS_0A04130	XP_003673358.1
NCAS_0A04140	XP_003673359.1
NCAS_0A04150	XP_003673360.1
NCAS_0A04160	XP_003673361.1
NCAS_0A04170	XP_003673362.1
NCAS_0A04180	XP_003673363.1
NCAS_0A04190	XP_003673364.1
NCAS_0A04200	XP_003673365.1
NCAS_0A04210	XP_003673366.1
NCAS_0A04220	XP_003673367.1
NCAS_0A04230	XP_003673368.1
NCAS_0A04240	XP_003673369.1
NCAS_0A04250	XP_003673370.1
NCAS_0A04260	XP_003673371.1
NCAS_0A04270	XP_003673372.1
NCAS_0A04270	XP_003673372.1
NCAS_0A04280	XP_003673373.1
NCAS_0A04290	XP_003673374.1
NCAS_0A04300	XP_003673375.1
NCAS_0A04310	XP_003673376.1
NCAS_0A04320	XP_003673377.1
NCAS_0A04330	XP_003673378.1
NCAS_0A04340	XP_003673379.1
NCAS_0A04350	XP_003673380.1
NCAS_0A04360	XP_003673381.1
NCAS_0A04370	XP_003673382.1
NCAS_0A04370	XP_003673382.1
NCAS_0A04380	XP_003673383.1
NCAS_0A04390	XP_003673384.1
NCAS_0A04400	XP_003673385.1
NCAS_0A04410	XP_003673386.1
NCAS_0A04420	XP_003673387.1
NCAS_0A04430	XP_003673388.1
NCAS_0A04440	XP_003673389.1
NCAS_0A04450	XP_003673390.1
NCAS_0A04460	XP_003673391.1
NCAS_0A04470	XP_003673392.1
NCAS_0A04480	XP_003673393.1
NCAS_0A04490	XP_003673394.1
NCAS_0A04500	XP_003673395.1
NCAS_0A04510	XP_003673396.1
NCAS_0A04520	XP_003673397.1
NCAS_0A04530	XP_003673398.1
NCAS_0A04540	XP_003673399.1
NCAS_0A04550	XP_003673400.1
NCAS_0A04560	XP_003673401.1
NCAS_0A04570	XP_003673402.1
NCAS_0A04580	XP_003673403.1
NCAS_0A04590	XP_003673404.1
NCAS_0A04600	XP_003673405.1
NCAS_0A04610	XP_003673406.1
NCAS_0A04620	XP_003673407.1
NCAS_0A04630	XP_003673408.1
NCAS_0A04640	XP_003673409.1
NCAS_0A04650	XP_003673410.1
NCAS_0A04660	XP_003673411.1
NCAS_0A04670	XP_003673412.1
NCAS_0A04680	XP_003673413.1
NCAS_0A04690	XP_003673414.1
NCAS_0A04700	XP_003673415.1
NCAS_0A04710	XP_003673416.1
NCAS_0A04720	XP_003673417.1
NCAS_0A04730	XP_003673418.1
NCAS_0A04740	XP_003673419.1
NCAS_0A04750	XP_003673420.1
NCAS_0A04760	XP_003673421.1
NCAS_0A04770	XP_003673422.1
NCAS_0A04780	XP_003673423.1
NCAS_0A04790	XP_003673424.1
NCAS_0A04800	XP_003673425.1
NCAS_0A04810	XP_003673426.1
NCAS_0A04820	XP_003673427.1
NCAS_0A04830	XP_003673428.1
NCAS_0A04840	XP_003673429.1
NCAS_0A04850	XP_003673430.1
NCAS_0A04860	XP_003673431.1
NCAS_0A04870	XP_003673432.1
NCAS_0A04880	XP_003673433.1
NCAS_0A04890	XP_003673434.1
NCAS_0A04890	XP_003673434.1
NCAS_0A04900	XP_003673435.1
NCAS_0A04910	XP_003673436.1
NCAS_0A04920	XP_003673437.1
NCAS_0A04930	XP_003673438.1
NCAS_0A04940	XP_003673439.1
NCAS_0A04950	XP_003673440.1
NCAS_0A04960	XP_003673441.1
NCAS_0A04970	XP_003673442.1
NCAS_0A04980	XP_003673443.1
NCAS_0A04990	XP_003673444.1
NCAS_0A05000	XP_003673445.1
NCAS_0A05020	XP_003673446.1
NCAS_0A05030	XP_003673447.1
NCAS_0A05040	XP_003673448.1
NCAS_0A05050	XP_003673449.1
NCAS_0A05060	XP_003673450.1
NCAS_0A05070	XP_003673451.1
NCAS_0A05080	XP_003673452.1
NCAS_0A05090	XP_003673453.1
NCAS_0A05100	XP_003673454.1
NCAS_0A05110	XP_003673455.1
NCAS_0A05120	XP_003673456.1
NCAS_0A05130	XP_003673457.1
NCAS_0A05140	XP_003673458.1
NCAS_0A05150	XP_003673459.1
NCAS_0A05160	XP_003673460.1
NCAS_0A05170	XP_003673461.1
NCAS_0A05180	XP_003673462.1
NCAS_0A05190	XP_003673463.1
NCAS_0A05200	XP_003673464.1
NCAS_0A05200	XP_003673464.1
NCAS_0A05200	XP_003673464.1
NCAS_0A05210	XP_003673465.1
NCAS_0A05220	XP_003673466.1
NCAS_0A05230	XP_003673467.1
NCAS_0A05240	XP_003673468.1
NCAS_0A05250	XP_003673469.1
NCAS_0A05260	XP_003673470.1
NCAS_0A05270	XP_003673471.1
NCAS_0A05280	XP_003673472.1
NCAS_0A05290	XP_003673473.1
NCAS_0A05320	XP_003673474.1
NCAS_0A05330	XP_003673475.1
NCAS_0A05340	XP_003673476.1
NCAS_0A05350	XP_003673477.1
NCAS_0A05360	XP_003673478.1
NCAS_0A05370	XP_003673479.1
NCAS_0A05380	XP_003673480.1
NCAS_0A05390	XP_003673481.1
NCAS_0A05400	XP_003673482.1
NCAS_0A05410	XP_003673483.1
NCAS_0A05420	XP_003673484.1
NCAS_0A05440	XP_003673485.1
NCAS_0A05450	XP_003673486.1
NCAS_0A05460	XP_003673487.1
NCAS_0A05470	XP_003673488.1
NCAS_0A05480	XP_003673489.1
NCAS_0A05490	XP_003673490.1
NCAS_0A05500	XP_003673491.1
NCAS_0A05510	XP_003673492.1
NCAS_0A05520	XP_003673493.1
NCAS_0A05530	XP_003673494.1
NCAS_0A05540	XP_003673495.1
NCAS_0A05550	XP_003673496.1
NCAS_0A05560	XP_003673497.1
NCAS_0A05570	XP_003673498.1
NCAS_0A05580	XP_003673499.1
NCAS_0A05590	XP_003673500.1
NCAS_0A05600	XP_003673501.1
NCAS_0A05610	XP_003673502.1
NCAS_0A05620	XP_003673503.1
NCAS_0A05630	XP_003673504.1
NCAS_0A05640	XP_003673505.1
NCAS_0A05640	XP_003673505.1
NCAS_0A05650	XP_003673506.1
NCAS_0A05650	XP_003673506.1
NCAS_0A05660	XP_003673507.1
NCAS_0A05670	XP_003673508.1
NCAS_0A05680	XP_003673509.1
NCAS_0A05690	XP_003673510.1
NCAS_0A05700	XP_003673511.1
NCAS_0A05700	XP_003673511.1
NCAS_0A05710	XP_003673512.1
NCAS_0A05720	XP_003673513.1
NCAS_0A05730	XP_003673514.1
NCAS_0A05740	XP_003673515.1
NCAS_0A05750	XP_003673516.1
NCAS_0A05760	XP_003673517.1
NCAS_0A05770	XP_003673518.1
NCAS_0A05780	XP_003673519.1
NCAS_0A05790	XP_003673520.1
NCAS_0A05800	XP_003673521.1
NCAS_0A05810	XP_003673522.1
NCAS_0A05820	XP_003673523.1
NCAS_0A05830	XP_003673524.1
NCAS_0A05840	XP_003673525.1
NCAS_0A05850	XP_003673526.1
NCAS_0A05860	XP_003673527.1
NCAS_0A05870	XP_003673528.1
NCAS_0A05880	XP_003673529.1
NCAS_0A05890	XP_003673530.1
NCAS_0A05900	XP_003673531.1
NCAS_0A05910	XP_003673532.1
NCAS_0A05920	XP_003673533.1
NCAS_0A05930	XP_003673534.1
NCAS_0A05940	XP_003673535.1
NCAS_0A05950	XP_003673536.1
NCAS_0A05960	XP_003673537.1
NCAS_0A05970	XP_003673538.1
NCAS_0A05980	XP_003673539.1
NCAS_0A05990	XP_003673540.1
NCAS_0A06000	XP_003673541.1
NCAS_0A06010	XP_003673542.1
NCAS_0A06020	XP_003673543.1
NCAS_0A06030	XP_003673544.1
NCAS_0A06040	XP_003673545.1
NCAS_0A06050	XP_003673546.1
NCAS_0A06060	XP_003673547.1
NCAS_0A06070	XP_003673548.1
NCAS_0A06080	XP_003673549.1
NCAS_0A06090	XP_003673550.1
NCAS_0A06100	XP_003673551.1
NCAS_0A06100	XP_003673551.1
NCAS_0A06110	XP_003673552.1
NCAS_0A06120	XP_003673553.1
NCAS_0A06130	XP_003673554.1
NCAS_0A06140	XP_003673555.1
NCAS_0A06150	XP_003673556.1
NCAS_0A06160	XP_003673557.1
NCAS_0A06160	XP_003673557.1
NCAS_0A06170	XP_003673558.1
NCAS_0A06180	XP_003673559.1
NCAS_0A06190	XP_003673560.1
NCAS_0A06200	XP_003673561.1
NCAS_0A06210	XP_003673562.1
NCAS_0A06220	XP_003673563.1
NCAS_0A06230	XP_003673564.1
NCAS_0A06240	XP_003673565.1
NCAS_0A06250	XP_003673566.1
NCAS_0A06260	XP_003673567.1
NCAS_0A06270	XP_003673568.1
NCAS_0A06280	XP_003673569.1
NCAS_0A06290	XP_003673570.1
NCAS_0A06300	XP_003673571.1
NCAS_0A06310	XP_003673572.1
NCAS_0A06320	XP_003673573.1
NCAS_0A06330	XP_003673574.1
NCAS_0A06340	XP_003673575.1
NCAS_0A06350	XP_003673576.1
NCAS_0A06360	XP_003673577.1
NCAS_0A06370	XP_003673578.1
NCAS_0A06380	XP_003673579.1
NCAS_0A06390	XP_003673580.1
NCAS_0A06400	XP_003673581.1
NCAS_0A06410	XP_003673582.1
NCAS_0A06410	XP_003673582.1
NCAS_0A06420	XP_003673583.1
NCAS_0A06430	XP_003673584.1
NCAS_0A06440	XP_003673585.1
NCAS_0A06450	XP_003673586.1
NCAS_0A06460	XP_003673587.1
NCAS_0A06470	XP_003673588.1
NCAS_0A06480	XP_003673589.1
NCAS_0A06490	XP_003673590.1
NCAS_0A06510	XP_003673591.1
NCAS_0A06520	XP_003673592.1
NCAS_0A06530	XP_003673593.1
NCAS_0A06540	XP_003673594.1
NCAS_0A06550	XP_003673595.1
NCAS_0A06560	XP_003673596.1
NCAS_0A06570	XP_003673597.1
NCAS_0A06580	XP_003673598.1
NCAS_0A06590	XP_003673599.1
NCAS_0A06600	XP_003673600.1
NCAS_0A06610	XP_003673601.1
NCAS_0A06620	XP_003673602.1
NCAS_0A06630	XP_003673603.1
NCAS_0A06640	XP_003673604.1
NCAS_0A06660	XP_003673605.1
NCAS_0A06670	XP_003673606.1
NCAS_0A06680	XP_003673607.1
NCAS_0A06690	XP_003673608.1
NCAS_0A06700	XP_003673609.1
NCAS_0A06710	XP_003673610.1
NCAS_0A06720	XP_003673611.1
NCAS_0A06730	XP_003673612.1
NCAS_0A06740	XP_003673613.1
NCAS_0A06750	XP_003673614.1
NCAS_0A06760	XP_003673615.1
NCAS_0A06770	XP_003673616.1
NCAS_0A06780	XP_003673617.1
NCAS_0A06790	XP_003673618.1
NCAS_0A06790	XP_003673618.1
NCAS_0A06800	XP_003673619.1
NCAS_0A06810	XP_003673620.1
NCAS_0A06820	XP_003673621.1
NCAS_0A06830	XP_003673622.1
NCAS_0A06840	XP_003673623.1
NCAS_0A06850	XP_003673624.1
NCAS_0A06860	XP_003673625.1
NCAS_0A06870	XP_003673626.1
NCAS_0A06880	XP_003673627.1
NCAS_0A06890	XP_003673628.1
NCAS_0A06900	XP_003673629.1
NCAS_0A06910	XP_003673630.1
NCAS_0A06920	XP_003673631.1
NCAS_0A06930	XP_003673632.1
NCAS_0A06940	XP_003673633.1
NCAS_0A06950	XP_003673634.1
NCAS_0A06960	XP_003673635.1
NCAS_0A06970	XP_003673636.1
NCAS_0A06980	XP_003673637.1
NCAS_0A06990	XP_003673638.1
NCAS_0A07000	XP_003673639.1
NCAS_0A07010	XP_003673640.1
NCAS_0A07010	XP_003673640.1
NCAS_0A07010	XP_003673640.1
NCAS_0A07020	XP_003673641.1
NCAS_0A07030	XP_003673642.1
NCAS_0A07040	XP_003673643.1
NCAS_0A07050	XP_003673644.1
NCAS_0A07060	XP_003673645.1
NCAS_0A07070	XP_003673646.1
NCAS_0A07080	XP_003673647.1
NCAS_0A07090	XP_003673648.1
NCAS_0A07100	XP_003673649.1
NCAS_0A07110	XP_003673650.1
NCAS_0A07120	XP_003673651.1
NCAS_0A07130	XP_003673652.1
NCAS_0A07140	XP_003673653.1
NCAS_0A07150	XP_003673654.1
NCAS_0A07160	XP_003673655.1
NCAS_0A07170	XP_003673656.1
NCAS_0A07180	XP_003673657.1
NCAS_0A07190	XP_003673658.1
NCAS_0A07200	XP_003673659.1
NCAS_0A07210	XP_003673660.1
NCAS_0A07220	XP_003673661.1
NCAS_0A07230	XP_003673662.1
NCAS_0A07240	XP_003673663.1
NCAS_0A07250	XP_003673664.1
NCAS_0A07260	XP_003673665.1
