KAFR_0A00100	XP_003954583.1
KAFR_0A02540	XP_003954825.1
KAFR_0A02550	XP_003954826.1
KAFR_0A02560	XP_003954827.1
KAFR_0A02570	XP_003954828.1
KAFR_0A02580	XP_003954829.1
KAFR_0A02590	XP_003954830.1
KAFR_0A02600	XP_003954831.1
KAFR_0A02610	XP_003954832.1
KAFR_0A02620	XP_003954833.1
KAFR_0A02630	XP_003954834.1
KAFR_0A02640	XP_003954835.1
KAFR_0A02650	XP_003954836.1
KAFR_0A02660	XP_003954837.1
KAFR_0A02670	XP_003954838.1
KAFR_0A02670	XP_003954838.1
KAFR_0A02680	XP_003954839.1
KAFR_0A02690	XP_003954840.1
KAFR_0A02700	XP_003954841.1
KAFR_0A02710	XP_003954842.1
KAFR_0A02720	XP_003954843.1
KAFR_0A02730	XP_003954844.1
KAFR_0A02740	XP_003954845.1
KAFR_0A02750	XP_003954846.1
KAFR_0A02760	XP_003954847.1
KAFR_0A02770	XP_003954848.1
KAFR_0A02780	XP_003954849.1
KAFR_0A02790	XP_003954850.1
KAFR_0A02800	XP_003954851.1
KAFR_0A02810	XP_003954852.1
KAFR_0A02820	XP_003954853.1
KAFR_0A02830	XP_003954854.1
KAFR_0A02840	XP_003954855.1
KAFR_0A02850	XP_003954856.1
KAFR_0A02860	XP_003954857.1
KAFR_0A02870	XP_003954858.1
KAFR_0A02880	XP_003954859.1
KAFR_0A02890	XP_003954860.1
KAFR_0A02900	XP_003954861.1
KAFR_0A02910	XP_003954862.1
KAFR_0A02920	XP_003954863.1
KAFR_0A02920	XP_003954863.1
KAFR_0A02930	XP_003954864.1
KAFR_0A02940	XP_003954865.1
KAFR_0A02950	XP_003954866.1
KAFR_0A02960	XP_003954867.1
KAFR_0A02980	XP_003954868.1
KAFR_0A02990	XP_003954869.1
KAFR_0A02990	XP_003954869.1
KAFR_0A03000	XP_003954870.1
KAFR_0A03010	XP_003954871.1
KAFR_0A03020	XP_003954872.1
KAFR_0A03030	XP_003954873.1
KAFR_0A03040	XP_003954874.1
KAFR_0A03050	XP_003954875.1
KAFR_0A03060	XP_003954876.1
KAFR_0A03070	XP_003954877.1
KAFR_0A03080	XP_003954878.1
KAFR_0A03090	XP_003954879.1
KAFR_0A03100	XP_003954880.1
KAFR_0A03110	XP_003954881.1
KAFR_0A03120	XP_003954882.1
KAFR_0A03130	XP_003954883.1
KAFR_0A03140	XP_003954884.1
KAFR_0A03150	XP_003954885.1
KAFR_0A03160	XP_003954886.1
KAFR_0A03170	XP_003954887.1
KAFR_0A03180	XP_003954888.1
KAFR_0A03190	XP_003954889.1
KAFR_0A03200	XP_003954890.1
KAFR_0A03210	XP_003954891.1
KAFR_0A03220	XP_003954892.1
KAFR_0A03230	XP_003954893.1
KAFR_0A03240	XP_003954894.1
KAFR_0A03250	XP_003954895.1
KAFR_0A03260	XP_003954896.1
KAFR_0A03270	XP_003954897.1
KAFR_0A03280	XP_003954898.1
KAFR_0A03290	XP_003954899.1
KAFR_0A03300	XP_003954900.1
KAFR_0A03310	XP_003954901.1
KAFR_0A03320	XP_003954902.1
KAFR_0A03330	XP_003954903.1
KAFR_0A03340	XP_003954904.1
KAFR_0A03350	XP_003954905.1
KAFR_0A03360	XP_003954906.1
KAFR_0A03370	XP_003954907.1
KAFR_0A03380	XP_003954908.1
KAFR_0A03390	XP_003954909.1
KAFR_0A03400	XP_003954910.1
KAFR_0A03410	XP_003954911.1
KAFR_0A03420	XP_003954912.1
KAFR_0A03430	XP_003954913.1
KAFR_0A03440	XP_003954914.1
KAFR_0A03450	XP_003954915.1
KAFR_0A03460	XP_003954916.1
KAFR_0A03470	XP_003954917.1
KAFR_0A03480	XP_003954918.1
KAFR_0A03490	XP_003954919.1
KAFR_0A03500	XP_003954920.1
KAFR_0A03510	XP_003954921.1
KAFR_0A03520	XP_003954922.1
KAFR_0A03530	XP_003954923.1
KAFR_0A03540	XP_003954924.1
KAFR_0A03550	XP_003954925.1
KAFR_0A03560	XP_003954926.1
KAFR_0A03570	XP_003954927.1
KAFR_0A03580	XP_003954928.1
KAFR_0A03590	XP_003954929.1
KAFR_0A03600	XP_003954930.1
KAFR_0A03610	XP_003954931.1
KAFR_0A03620	XP_003954932.1
KAFR_0A03630	XP_003954933.1
KAFR_0A03640	XP_003954934.1
KAFR_0A03650	XP_003954935.1
KAFR_0A03660	XP_003954936.1
KAFR_0A03670	XP_003954937.1
KAFR_0A03680	XP_003954938.1
KAFR_0A03690	XP_003954939.1
KAFR_0A03700	XP_003954940.1
KAFR_0A03710	XP_003954941.1
KAFR_0A03720	XP_003954942.1
KAFR_0A03730	XP_003954943.1
KAFR_0A03740	XP_003954944.1
KAFR_0A03740	XP_003954944.1
KAFR_0A03750	XP_003954945.1
KAFR_0A03760	XP_003954946.1
KAFR_0A03770	XP_003954947.1
KAFR_0A03780	XP_003954948.1
KAFR_0A03790	XP_003954949.1
KAFR_0A03800	XP_003954950.1
KAFR_0A03810	XP_003954951.1
KAFR_0A03810	XP_003954951.1
KAFR_0A03820	XP_003954952.1
KAFR_0A03830	XP_003954953.1
KAFR_0A03840	XP_003954954.1
KAFR_0A03850	XP_003954955.1
KAFR_0A03860	XP_003954956.1
KAFR_0A03870	XP_003954957.1
KAFR_0A03880	XP_003954958.1
KAFR_0A03890	XP_003954959.1
KAFR_0A03900	XP_003954960.1
KAFR_0A03910	XP_003954961.1
KAFR_0A03920	XP_003954962.1
KAFR_0A03930	XP_003954963.1
KAFR_0A03940	XP_003954964.1
KAFR_0A03950	XP_003954965.1
KAFR_0A03960	XP_003954966.1
KAFR_0A03970	XP_003954967.1
KAFR_0A03980	XP_003954968.1
KAFR_0A03990	XP_003954969.1
KAFR_0A04000	XP_003954970.1
KAFR_0A04010	XP_003954971.1
KAFR_0A04020	XP_003954972.1
KAFR_0A04030	XP_003954973.1
KAFR_0A04040	XP_003954974.1
KAFR_0A04050	XP_003954975.1
KAFR_0A04060	XP_003954976.1
KAFR_0A04070	XP_003954977.1
KAFR_0A04080	XP_003954978.1
KAFR_0A04090	XP_003954979.1
KAFR_0A04100	XP_003954980.1
KAFR_0A04110	XP_003954981.1
KAFR_0A04120	XP_003954982.1
KAFR_0A04130	XP_003954983.1
KAFR_0A04140	XP_003954984.1
KAFR_0A04150	XP_003954985.1
KAFR_0A04160	XP_003954986.1
KAFR_0A04170	XP_003954987.1
KAFR_0A04180	XP_003954988.1
KAFR_0A04190	XP_003954989.1
KAFR_0A04200	XP_003954990.1
KAFR_0A04210	XP_003954991.1
KAFR_0A04220	XP_003954992.1
KAFR_0A04230	XP_003954993.1
KAFR_0A04240	XP_003954994.1
KAFR_0A04250	XP_003954995.1
KAFR_0A04260	XP_003954996.1
KAFR_0A04270	XP_003954997.1
KAFR_0A04280	XP_003954998.1
KAFR_0A04290	XP_003954999.1
KAFR_0A04300	XP_003955000.1
KAFR_0A04310	XP_003955001.1
KAFR_0A04320	XP_003955002.1
KAFR_0A04320	XP_003955002.1
KAFR_0A04330	XP_003955003.1
KAFR_0A04340	XP_003955004.1
KAFR_0A04350	XP_003955005.1
KAFR_0A04360	XP_003955006.1
KAFR_0A04370	XP_003955007.1
KAFR_0A04380	XP_003955008.1
KAFR_0A04390	XP_003955009.1
KAFR_0A04400	XP_003955010.1
KAFR_0A04410	XP_003955011.1
KAFR_0A04420	XP_003955012.1
KAFR_0A04430	XP_003955013.1
KAFR_0A04440	XP_003955014.1
KAFR_0A04450	XP_003955015.1
KAFR_0A04460	XP_003955016.1
KAFR_0A04470	XP_003955017.1
KAFR_0A04480	XP_003955018.1
KAFR_0A04490	XP_003955019.1
KAFR_0A04500	XP_003955020.1
KAFR_0A04510	XP_003955021.1
KAFR_0A04520	XP_003955022.1
KAFR_0A04530	XP_003955023.1
KAFR_0A04540	XP_003955024.1
KAFR_0A04550	XP_003955025.1
KAFR_0A04560	XP_003955026.1
KAFR_0A04570	XP_003955027.1
KAFR_0A04570	XP_003955027.1
KAFR_0A04580	XP_003955028.1
KAFR_0A04590	XP_003955029.1
KAFR_0A04600	XP_003955030.1
KAFR_0A04610	XP_003955031.1
KAFR_0A04620	XP_003955032.1
KAFR_0A04630	XP_003955033.1
KAFR_0A04640	XP_003955034.1
KAFR_0A04650	XP_003955035.1
KAFR_0A04660	XP_003955036.1
KAFR_0A04670	XP_003955037.1
KAFR_0A04680	XP_003955038.1
KAFR_0A04690	XP_003955039.1
KAFR_0A04700	XP_003955040.1
KAFR_0A04710	XP_003955041.1
KAFR_0A04720	XP_003955042.1
KAFR_0A04730	XP_003955043.1
KAFR_0A04740	XP_003955044.1
KAFR_0A04750	XP_003955045.1
KAFR_0A04760	XP_003955046.1
KAFR_0A04770	XP_003955047.1
KAFR_0A04780	XP_003955048.1
KAFR_0A04790	XP_003955049.1
KAFR_0A04795	XP_003955050.1
KAFR_0A04800	XP_003955051.1
KAFR_0A04810	XP_003955052.1
KAFR_0A04820	XP_003955053.1
KAFR_0A04830	XP_003955054.1
KAFR_0A04840	XP_003955055.1
KAFR_0A04850	XP_003955056.1
KAFR_0A04860	XP_003955057.1
KAFR_0A04860	XP_003955057.1
KAFR_0A04870	XP_003955058.1
KAFR_0A04880	XP_003955059.1
KAFR_0A04890	XP_003955060.1
KAFR_0A04900	XP_003955061.1
KAFR_0A04910	XP_003955062.1
KAFR_0A04920	XP_003955063.1
KAFR_0A04930	XP_003955064.1
KAFR_0A04940	XP_003955065.1
KAFR_0A04950	XP_003955066.1
KAFR_0A04960	XP_003955067.1
KAFR_0A04970	XP_003955068.1
KAFR_0A04970	XP_003955068.1
KAFR_0A04980	XP_003955069.1
KAFR_0A04990	XP_003955070.1
KAFR_0A05000	XP_003955071.1
KAFR_0A05010	XP_003955072.1
KAFR_0A05020	XP_003955073.1
KAFR_0A05030	XP_003955074.1
KAFR_0A05040	XP_003955075.1
KAFR_0A05050	XP_003955076.1
KAFR_0A05060	XP_003955077.1
KAFR_0A05070	XP_003955078.1
KAFR_0A05080	XP_003955079.1
KAFR_0A05090	XP_003955080.1
KAFR_0A05110	XP_003955081.1
KAFR_0A05120	XP_003955082.1
KAFR_0A05130	XP_003955083.1
KAFR_0A05140	XP_003955084.1
KAFR_0A05150	XP_003955085.1
KAFR_0A05160	XP_003955086.1
KAFR_0A05170	XP_003955087.1
KAFR_0A05180	XP_003955088.1
KAFR_0A05190	XP_003955089.1
KAFR_0A05200	XP_003955090.1
KAFR_0A05210	XP_003955091.1
KAFR_0A05220	XP_003955092.1
KAFR_0A05230	XP_003955093.1
KAFR_0A05240	XP_003955094.1
KAFR_0A05250	XP_003955095.1
KAFR_0A05260	XP_003955096.1
KAFR_0A05270	XP_003955097.1
KAFR_0A05280	XP_003955098.1
KAFR_0A05290	XP_003955099.1
KAFR_0A05300	XP_003955100.1
KAFR_0A05310	XP_003955101.1
KAFR_0A05320	XP_003955102.1
KAFR_0A05330	XP_003955103.1
KAFR_0A05330	XP_003955103.1
KAFR_0A05340	XP_003955104.1
KAFR_0A05350	XP_003955105.1
KAFR_0A05360	XP_003955106.1
KAFR_0A05370	XP_003955107.1
KAFR_0A05380	XP_003955108.1
KAFR_0A05390	XP_003955109.1
KAFR_0A05400	XP_003955110.1
KAFR_0A05410	XP_003955111.1
KAFR_0A05420	XP_003955112.1
KAFR_0A05430	XP_003955113.1
KAFR_0A05440	XP_003955114.1
KAFR_0A05450	XP_003955115.1
KAFR_0A05460	XP_003955116.1
KAFR_0A05470	XP_003955117.1
KAFR_0A05480	XP_003955118.1
KAFR_0A05490	XP_003955119.1
KAFR_0A05500	XP_003955120.1
KAFR_0A05510	XP_003955121.1
KAFR_0A05520	XP_003955122.1
KAFR_0A05530	XP_003955123.1
KAFR_0A05540	XP_003955124.1
KAFR_0A05550	XP_003955125.1
KAFR_0A05560	XP_003955126.1
KAFR_0A05570	XP_003955127.1
KAFR_0A05580	XP_003955128.1
KAFR_0A05590	XP_003955129.1
KAFR_0A05600	XP_003955130.1
KAFR_0A05610	XP_003955131.1
KAFR_0A05620	XP_003955132.1
KAFR_0A05630	XP_003955133.1
KAFR_0A05630	XP_003955133.1
KAFR_0A05640	XP_003955134.1
KAFR_0A05650	XP_003955135.1
KAFR_0A05660	XP_003955136.1
KAFR_0A05670	XP_003955137.1
KAFR_0A05680	XP_003955138.1
KAFR_0A05690	XP_003955139.1
KAFR_0A05700	XP_003955140.1
KAFR_0A05710	XP_003955141.1
KAFR_0A05720	XP_003955142.1
KAFR_0A05730	XP_003955143.1
KAFR_0A05740	XP_003955144.1
KAFR_0A05750	XP_003955145.1
KAFR_0A05760	XP_003955146.1
KAFR_0A05770	XP_003955147.1
KAFR_0A05780	XP_003955148.1
KAFR_0A05790	XP_003955149.1
KAFR_0A05800	XP_003955150.1
KAFR_0A05810	XP_003955151.1
KAFR_0A05820	XP_003955152.1
KAFR_0A05830	XP_003955153.1
KAFR_0A05840	XP_003955154.1
KAFR_0A05850	XP_003955155.1
KAFR_0A05860	XP_003955156.1
KAFR_0A05870	XP_003955157.1
KAFR_0A05880	XP_003955158.1
KAFR_0A05890	XP_003955159.1
KAFR_0A05900	XP_003955160.1
KAFR_0A05910	XP_003955161.1
KAFR_0A05920	XP_003955162.1
KAFR_0A05930	XP_003955163.1
KAFR_0A05940	XP_003955164.1
KAFR_0A05950	XP_003955165.1
KAFR_0A05960	XP_003955166.1
KAFR_0A05970	XP_003955167.1
KAFR_0A05980	XP_003955168.1
KAFR_0A05990	XP_003955169.1
KAFR_0A06000	XP_003955170.1
KAFR_0A06010	XP_003955171.1
KAFR_0A06020	XP_003955172.1
KAFR_0A06030	XP_003955173.1
KAFR_0A06040	XP_003955174.1
KAFR_0A06050	XP_003955175.1
KAFR_0A06060	XP_003955176.1
KAFR_0A06070	XP_003955177.1
KAFR_0A06080	XP_003955178.1
KAFR_0A06090	XP_003955179.1
KAFR_0A06100	XP_003955180.1
KAFR_0A06110	XP_003955181.1
KAFR_0A06110	XP_003955181.1
KAFR_0A06120	XP_003955182.1
KAFR_0A06130	XP_003955183.1
KAFR_0A06140	XP_003955184.1
KAFR_0A06150	XP_003955185.1
KAFR_0A06160	XP_003955186.1
KAFR_0A06170	XP_003955187.1
KAFR_0A06180	XP_003955188.1
KAFR_0A06190	XP_003955189.1
KAFR_0A06200	XP_003955190.1
KAFR_0A06210	XP_003955191.1
KAFR_0A06220	XP_003955192.1
KAFR_0A06230	XP_003955193.1
KAFR_0A06240	XP_003955194.1
KAFR_0A06250	XP_003955195.1
KAFR_0A06260	XP_003955196.1
KAFR_0A06270	XP_003955197.1
KAFR_0A06280	XP_003955198.1
KAFR_0A06290	XP_003955199.1
KAFR_0A06300	XP_003955200.1
KAFR_0A06310	XP_003955201.1
KAFR_0A06320	XP_003955202.1
KAFR_0A06330	XP_003955203.1
KAFR_0A06340	XP_003955204.1
KAFR_0A06350	XP_003955205.1
KAFR_0A06360	XP_003955206.1
KAFR_0A06370	XP_003955207.1
KAFR_0A06380	XP_003955208.1
KAFR_0A06390	XP_003955209.1
KAFR_0A06400	XP_003955210.1
KAFR_0A06410	XP_003955211.1
KAFR_0A06410	XP_003955211.1
KAFR_0A06420	XP_003955212.1
KAFR_0A06430	XP_003955213.1
KAFR_0A06440	XP_003955214.1
KAFR_0A06450	XP_003955215.1
KAFR_0A06460	XP_003955216.1
KAFR_0A06470	XP_003955217.1
KAFR_0A06480	XP_003955218.1
KAFR_0A06490	XP_003955219.1
KAFR_0A06500	XP_003955220.1
KAFR_0A06510	XP_003955221.1
KAFR_0A06520	XP_003955222.1
KAFR_0A06530	XP_003955223.1
KAFR_0A06540	XP_003955224.1
KAFR_0A06550	XP_003955225.1
KAFR_0A06560	XP_003955226.1
KAFR_0A06570	XP_003955227.1
KAFR_0A06580	XP_003955228.1
KAFR_0A06590	XP_003955229.1
KAFR_0A06600	XP_003955230.1
KAFR_0A06610	XP_003955231.1
KAFR_0A06620	XP_003955232.1
KAFR_0A06630	XP_003955233.1
KAFR_0A06640	XP_003955234.1
KAFR_0A06650	XP_003955235.1
KAFR_0A06660	XP_003955236.1
KAFR_0A06670	XP_003955237.1
KAFR_0A06680	XP_003955238.1
KAFR_0A06690	XP_003955239.1
KAFR_0A06700	XP_003955240.1
KAFR_0A06710	XP_003955241.1
KAFR_0A06720	XP_003955242.1
KAFR_0A06730	XP_003955243.1
KAFR_0A06740	XP_003955244.1
KAFR_0A06750	XP_003955245.1
KAFR_0A06760	XP_003955246.1
KAFR_0A06770	XP_003955247.1
KAFR_0A06780	XP_003955248.1
KAFR_0A06790	XP_003955249.1
KAFR_0A06800	XP_003955250.1
KAFR_0A06810	XP_003955251.1
KAFR_0A06820	XP_003955252.1
KAFR_0A06830	XP_003955253.1
KAFR_0A06840	XP_003955254.1
KAFR_0A06850	XP_003955255.1
KAFR_0A06850	XP_003955255.1
KAFR_0A06860	XP_003955256.1
KAFR_0A06870	XP_003955257.1
KAFR_0A06880	XP_003955258.1
KAFR_0A06890	XP_003955259.1
KAFR_0A06900	XP_003955260.1
KAFR_0A06910	XP_003955261.1
KAFR_0A06920	XP_003955262.1
KAFR_0A06930	XP_003955263.1
KAFR_0A06940	XP_003955264.1
KAFR_0A06950	XP_003955265.1
KAFR_0A06960	XP_003955266.1
KAFR_0A06970	XP_003955267.1
KAFR_0A06980	XP_003955268.1
KAFR_0A06990	XP_003955269.1
KAFR_0A06990	XP_003955269.1
KAFR_0A07000	XP_003955270.1
KAFR_0A07010	XP_003955271.1
KAFR_0A07030	XP_003955272.1
KAFR_0A07040	XP_003955273.1
KAFR_0A07050	XP_003955274.1
KAFR_0A07060	XP_003955275.1
KAFR_0A07070	XP_003955276.1
KAFR_0A07080	XP_003955277.1
KAFR_0A07090	XP_003955278.1
KAFR_0A07100	XP_003955279.1
KAFR_0A07110	XP_003955280.1
KAFR_0A07120	XP_003955281.1
KAFR_0A07130	XP_003955282.1
KAFR_0A07140	XP_003955283.1
KAFR_0A07150	XP_003955284.1
KAFR_0A07160	XP_003955285.1
KAFR_0A07170	XP_003955286.1
KAFR_0A07180	XP_003955287.1
KAFR_0A07190	XP_003955288.1
KAFR_0A07200	XP_003955289.1
KAFR_0A07210	XP_003955290.1
KAFR_0A07220	XP_003955291.1
KAFR_0A07230	XP_003955292.1
KAFR_0A07240	XP_003955293.1
KAFR_0A07250	XP_003955294.1
KAFR_0A07260	XP_003955295.1
KAFR_0A07270	XP_003955296.1
KAFR_0A07280	XP_003955297.1
KAFR_0A07290	XP_003955298.1
KAFR_0A07300	XP_003955299.1
KAFR_0A07310	XP_003955300.1
